catchment,cf
BDCT1,0.4451211862705741
BDCT2,0.37931701508837634
BDCT3,0.25017686383028126
BDRS1,0.46484808655816107
BDRS2,0.5039198191090927
BDRS3,0.3896985476222781
DCT1,0.5093022731959033
DCT2,0.4298713925778983
DCT3,0.4933507272753125
DRS1,0.5023506330262625
DRS2,0.5291763270149199
DRS3,0.5472895810344747
WDRS1,0.4369788341923219
ohrid,0.3908032609024676
