model,scenario,year,catchment,week,value
panta,ref,2020,BDCT1,1,5.267
panta,ref,2020,BDCT1,2,6.693
panta,ref,2020,BDCT1,3,3.873
panta,ref,2020,BDCT1,4,4.265
panta,ref,2020,BDCT1,5,6.885
panta,ref,2020,BDCT1,6,6.3
panta,ref,2020,BDCT1,7,6.44
panta,ref,2020,BDCT1,8,5.819
panta,ref,2020,BDCT1,9,5.756
panta,ref,2020,BDCT1,10,6.652
panta,ref,2020,BDCT1,11,5.268
panta,ref,2020,BDCT1,12,3.324
panta,ref,2020,BDCT1,13,4.22
panta,ref,2020,BDCT1,14,3.256
panta,ref,2020,BDCT1,15,2.622
panta,ref,2020,BDCT1,16,3.044
panta,ref,2020,BDCT1,17,4.207
panta,ref,2020,BDCT1,18,2.961
panta,ref,2020,BDCT1,19,2.875
panta,ref,2020,BDCT1,20,3.4
panta,ref,2020,BDCT1,21,2.574
panta,ref,2020,BDCT1,22,1.906
panta,ref,2020,BDCT1,23,1.939
panta,ref,2020,BDCT1,24,4.271
panta,ref,2020,BDCT1,25,2.308
panta,ref,2020,BDCT1,26,0.818
panta,ref,2020,BDCT1,27,1.263
panta,ref,2020,BDCT1,28,2.152
panta,ref,2020,BDCT1,29,2.309
panta,ref,2020,BDCT1,30,0.906
panta,ref,2020,BDCT1,31,1.568
panta,ref,2020,BDCT1,32,1.476
panta,ref,2020,BDCT1,33,2.223
panta,ref,2020,BDCT1,34,1.182
panta,ref,2020,BDCT1,35,2.961
panta,ref,2020,BDCT1,36,1.974
panta,ref,2020,BDCT1,37,1.828
panta,ref,2020,BDCT1,38,1.296
panta,ref,2020,BDCT1,39,1.462
panta,ref,2020,BDCT1,40,1.767
panta,ref,2020,BDCT1,41,2.822
panta,ref,2020,BDCT1,42,4.4
panta,ref,2020,BDCT1,43,4.374
panta,ref,2020,BDCT1,44,5.488
panta,ref,2020,BDCT1,45,4.416
panta,ref,2020,BDCT1,46,5.24
panta,ref,2020,BDCT1,47,4.839
panta,ref,2020,BDCT1,48,4.434
panta,ref,2020,BDCT1,49,4.508
panta,ref,2020,BDCT1,50,4.932
panta,ref,2020,BDCT1,51,3.117
panta,ref,2020,BDCT1,52,5.19
panta,ref,2020,BDCT1,53,13.86
panta,ref,2020,BDCT2,1,31.906
panta,ref,2020,BDCT2,2,32.712
panta,ref,2020,BDCT2,3,16.956
panta,ref,2020,BDCT2,4,16.563
panta,ref,2020,BDCT2,5,17.975
panta,ref,2020,BDCT2,6,18.11
panta,ref,2020,BDCT2,7,25.32
panta,ref,2020,BDCT2,8,34.004
panta,ref,2020,BDCT2,9,32.894
panta,ref,2020,BDCT2,10,30.554
panta,ref,2020,BDCT2,11,28.173
panta,ref,2020,BDCT2,12,37.016
panta,ref,2020,BDCT2,13,47.478
