,Date,value,catchment,scenario,model
0,1981-01-01,57.43370056,spilj,REF,e_hype
1,1981-01-02,54.99110031,spilj,REF,e_hype
2,1981-01-03,52.96419907,spilj,REF,e_hype
3,1981-01-04,51.41749954,spilj,REF,e_hype
4,1981-01-05,59.89279938,spilj,REF,e_hype
5,1981-01-06,71.12149811,spilj,REF,e_hype
6,1981-01-07,73.71320343,spilj,REF,e_hype
7,1981-01-08,70.49330139,spilj,REF,e_hype
8,1981-01-09,65.47650146,spilj,REF,e_hype
9,1981-01-10,60.56219864,spilj,REF,e_hype
10,1981-01-11,56.33940125,spilj,REF,e_hype
11,1981-01-12,52.81900024,spilj,REF,e_hype
12,1981-01-13,50.49060059,spilj,REF,e_hype
13,1981-01-14,56.13690186,spilj,REF,e_hype
14,1981-01-15,65.10749817,spilj,REF,e_hype
15,1981-01-16,70.36029816,spilj,REF,e_hype
16,1981-01-17,75.34089661,spilj,REF,e_hype
17,1981-01-18,75.79669952,spilj,REF,e_hype
18,1981-01-19,71.70339966,spilj,REF,e_hype
19,1981-01-20,66.25730133,spilj,REF,e_hype
20,1981-01-21,61.30939865,spilj,REF,e_hype
21,1981-01-22,57.05239868,spilj,REF,e_hype
22,1981-01-23,53.62939835,spilj,REF,e_hype
23,1981-01-24,50.93379974,spilj,REF,e_hype
24,1981-01-25,48.77479935,spilj,REF,e_hype
25,1981-01-26,46.90019989,spilj,REF,e_hype
26,1981-01-27,45.23289871,spilj,REF,e_hype
27,1981-01-28,43.71500015,spilj,REF,e_hype
28,1981-01-29,42.35110092,spilj,REF,e_hype
29,1981-01-30,41.04629898,spilj,REF,e_hype
30,1981-01-31,39.80789948,spilj,REF,e_hype
31,1981-02-01,38.62400055,spilj,REF,e_hype
32,1981-02-02,37.72909927,spilj,REF,e_hype
33,1981-02-03,37.72100067,spilj,REF,e_hype
34,1981-02-04,38.64009857,spilj,REF,e_hype
35,1981-02-05,84.3214035,spilj,REF,e_hype
36,1981-02-06,104.2991028,spilj,REF,e_hype
37,1981-02-07,100.2328033,spilj,REF,e_hype
38,1981-02-08,89.12449646,spilj,REF,e_hype
39,1981-02-09,80.03040314,spilj,REF,e_hype
40,1981-02-10,77.42949677,spilj,REF,e_hype
41,1981-02-11,76.64170074,spilj,REF,e_hype
42,1981-02-12,100.8491974,spilj,REF,e_hype
43,1981-02-13,123.6056976,spilj,REF,e_hype
44,1981-02-14,140.184494,spilj,REF,e_hype
45,1981-02-15,138.053299,spilj,REF,e_hype
46,1981-02-16,125.620903,spilj,REF,e_hype
47,1981-02-17,110.7393036,spilj,REF,e_hype
48,1981-02-18,97.07969666,spilj,REF,e_hype
49,1981-02-19,86.21499634,spilj,REF,e_hype
50,1981-02-20,77.97260284,spilj,REF,e_hype
51,1981-02-21,88.82379913,spilj,REF,e_hype
52,1981-02-22,98.48169708,spilj,REF,e_hype
53,1981-02-23,106.8525009,spilj,REF,e_hype
54,1981-02-24,108.2136993,spilj,REF,e_hype
55,1981-02-25,103.8367004,spilj,REF,e_hype
56,1981-02-26,99.78430176,spilj,REF,e_hype
57,1981-02-27,93.27459717,spilj,REF,e_hype
58,1981-02-28,85.93560028,spilj,REF,e_hype
59,1981-03-01,78.98349762,spilj,REF,e_hype
60,1981-03-02,73.57849884,spilj,REF,e_hype
61,1981-03-03,106.9952011,spilj,REF,e_hype
62,1981-03-04,190.7541046,spilj,REF,e_hype
63,1981-03-05,215.9734955,spilj,REF,e_hype
64,1981-03-06,202.7416992,spilj,REF,e_hype
65,1981-03-07,178.5735016,spilj,REF,e_hype
66,1981-03-08,155.5348969,spilj,REF,e_hype
67,1981-03-09,137.0888062,spilj,REF,e_hype
68,1981-03-10,124.7835999,spilj,REF,e_hype
69,1981-03-11,119.9720001,spilj,REF,e_hype
70,1981-03-12,117.9328995,spilj,REF,e_hype
71,1981-03-13,124.6373978,spilj,REF,e_hype
72,1981-03-14,155.0276031,spilj,REF,e_hype
73,1981-03-15,168.5059967,spilj,REF,e_hype
74,1981-03-16,168.2949982,spilj,REF,e_hype
75,1981-03-17,162.9871979,spilj,REF,e_hype
76,1981-03-18,173.8090973,spilj,REF,e_hype
77,1981-03-19,276.616394,spilj,REF,e_hype
78,1981-03-20,294.4249878,spilj,REF,e_hype
79,1981-03-21,256.0714111,spilj,REF,e_hype
80,1981-03-22,214.5265045,spilj,REF,e_hype
81,1981-03-23,186.608902,spilj,REF,e_hype
82,1981-03-24,169.5281982,spilj,REF,e_hype
83,1981-03-25,160.7362976,spilj,REF,e_hype
84,1981-03-26,162.1387024,spilj,REF,e_hype
85,1981-03-27,167.4378052,spilj,REF,e_hype
86,1981-03-28,169.8399048,spilj,REF,e_hype
87,1981-03-29,168.9416046,spilj,REF,e_hype
88,1981-03-30,167.7902985,spilj,REF,e_hype
89,1981-03-31,161.3513947,spilj,REF,e_hype
90,1981-04-01,149.5811005,spilj,REF,e_hype
91,1981-04-02,140.1493073,spilj,REF,e_hype
92,1981-04-03,131.4559021,spilj,REF,e_hype
93,1981-04-04,120.9406967,spilj,REF,e_hype
94,1981-04-05,109.4831009,spilj,REF,e_hype
95,1981-04-06,99.54859924,spilj,REF,e_hype
96,1981-04-07,92.65699768,spilj,REF,e_hype
97,1981-04-08,88.23040009,spilj,REF,e_hype
98,1981-04-09,85.68209839,spilj,REF,e_hype
99,1981-04-10,85.22190094,spilj,REF,e_hype
100,1981-04-11,86.37870026,spilj,REF,e_hype
101,1981-04-12,94.84369659,spilj,REF,e_hype
102,1981-04-13,99.05410004,spilj,REF,e_hype
103,1981-04-14,97.85489655,spilj,REF,e_hype
104,1981-04-15,94.6638031,spilj,REF,e_hype
105,1981-04-16,90.02799988,spilj,REF,e_hype
106,1981-04-17,86.49970245,spilj,REF,e_hype
107,1981-04-18,89.24120331,spilj,REF,e_hype
108,1981-04-19,95.73519897,spilj,REF,e_hype
109,1981-04-20,98.76670074,spilj,REF,e_hype
110,1981-04-21,94.14360046,spilj,REF,e_hype
111,1981-04-22,86.71320343,spilj,REF,e_hype
112,1981-04-23,79.71250153,spilj,REF,e_hype
113,1981-04-24,73.06880188,spilj,REF,e_hype
114,1981-04-25,67.28369904,spilj,REF,e_hype
115,1981-04-26,63.34999847,spilj,REF,e_hype
116,1981-04-27,71.36049652,spilj,REF,e_hype
117,1981-04-28,75.5447998,spilj,REF,e_hype
118,1981-04-29,74.65170288,spilj,REF,e_hype
119,1981-04-30,69.71250153,spilj,REF,e_hype
120,1981-05-01,63.44210052,spilj,REF,e_hype
121,1981-05-02,58.14369965,spilj,REF,e_hype
122,1981-05-03,54.93560028,spilj,REF,e_hype
123,1981-05-04,56.12060165,spilj,REF,e_hype
124,1981-05-05,86.32039642,spilj,REF,e_hype
125,1981-05-06,98.98010254,spilj,REF,e_hype
126,1981-05-07,97.20130157,spilj,REF,e_hype
127,1981-05-08,87.9661026,spilj,REF,e_hype
128,1981-05-09,77.103302,spilj,REF,e_hype
129,1981-05-10,67.37830353,spilj,REF,e_hype
130,1981-05-11,59.41419983,spilj,REF,e_hype
131,1981-05-12,55.32630157,spilj,REF,e_hype
132,1981-05-13,56.47779846,spilj,REF,e_hype
133,1981-05-14,60.37590027,spilj,REF,e_hype
134,1981-05-15,59.92200089,spilj,REF,e_hype
135,1981-05-16,56.75419998,spilj,REF,e_hype
136,1981-05-17,57.2262001,spilj,REF,e_hype
137,1981-05-18,57.57929993,spilj,REF,e_hype
138,1981-05-19,55.08539963,spilj,REF,e_hype
139,1981-05-20,50.93669891,spilj,REF,e_hype
140,1981-05-21,46.98260117,spilj,REF,e_hype
141,1981-05-22,43.63209915,spilj,REF,e_hype
142,1981-05-23,45.75049973,spilj,REF,e_hype
143,1981-05-24,46.23089981,spilj,REF,e_hype
144,1981-05-25,45.27870178,spilj,REF,e_hype
145,1981-05-26,43.22710037,spilj,REF,e_hype
146,1981-05-27,40.76739883,spilj,REF,e_hype
147,1981-05-28,38.38970184,spilj,REF,e_hype
148,1981-05-29,36.15909958,spilj,REF,e_hype
149,1981-05-30,34.04570007,spilj,REF,e_hype
150,1981-05-31,32.36989975,spilj,REF,e_hype
151,1981-06-01,30.93779945,spilj,REF,e_hype
152,1981-06-02,29.53820038,spilj,REF,e_hype
153,1981-06-03,28.24250031,spilj,REF,e_hype
154,1981-06-04,27.00639915,spilj,REF,e_hype
155,1981-06-05,25.97050095,spilj,REF,e_hype
156,1981-06-06,25.01420021,spilj,REF,e_hype
157,1981-06-07,24.15649986,spilj,REF,e_hype
158,1981-06-08,23.35289955,spilj,REF,e_hype
159,1981-06-09,22.83589935,spilj,REF,e_hype
160,1981-06-10,22.56399918,spilj,REF,e_hype
161,1981-06-11,22.60379982,spilj,REF,e_hype
162,1981-06-12,23.09390068,spilj,REF,e_hype
163,1981-06-13,23.24259949,spilj,REF,e_hype
164,1981-06-14,23.5182991,spilj,REF,e_hype
165,1981-06-15,23.24430084,spilj,REF,e_hype
166,1981-06-16,22.50819969,spilj,REF,e_hype
167,1981-06-17,21.82789993,spilj,REF,e_hype
168,1981-06-18,21.34770012,spilj,REF,e_hype
169,1981-06-19,21.30279922,spilj,REF,e_hype
170,1981-06-20,20.88750076,spilj,REF,e_hype
171,1981-06-21,20.80970001,spilj,REF,e_hype
172,1981-06-22,20.78650093,spilj,REF,e_hype
173,1981-06-23,20.8132,spilj,REF,e_hype
174,1981-06-24,20.5435009,spilj,REF,e_hype
175,1981-06-25,20.03429985,spilj,REF,e_hype
176,1981-06-26,19.30130005,spilj,REF,e_hype
177,1981-06-27,19.04190063,spilj,REF,e_hype
178,1981-06-28,19.04199982,spilj,REF,e_hype
179,1981-06-29,18.76110077,spilj,REF,e_hype
180,1981-06-30,18.93829918,spilj,REF,e_hype
181,1981-07-01,19.49020004,spilj,REF,e_hype
182,1981-07-02,19.55410004,spilj,REF,e_hype
183,1981-07-03,19.05830002,spilj,REF,e_hype
184,1981-07-04,19.03089905,spilj,REF,e_hype
185,1981-07-05,19.59900093,spilj,REF,e_hype
