,Date,year,catchment,RCP26,RCP45,RCP85
3653,1981-01-01,1981,fierz,187.065,178.9804,184.29275
3654,1981-01-02,1981,fierz,181.4505,175.728,179.5815
3655,1981-01-03,1981,fierz,175.8235,172.29260000000002,175.085
3656,1981-01-04,1981,fierz,170.38850000000002,169.2388,170.95775
3657,1981-01-05,1981,fierz,165.2415,166.7664,166.92375
3658,1981-01-06,1981,fierz,161.0985,164.76420000000002,163.2005
3659,1981-01-07,1981,fierz,156.548,162.0822,159.15550000000002
3660,1981-01-08,1981,fierz,152.402,159.52460000000002,155.2705
3661,1981-01-09,1981,fierz,148.5725,160.40519999999998,151.554
3662,1981-01-10,1981,fierz,145.091,163.2246,148.05975
3663,1981-01-11,1981,fierz,141.9645,165.84920000000002,144.81675
3664,1981-01-12,1981,fierz,140.066,166.55180000000001,142.2765
3665,1981-01-13,1981,fierz,140.066,166.1268,140.78325
3666,1981-01-14,1981,fierz,140.066,165.19160000000002,140.066
3667,1981-01-15,1981,fierz,140.066,163.802,140.066
3668,1981-01-16,1981,fierz,140.066,161.752,140.066
3669,1981-01-17,1981,fierz,140.066,159.39079999999998,140.066
3670,1981-01-18,1981,fierz,140.066,157.3544,140.39175
3671,1981-01-19,1981,fierz,140.066,156.9758,142.93825
3672,1981-01-20,1981,fierz,136.947,156.644,145.38525
3673,1981-01-21,1981,fierz,113.8545,150.12619999999998,139.9135
3674,1981-01-22,1981,fierz,140.066,164.9264,160.857
3675,1981-01-23,1981,fierz,140.066,169.1942,167.964
3676,1981-01-24,1981,fierz,140.066,170.98760000000001,172.02225
3677,1981-01-25,1981,fierz,140.066,171.4436,173.93
3678,1981-01-26,1981,fierz,140.066,171.75680000000003,175.14900000000003
3679,1981-01-27,1981,fierz,140.066,173.21240000000003,177.17550000000003
3680,1981-01-28,1981,fierz,140.066,174.58980000000003,178.67550000000003
3681,1981-01-29,1981,fierz,140.066,174.9216,178.50050000000002
3682,1981-01-30,1981,fierz,140.066,174.3812,176.9345
3683,1981-01-31,1981,fierz,140.066,173.25740000000002,174.48075000000003
3684,1981-02-01,1981,fierz,140.066,171.53500000000003,171.49175000000002
3685,1981-02-02,1981,fierz,140.066,169.24960000000002,168.27375
3686,1981-02-03,1981,fierz,140.066,166.5882,164.97400000000002
3687,1981-02-04,1981,fierz,140.066,163.7874,161.86125
3688,1981-02-05,1981,fierz,140.066,160.9028,159.02
3689,1981-02-06,1981,fierz,140.066,193.49380000000002,200.84050000000002
3690,1981-02-07,1981,fierz,140.066,231.3212,249.38925
3691,1981-02-08,1981,fierz,140.066,256.5028,282.21875
3692,1981-02-09,1981,fierz,140.066,266.867,296.49725
3693,1981-02-10,1981,fierz,140.066,266.30420000000004,297.129
3694,1981-02-11,1981,fierz,140.066,263.0092,293.74375
3695,1981-02-12,1981,fierz,140.066,258.209,287.744
3696,1981-02-13,1981,fierz,142.501,259.64520000000005,289.54025
3697,1981-02-14,1981,fierz,148.2655,264.149,295.1705
3698,1981-02-15,1981,fierz,152.31799999999998,267.9298,299.89625
3699,1981-02-16,1981,fierz,158.4085,270.3984,302.98199999999997
3700,1981-02-17,1981,fierz,164.2135,272.0634,305.0635
3701,1981-02-18,1981,fierz,168.29000000000002,270.92140000000006,303.6335
3702,1981-02-19,1981,fierz,172.28050000000002,268.0694,300.06674999999996
