scenario,catchment,week,2020
ref,MKCWTCT2BD,1,0.527
ref,MKCWTCT2BD,2,0.392
ref,MKCWTCT2BD,3,0.386
ref,MKCWTCT2BD,4,0.448
ref,MKCWTCT2BD,5,0.597
ref,MKCWTCT2BD,6,0.369
ref,MKCWTCT2BD,7,0.496
ref,MKCWTCT2BD,8,0.564
ref,MKCWTCT2BD,9,0.669
ref,MKCWTCT2BD,10,0.369
ref,MKCWTCT2BD,11,0.665
ref,MKCWTCT2BD,12,0.786
ref,MKCWTCT2BD,13,0.929
ref,MKCWTCT2BD,14,0.543
ref,MKCWTCT2BD,15,0.585
ref,MKCWTCT2BD,16,0.754
ref,MKCWTCT2BD,17,0.609
ref,MKCWTCT2BD,18,0.595
ref,MKCWTCT2BD,19,0.314
ref,MKCWTCT2BD,20,0.297
ref,MKCWTCT2BD,21,0.236
ref,MKCWTCT2BD,22,0.398
ref,MKCWTCT2BD,23,0.373
ref,MKCWTCT2BD,24,0.282
ref,MKCWTCT2BD,25,0.135
ref,MKCWTCT2BD,26,0.194
ref,MKCWTCT2BD,27,0.44
ref,MKCWTCT2BD,28,0.283
ref,MKCWTCT2BD,29,0.072
ref,MKCWTCT2BD,30,0.074
ref,MKCWTCT2BD,31,0.408
ref,MKCWTCT2BD,32,0.303
ref,MKCWTCT2BD,33,0.172
ref,MKCWTCT2BD,34,0.083
ref,MKCWTCT2BD,35,0.232
ref,MKCWTCT2BD,36,0.394
ref,MKCWTCT2BD,37,0.31
ref,MKCWTCT2BD,38,0.258
ref,MKCWTCT2BD,39,0.345
ref,MKCWTCT2BD,40,0.471
ref,MKCWTCT2BD,41,0.351
ref,MKCWTCT2BD,42,0.454
ref,MKCWTCT2BD,43,0.407
ref,MKCWTCT2BD,44,0.541
ref,MKCWTCT2BD,45,0.372
ref,MKCWTCT2BD,46,0.678
ref,MKCWTCT2BD,47,1.0
ref,MKCWTCT2BD,48,0.786
ref,MKCWTCT2BD,49,0.402
ref,MKCWTCT2BD,50,0.543
ref,MKCWTCT2BD,51,0.668
ref,MKCWTCT2BD,52,0.72
