scenario,catchment,week,2020
ref,MKCWTRS3DD,1,0.71
ref,MKCWTRS3DD,2,0.64
ref,MKCWTRS3DD,3,0.513
ref,MKCWTRS3DD,4,0.604
ref,MKCWTRS3DD,5,0.643
ref,MKCWTRS3DD,6,0.678
ref,MKCWTRS3DD,7,0.664
ref,MKCWTRS3DD,8,0.736
ref,MKCWTRS3DD,9,0.946
ref,MKCWTRS3DD,10,0.941
ref,MKCWTRS3DD,11,0.826
ref,MKCWTRS3DD,12,0.855
ref,MKCWTRS3DD,13,1.0
ref,MKCWTRS3DD,14,0.923
ref,MKCWTRS3DD,15,0.791
ref,MKCWTRS3DD,16,0.686
ref,MKCWTRS3DD,17,0.577
ref,MKCWTRS3DD,18,0.491
ref,MKCWTRS3DD,19,0.407
ref,MKCWTRS3DD,20,0.312
ref,MKCWTRS3DD,21,0.281
ref,MKCWTRS3DD,22,0.246
ref,MKCWTRS3DD,23,0.218
ref,MKCWTRS3DD,24,0.21
ref,MKCWTRS3DD,25,0.174
ref,MKCWTRS3DD,26,0.147
ref,MKCWTRS3DD,27,0.139
ref,MKCWTRS3DD,28,0.131
ref,MKCWTRS3DD,29,0.103
ref,MKCWTRS3DD,30,0.094
ref,MKCWTRS3DD,31,0.114
ref,MKCWTRS3DD,32,0.094
ref,MKCWTRS3DD,33,0.076
ref,MKCWTRS3DD,34,0.087
ref,MKCWTRS3DD,35,0.11
ref,MKCWTRS3DD,36,0.132
ref,MKCWTRS3DD,37,0.156
ref,MKCWTRS3DD,38,0.236
ref,MKCWTRS3DD,39,0.291
ref,MKCWTRS3DD,40,0.32
ref,MKCWTRS3DD,41,0.373
ref,MKCWTRS3DD,42,0.386
ref,MKCWTRS3DD,43,0.381
ref,MKCWTRS3DD,44,0.434
ref,MKCWTRS3DD,45,0.504
ref,MKCWTRS3DD,46,0.677
ref,MKCWTRS3DD,47,0.944
ref,MKCWTRS3DD,48,0.877
ref,MKCWTRS3DD,49,0.774
ref,MKCWTRS3DD,50,0.776
ref,MKCWTRS3DD,51,0.75
ref,MKCWTRS3DD,52,0.827
