scenario,catchment,week,2020
ref,ALCWTRS2DD,1,0.683
ref,ALCWTRS2DD,2,0.463
ref,ALCWTRS2DD,3,0.585
ref,ALCWTRS2DD,4,0.586
ref,ALCWTRS2DD,5,0.742
ref,ALCWTRS2DD,6,0.472
ref,ALCWTRS2DD,7,0.616
ref,ALCWTRS2DD,8,0.688
ref,ALCWTRS2DD,9,0.798
ref,ALCWTRS2DD,10,0.487
ref,ALCWTRS2DD,11,0.802
ref,ALCWTRS2DD,12,0.91
ref,ALCWTRS2DD,13,1.0
ref,ALCWTRS2DD,14,0.692
ref,ALCWTRS2DD,15,0.656
ref,ALCWTRS2DD,16,0.9
ref,ALCWTRS2DD,17,0.793
ref,ALCWTRS2DD,18,0.727
ref,ALCWTRS2DD,19,0.437
ref,ALCWTRS2DD,20,0.541
ref,ALCWTRS2DD,21,0.482
ref,ALCWTRS2DD,22,0.599
ref,ALCWTRS2DD,23,0.51
ref,ALCWTRS2DD,24,0.432
ref,ALCWTRS2DD,25,0.381
ref,ALCWTRS2DD,26,0.432
ref,ALCWTRS2DD,27,0.616
ref,ALCWTRS2DD,28,0.377
ref,ALCWTRS2DD,29,0.274
ref,ALCWTRS2DD,30,0.242
ref,ALCWTRS2DD,31,0.566
ref,ALCWTRS2DD,32,0.401
ref,ALCWTRS2DD,33,0.216
ref,ALCWTRS2DD,34,0.11
ref,ALCWTRS2DD,35,0.313
ref,ALCWTRS2DD,36,0.534
ref,ALCWTRS2DD,37,0.322
ref,ALCWTRS2DD,38,0.256
ref,ALCWTRS2DD,39,0.297
ref,ALCWTRS2DD,40,0.609
ref,ALCWTRS2DD,41,0.374
ref,ALCWTRS2DD,42,0.413
ref,ALCWTRS2DD,43,0.389
ref,ALCWTRS2DD,44,0.59
ref,ALCWTRS2DD,45,0.456
ref,ALCWTRS2DD,46,0.543
ref,ALCWTRS2DD,47,0.617
ref,ALCWTRS2DD,48,0.773
ref,ALCWTRS2DD,49,0.533
ref,ALCWTRS2DD,50,0.571
ref,ALCWTRS2DD,51,0.732
ref,ALCWTRS2DD,52,0.769
