scenario,catchment,week,2020
ref,MKCWTCT1BD,1,0.511
ref,MKCWTCT1BD,2,0.427
ref,MKCWTCT1BD,3,0.592
ref,MKCWTCT1BD,4,0.661
ref,MKCWTCT1BD,5,0.686
ref,MKCWTCT1BD,6,0.353
ref,MKCWTCT1BD,7,0.638
ref,MKCWTCT1BD,8,0.752
ref,MKCWTCT1BD,9,0.746
ref,MKCWTCT1BD,10,0.354
ref,MKCWTCT1BD,11,0.617
ref,MKCWTCT1BD,12,0.663
ref,MKCWTCT1BD,13,0.642
ref,MKCWTCT1BD,14,0.482
ref,MKCWTCT1BD,15,0.392
ref,MKCWTCT1BD,16,0.41
ref,MKCWTCT1BD,17,0.381
ref,MKCWTCT1BD,18,0.534
ref,MKCWTCT1BD,19,0.323
ref,MKCWTCT1BD,20,0.295
ref,MKCWTCT1BD,21,0.309
ref,MKCWTCT1BD,22,0.435
ref,MKCWTCT1BD,23,0.394
ref,MKCWTCT1BD,24,0.336
ref,MKCWTCT1BD,25,0.283
ref,MKCWTCT1BD,26,0.36
ref,MKCWTCT1BD,27,0.46
ref,MKCWTCT1BD,28,0.332
ref,MKCWTCT1BD,29,0.302
ref,MKCWTCT1BD,30,0.291
ref,MKCWTCT1BD,31,0.486
ref,MKCWTCT1BD,32,0.312
ref,MKCWTCT1BD,33,0.254
ref,MKCWTCT1BD,34,0.163
ref,MKCWTCT1BD,35,0.283
ref,MKCWTCT1BD,36,0.39
ref,MKCWTCT1BD,37,0.255
ref,MKCWTCT1BD,38,0.165
ref,MKCWTCT1BD,39,0.241
ref,MKCWTCT1BD,40,0.439
ref,MKCWTCT1BD,41,0.296
ref,MKCWTCT1BD,42,0.312
ref,MKCWTCT1BD,43,0.334
ref,MKCWTCT1BD,44,0.489
ref,MKCWTCT1BD,45,0.327
ref,MKCWTCT1BD,46,0.424
ref,MKCWTCT1BD,47,0.494
ref,MKCWTCT1BD,48,0.648
ref,MKCWTCT1BD,49,0.384
ref,MKCWTCT1BD,50,0.451
ref,MKCWTCT1BD,51,0.618
ref,MKCWTCT1BD,52,0.741
