scenario,catchment,week,2020
ref,ALCWTRS3DD,1,0.71
ref,ALCWTRS3DD,2,0.497
ref,ALCWTRS3DD,3,0.634
ref,ALCWTRS3DD,4,0.605
ref,ALCWTRS3DD,5,0.778
ref,ALCWTRS3DD,6,0.489
ref,ALCWTRS3DD,7,0.646
ref,ALCWTRS3DD,8,0.691
ref,ALCWTRS3DD,9,0.805
ref,ALCWTRS3DD,10,0.511
ref,ALCWTRS3DD,11,0.841
ref,ALCWTRS3DD,12,0.91
ref,ALCWTRS3DD,13,0.992
ref,ALCWTRS3DD,14,0.707
ref,ALCWTRS3DD,15,0.716
ref,ALCWTRS3DD,16,1.0
ref,ALCWTRS3DD,17,0.872
ref,ALCWTRS3DD,18,0.753
ref,ALCWTRS3DD,19,0.468
ref,ALCWTRS3DD,20,0.586
ref,ALCWTRS3DD,21,0.502
ref,ALCWTRS3DD,22,0.61
ref,ALCWTRS3DD,23,0.522
ref,ALCWTRS3DD,24,0.442
ref,ALCWTRS3DD,25,0.369
ref,ALCWTRS3DD,26,0.424
ref,ALCWTRS3DD,27,0.631
ref,ALCWTRS3DD,28,0.399
ref,ALCWTRS3DD,29,0.27
ref,ALCWTRS3DD,30,0.238
ref,ALCWTRS3DD,31,0.574
ref,ALCWTRS3DD,32,0.421
ref,ALCWTRS3DD,33,0.24
ref,ALCWTRS3DD,34,0.121
ref,ALCWTRS3DD,35,0.315
ref,ALCWTRS3DD,36,0.557
ref,ALCWTRS3DD,37,0.359
ref,ALCWTRS3DD,38,0.279
ref,ALCWTRS3DD,39,0.358
ref,ALCWTRS3DD,40,0.625
ref,ALCWTRS3DD,41,0.425
ref,ALCWTRS3DD,42,0.454
ref,ALCWTRS3DD,43,0.458
ref,ALCWTRS3DD,44,0.657
ref,ALCWTRS3DD,45,0.483
ref,ALCWTRS3DD,46,0.609
ref,ALCWTRS3DD,47,0.735
ref,ALCWTRS3DD,48,0.828
ref,ALCWTRS3DD,49,0.569
ref,ALCWTRS3DD,50,0.631
ref,ALCWTRS3DD,51,0.805
ref,ALCWTRS3DD,52,0.827
