scenario,catchment,week,2020
ref,MKCWTCT3DD,1,0.552
ref,MKCWTCT3DD,2,0.567
ref,MKCWTCT3DD,3,0.262
ref,MKCWTCT3DD,4,0.325
ref,MKCWTCT3DD,5,0.352
ref,MKCWTCT3DD,6,0.648
ref,MKCWTCT3DD,7,0.399
ref,MKCWTCT3DD,8,0.388
ref,MKCWTCT3DD,9,0.644
ref,MKCWTCT3DD,10,1.0
ref,MKCWTCT3DD,11,0.51
ref,MKCWTCT3DD,12,0.412
ref,MKCWTCT3DD,13,0.537
ref,MKCWTCT3DD,14,0.8
ref,MKCWTCT3DD,15,0.627
ref,MKCWTCT3DD,16,0.267
ref,MKCWTCT3DD,17,0.226
ref,MKCWTCT3DD,18,0.216
ref,MKCWTCT3DD,19,0.322
ref,MKCWTCT3DD,20,0.122
ref,MKCWTCT3DD,21,0.094
ref,MKCWTCT3DD,22,0.064
ref,MKCWTCT3DD,23,0.083
ref,MKCWTCT3DD,24,0.077
ref,MKCWTCT3DD,25,0.046
ref,MKCWTCT3DD,26,0.029
ref,MKCWTCT3DD,27,0.034
ref,MKCWTCT3DD,28,0.041
ref,MKCWTCT3DD,29,0.011
ref,MKCWTCT3DD,30,0.008
ref,MKCWTCT3DD,31,0.018
ref,MKCWTCT3DD,32,0.029
ref,MKCWTCT3DD,33,0.011
ref,MKCWTCT3DD,34,0.024
ref,MKCWTCT3DD,35,0.033
ref,MKCWTCT3DD,36,0.061
ref,MKCWTCT3DD,37,0.06
ref,MKCWTCT3DD,38,0.116
ref,MKCWTCT3DD,39,0.149
ref,MKCWTCT3DD,40,0.191
ref,MKCWTCT3DD,41,0.281
ref,MKCWTCT3DD,42,0.175
ref,MKCWTCT3DD,43,0.175
ref,MKCWTCT3DD,44,0.224
ref,MKCWTCT3DD,45,0.441
ref,MKCWTCT3DD,46,0.407
ref,MKCWTCT3DD,47,0.528
ref,MKCWTCT3DD,48,0.555
ref,MKCWTCT3DD,49,0.752
ref,MKCWTCT3DD,50,0.615
ref,MKCWTCT3DD,51,0.425
ref,MKCWTCT3DD,52,0.461
