scenario,catchment,week,2020
ref,ALCWTRS1DD,1,0.685
ref,ALCWTRS1DD,2,0.457
ref,ALCWTRS1DD,3,0.624
ref,ALCWTRS1DD,4,0.608
ref,ALCWTRS1DD,5,0.757
ref,ALCWTRS1DD,6,0.465
ref,ALCWTRS1DD,7,0.635
ref,ALCWTRS1DD,8,0.72
ref,ALCWTRS1DD,9,0.816
ref,ALCWTRS1DD,10,0.478
ref,ALCWTRS1DD,11,0.811
ref,ALCWTRS1DD,12,0.909
ref,ALCWTRS1DD,13,0.985
ref,ALCWTRS1DD,14,0.682
ref,ALCWTRS1DD,15,0.598
ref,ALCWTRS1DD,16,0.82
ref,ALCWTRS1DD,17,0.709
ref,ALCWTRS1DD,18,0.704
ref,ALCWTRS1DD,19,0.411
ref,ALCWTRS1DD,20,0.512
ref,ALCWTRS1DD,21,0.476
ref,ALCWTRS1DD,22,0.6
ref,ALCWTRS1DD,23,0.498
ref,ALCWTRS1DD,24,0.432
ref,ALCWTRS1DD,25,0.406
ref,ALCWTRS1DD,26,0.458
ref,ALCWTRS1DD,27,0.611
ref,ALCWTRS1DD,28,0.363
ref,ALCWTRS1DD,29,0.293
ref,ALCWTRS1DD,30,0.263
ref,ALCWTRS1DD,31,0.579
ref,ALCWTRS1DD,32,0.383
ref,ALCWTRS1DD,33,0.209
ref,ALCWTRS1DD,34,0.109
ref,ALCWTRS1DD,35,0.313
ref,ALCWTRS1DD,36,0.524
ref,ALCWTRS1DD,37,0.288
ref,ALCWTRS1DD,38,0.209
ref,ALCWTRS1DD,39,0.252
ref,ALCWTRS1DD,40,0.598
ref,ALCWTRS1DD,41,0.35
ref,ALCWTRS1DD,42,0.373
ref,ALCWTRS1DD,43,0.34
ref,ALCWTRS1DD,44,0.559
ref,ALCWTRS1DD,45,0.434
ref,ALCWTRS1DD,46,0.483
ref,ALCWTRS1DD,47,0.525
ref,ALCWTRS1DD,48,0.736
ref,ALCWTRS1DD,49,0.521
ref,ALCWTRS1DD,50,0.543
ref,ALCWTRS1DD,51,0.727
ref,ALCWTRS1DD,52,0.752
