,model,catchment,scenario,Date,value
0,e_hype,spilj,REF,1981-01-01,57.43370056
1,e_hype,spilj,REF,1981-02-01,54.99110031
2,e_hype,spilj,REF,1981-03-01,52.96419907
3,e_hype,spilj,REF,1981-04-01,51.41749954
4,e_hype,spilj,REF,1981-05-01,59.89279938
5,e_hype,spilj,REF,1981-06-01,71.12149811
6,e_hype,spilj,REF,1981-07-01,73.71320343
7,e_hype,spilj,REF,1981-08-01,70.49330139
8,e_hype,spilj,REF,1981-09-01,65.47650146
9,e_hype,spilj,REF,1981-10-01,60.56219864
10,e_hype,spilj,REF,1981-11-01,56.33940125
11,e_hype,spilj,REF,1981-12-01,52.81900024
12,e_hype,spilj,REF,1981-01-13,50.49060059
13,e_hype,spilj,REF,1981-01-14,56.13690186
14,e_hype,spilj,REF,1981-01-15,65.10749817
15,e_hype,spilj,REF,1981-01-16,70.36029816
16,e_hype,spilj,REF,1981-01-17,75.34089661
17,e_hype,spilj,REF,1981-01-18,75.79669952
18,e_hype,spilj,REF,1981-01-19,71.70339966
19,e_hype,spilj,REF,1981-01-20,66.25730133
20,e_hype,spilj,REF,1981-01-21,61.30939865
21,e_hype,spilj,REF,1981-01-22,57.05239868
22,e_hype,spilj,REF,1981-01-23,53.62939835
23,e_hype,spilj,REF,1981-01-24,50.93379974
24,e_hype,spilj,REF,1981-01-25,48.77479935
25,e_hype,spilj,REF,1981-01-26,46.90019989
26,e_hype,spilj,REF,1981-01-27,45.23289871
27,e_hype,spilj,REF,1981-01-28,43.71500015
28,e_hype,spilj,REF,1981-01-29,42.35110092
29,e_hype,spilj,REF,1981-01-30,41.04629898
30,e_hype,spilj,REF,1981-01-31,39.80789948
31,e_hype,spilj,REF,1981-01-02,38.62400055
32,e_hype,spilj,REF,1981-02-02,37.72909927
33,e_hype,spilj,REF,1981-03-02,37.72100067
34,e_hype,spilj,REF,1981-04-02,38.64009857
35,e_hype,spilj,REF,1981-05-02,84.3214035
36,e_hype,spilj,REF,1981-06-02,104.2991028
37,e_hype,spilj,REF,1981-07-02,100.2328033
38,e_hype,spilj,REF,1981-08-02,89.12449646
39,e_hype,spilj,REF,1981-09-02,80.03040314
40,e_hype,spilj,REF,1981-10-02,77.42949677
41,e_hype,spilj,REF,1981-11-02,76.64170074
42,e_hype,spilj,REF,1981-12-02,100.8491974
43,e_hype,spilj,REF,1981-02-13,123.6056976
44,e_hype,spilj,REF,1981-02-14,140.184494
45,e_hype,spilj,REF,1981-02-15,138.053299
46,e_hype,spilj,REF,1981-02-16,125.620903
