country,tech,type,years,REF,RCP26,RCP26-REF,RCP26%,RCP45,RCP45-REF,RCP45%,RCP85,RCP85-REF,RCP85%
Albania,ALPHYDMHI0,hydro,2021-2030,42.06,42.06,0.0,0.0,42.06,0.0,0.0,42.06,0.0,0.0
Albania,ALPHYDMHI0,hydro,2031-2040,42.06,42.06,0.0,0.0,42.06,0.0,0.0,42.06,0.0,0.0
Albania,ALPHYDMHI0,hydro,2041-2050,42.06,42.06,0.0,0.0,42.06,0.0,0.0,42.06,0.0,0.0
Albania,Fierza,hydro,2021-2030,1773.1470000000002,1610.2459999999999,-162.9010000000003,-9.187111954056842,1218.793,-554.3540000000003,-31.263848964581065,1255.1299999999999,-518.0170000000003,-29.21455468723125
Albania,Fierza,hydro,2031-2040,1847.9209999999998,1571.391,-276.52999999999975,-14.964384299978178,1189.445,-658.4759999999999,-35.633341468601735,1122.147,-725.7739999999999,-39.27516381923253
Albania,Fierza,hydro,2041-2050,1847.9209999999998,1571.391,-276.52999999999975,-14.964384299978178,1189.445,-658.4759999999999,-35.633341468601735,1122.147,-725.7739999999999,-39.27516381923253
Albania,Koman,hydro,2021-2030,2018.889,1841.4630000000004,-177.42599999999948,-8.788298910935643,1476.6290000000001,-542.2599999999998,-26.85932708534247,1416.601,-602.2879999999998,-29.832645578830725
Albania,Koman,hydro,2031-2040,2094.154,1815.8140000000003,-278.3399999999997,-13.291286123179082,1444.521,-649.633,-31.021262046630767,1309.333,-784.8209999999999,-37.47675672371755
Albania,Koman,hydro,2041-2050,2094.154,1815.8140000000003,-278.3399999999997,-13.291286123179082,1444.521,-649.633,-31.021262046630767,1309.333,-784.8209999999999,-37.47675672371755
Albania,Vau i Dejës,hydro,2021-2030,1138.613,958.9509999999998,-179.66200000000026,-15.779022371956078,748.458,-390.1550000000001,-34.265812879354094,715.565,-423.048,-37.15467854310464
Albania,Vau i Dejës,hydro,2031-2040,1174.482,954.8280000000001,-219.65399999999988,-18.702202332602788,728.653,-445.82899999999995,-37.959628159477965,656.729,-517.7529999999999,-44.083519372795834
Albania,Vau i Dejës,hydro,2041-2050,1174.482,954.8280000000001,-219.65399999999988,-18.702202332602788,728.653,-445.82899999999995,-37.959628159477965,656.729,-517.7529999999999,-44.083519372795834
Albania,ALPHYDMHO0,hydro,2021-2030,374.2799999999999,374.2799999999999,0.0,0.0,374.2799999999999,0.0,0.0,374.2799999999999,0.0,0.0
Albania,ALPHYDMHO0,hydro,2031-2040,374.2799999999999,374.2799999999999,0.0,0.0,374.2799999999999,0.0,0.0,374.2799999999999,0.0,0.0
Albania,ALPHYDMHO0,hydro,2041-2050,374.2799999999999,374.2799999999999,0.0,0.0,374.2799999999999,0.0,0.0,374.2799999999999,0.0,0.0
Albania,Skavica,hydro,2021-2030,,549.61,,,549.61,,,549.61,,
Albania,Skavica,hydro,2031-2040,,549.6099999999999,,,549.6099999999999,,,549.6099999999999,,
Albania,Skavica,hydro,2041-2050,,549.6099999999999,,,549.6099999999999,,,549.6099999999999,,
Albania,ALPHYDMNO0,hydro,2021-2030,1150.7379999999998,1150.7379999999998,0.0,0.0,1150.7379999999998,0.0,0.0,1150.7379999999998,0.0,0.0
Albania,ALPHYDMNO0,hydro,2031-2040,1201.4699999999998,1201.4699999999998,0.0,0.0,1201.4699999999998,0.0,0.0,1201.4699999999998,0.0,0.0
Albania,ALPHYDMNO0,hydro,2041-2050,1201.4699999999998,1201.4699999999998,0.0,0.0,1201.4699999999998,0.0,0.0,1201.4699999999998,0.0,0.0
Albania,ALPHYRRHI0,hydro,2021-2030,207.63999999999993,207.63999999999993,0.0,0.0,207.63999999999993,0.0,0.0,207.63999999999993,0.0,0.0
Albania,ALPHYRRHI0,hydro,2031-2040,207.63999999999993,207.63999999999993,0.0,0.0,207.63999999999993,0.0,0.0,207.63999999999993,0.0,0.0
Albania,ALPHYRRHI0,hydro,2041-2050,207.63999999999993,207.63999999999993,0.0,0.0,207.63999999999993,0.0,0.0,207.63999999999993,0.0,0.0
Albania,ALPHYRRHO0,hydro,2021-2030,541.4700000000001,541.4700000000001,0.0,0.0,541.4700000000001,0.0,0.0,541.4700000000001,0.0,0.0
