,scenario,catchment,week,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
0,ref,ALCWTCT2DD,1,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464,0.464
1,ref,ALCWTCT2DD,2,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345
2,ref,ALCWTCT2DD,3,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222,0.222
3,ref,ALCWTCT2DD,4,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303,0.303
4,ref,ALCWTCT2DD,5,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.444
5,ref,ALCWTCT2DD,6,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357
6,ref,ALCWTCT2DD,7,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333
7,ref,ALCWTCT2DD,8,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325
8,ref,ALCWTCT2DD,9,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469,0.469
9,ref,ALCWTCT2DD,10,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379
10,ref,ALCWTCT2DD,11,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513,0.513
11,ref,ALCWTCT2DD,12,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634,0.634
12,ref,ALCWTCT2DD,13,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.762
13,ref,ALCWTCT2DD,14,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524
14,ref,ALCWTCT2DD,15,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73
15,ref,ALCWTCT2DD,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,ref,ALCWTCT2DD,17,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943,0.943
