scenario,catchment,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
RCP26,ALCWTCT1DD,30.212,89.336,2.08,92.56,57.252,97.552,28.184,75.348,0.884,36.816,46.176,154.908,25.584,160.576,125.32,123.864,134.732,8.476,45.708,23.036,44.096,154.908,92.04,160.576,28.34,7.592,31.616,54.912,73.424,139.308,127.608,75.92,160.576,18.408,81.796,17.888
RCP26,ALCWTCT2DD,59.956,62.608,229.84,5.408,51.168,9.1,2.912,17.888,117.884,104.676,17.68,3.64,5.772,5.928,6.084,5.2,210.912,138.112,100.932,25.064,130.572,5.096,35.1,226.148,4.108,3.328,166.816,89.284,22.776,92.768,27.248,27.82,35.672,6.396,7.592,17.888
RCP26,ALCWTCT3DD,5.668,5.668,5.668,5.668,5.668,5.668,5.668,5.668,5.668,5.668,5.668,5.668,5.668,5.668,5.668,5.668,5.668,5.668,5.668,5.668,5.668,5.668,5.668,5.668,5.668,5.668,5.668,5.668,5.668,5.668,5.668,5.668,5.668,5.668,5.668,5.668
RCP26,ALCWTRS1DD,639.6,656.864,1452.308,196.248,985.192,44.616,28.548,345.904,991.016,355.212,210.548,246.584,52.104,0.0,4.992,60.372,1655.368,457.704,429.156,968.24,1637.012,0.0,597.168,946.244,0.0,0.0,2630.784,486.252,361.192,210.392,3755.648,1177.592,365.456,472.16,321.724,388.804
RCP26,ALCWTRS2DD,699.556,787.02,1718.912,201.656,1127.516,126.1,32.916,426.348,1268.748,459.888,263.12,254.54,59.956,5.928,11.076,68.588,2447.692,595.816,530.088,1090.44,1951.508,5.096,690.872,1172.392,4.108,6.136,3668.392,575.536,486.252,337.116,3856.632,1538.68,425.776,523.848,329.628,447.928
RCP26,ALCWTRS3DD,978.432,1113.684,1907.516,591.656,1332.032,359.008,99.32,627.536,1825.772,641.628,484.9,353.912,395.72,113.464,350.168,88.712,3264.144,1120.08,812.656,1496.768,2824.276,68.9,1085.448,1748.708,64.584,20.852,2945.176,964.6,795.548,632.944,3860.792,2651.896,696.28,1734.304,893.828,550.836
RCP26,MKCWTCT1BD,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988,0.988
RCP26,MKCWTCT2BD,222.248,127.244,184.808,77.272,124.072,109.408,87.568,109.824,178.048,116.376,109.044,87.776,113.724,57.928,68.848,82.576,179.556,143.988,100.672,198.796,148.252,104.936,93.86,142.272,91.52,73.476,197.704,105.092,99.528,123.864,121.576,181.688,86.32,114.14,234.832,91.468
RCP26,MKCWTCT3DD,26.156,19.604,123.032,0.624,4.992,0.624,0.624,0.624,51.948,0.624,0.624,0.624,0.624,0.624,0.624,0.624,60.06,20.124,0.624,65.728,0.624,0.624,0.624,29.588,0.624,0.624,20.02,0.624,0.624,0.624,22.36,0.624,0.624,0.624,0.624,0.624
RCP26,MKCWTLK0BD,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58,21.58
RCP26,MKCWTRS1BD,119.444,94.64,105.976,89.128,115.232,69.68,81.276,81.64,106.08,91.312,84.5,101.816,76.44,45.292,41.704,66.716,114.764,87.36,61.204,118.924,115.544,60.58,58.344,125.736,54.912,53.716,85.956,79.872,69.732,47.216,100.516,112.164,89.648,87.152,114.816,96.876
RCP26,MKCWTRS2BD,342.472,236.496,290.784,166.4,239.304,179.088,171.548,191.464,284.128,207.688,193.596,189.592,190.164,108.368,114.608,149.968,294.32,231.348,171.392,317.72,265.304,165.516,152.204,300.144,146.432,130.0,288.132,186.42,169.26,171.08,222.092,295.152,175.968,201.292,349.648,188.344
RCP26,MKCWTRS3DD,371.072,263.172,516.36,101.296,310.44,112.008,95.056,171.912,342.784,199.316,141.752,102.804,196.092,8.112,51.688,48.152,354.38,340.548,168.168,396.032,197.132,109.668,138.84,416.416,56.784,62.608,404.352,204.932,150.54,138.372,265.72,274.04,176.592,140.296,332.956,120.276
RCP26,XKCWTRS1WD,536.432,554.216,787.644,516.984,572.104,261.3,277.472,514.228,530.4,347.672,382.044,535.184,309.088,221.208,268.684,353.912,731.432,396.136,478.088,593.216,576.992,212.836,370.864,664.456,252.2,160.576,495.976,467.844,398.268,247.208,864.552,484.848,402.116,560.248,388.648,587.392
