,model,scenario,year,catchment,week,value
0,e_hype,RCP26,2020,ohrid,1,0.0
1,e_hype,RCP26,2020,ohrid,2,0.0
2,e_hype,RCP26,2020,ohrid,3,0.0
3,e_hype,RCP26,2020,ohrid,4,0.0
4,e_hype,RCP26,2020,ohrid,5,0.0
5,e_hype,RCP26,2020,ohrid,6,0.0
6,e_hype,RCP26,2020,ohrid,7,0.0
7,e_hype,RCP26,2020,ohrid,8,0.0
8,e_hype,RCP26,2020,ohrid,9,0.0
9,e_hype,RCP26,2020,ohrid,10,0.0
10,e_hype,RCP26,2020,ohrid,11,0.0
11,e_hype,RCP26,2020,ohrid,12,0.0
12,e_hype,RCP26,2020,ohrid,13,0.0
13,e_hype,RCP26,2020,ohrid,14,0.0
14,e_hype,RCP26,2020,ohrid,15,0.0
15,e_hype,RCP26,2020,ohrid,16,0.0
16,e_hype,RCP26,2020,ohrid,17,0.0
17,e_hype,RCP26,2020,ohrid,18,0.0
18,e_hype,RCP26,2020,ohrid,19,0.0
19,e_hype,RCP26,2020,ohrid,20,0.0
20,e_hype,RCP26,2020,ohrid,21,0.0
21,e_hype,RCP26,2020,ohrid,22,0.0
22,e_hype,RCP26,2020,ohrid,23,0.0
23,e_hype,RCP26,2020,ohrid,24,0.0
24,e_hype,RCP26,2020,ohrid,25,0.0
25,e_hype,RCP26,2020,ohrid,26,0.0
26,e_hype,RCP26,2020,ohrid,27,0.0
27,e_hype,RCP26,2020,ohrid,28,0.0
28,e_hype,RCP26,2020,ohrid,29,0.0
29,e_hype,RCP26,2020,ohrid,30,0.0
30,e_hype,RCP26,2020,ohrid,31,0.0
31,e_hype,RCP26,2020,ohrid,32,0.0
32,e_hype,RCP26,2020,ohrid,33,0.0
33,e_hype,RCP26,2020,ohrid,34,0.0
34,e_hype,RCP26,2020,ohrid,35,0.0
35,e_hype,RCP26,2020,ohrid,36,0.0
36,e_hype,RCP26,2020,ohrid,37,0.0
37,e_hype,RCP26,2020,ohrid,38,0.0
38,e_hype,RCP26,2020,ohrid,39,0.0
39,e_hype,RCP26,2020,ohrid,40,0.0
40,e_hype,RCP26,2020,ohrid,41,0.0
41,e_hype,RCP26,2020,ohrid,42,0.0
42,e_hype,RCP26,2020,ohrid,43,0.0
43,e_hype,RCP26,2020,ohrid,44,0.0
