scenario,catchment,week,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
RCP45,MKCWTRS3DD,1,0.717,0.839,0.807,0.416,0.767,0.523,0.587,0.676,0.467,0.631,0.729,0.74,0.52,1.105,0.621,0.664,0.639,0.639,0.759,0.64,0.469,0.787,0.636,0.69,0.837,0.979,0.579,0.841,0.784,0.552,0.441,0.435,0.508,0.612,0.543,0.756
RCP45,MKCWTRS3DD,2,0.772,0.588,0.941,0.358,0.898,0.405,0.545,0.477,0.406,0.55,0.517,0.855,0.482,1.185,0.446,0.758,1.112,0.756,0.515,0.794,0.421,0.787,0.562,1.054,0.809,1.108,0.567,0.768,0.802,0.438,0.647,0.483,0.439,0.522,0.451,0.635
RCP45,MKCWTRS3DD,3,0.781,0.675,0.683,0.292,0.914,0.35,0.729,0.567,0.364,0.527,0.515,0.824,0.491,1.027,0.368,0.457,0.929,0.694,0.396,0.479,0.527,0.968,0.621,0.686,0.888,1.082,0.638,0.567,0.578,0.549,0.685,0.407,0.557,0.465,0.455,0.778
RCP45,MKCWTRS3DD,4,0.802,0.602,0.537,0.256,0.733,0.413,0.782,0.669,0.491,0.424,0.543,0.521,0.499,0.802,0.37,0.457,0.817,0.801,0.457,1.114,0.739,0.723,0.726,0.5,0.854,0.669,0.853,0.643,0.464,0.524,0.55,0.571,0.825,0.457,0.38,0.835
RCP45,MKCWTRS3DD,5,0.808,0.628,0.578,0.299,0.732,0.536,0.676,0.446,0.564,0.489,0.711,0.462,0.529,0.662,0.773,0.77,0.667,0.603,0.731,1.347,0.827,0.712,0.523,0.635,0.996,0.537,0.855,0.659,0.513,0.971,0.562,0.49,0.819,0.444,0.325,1.074
RCP45,MKCWTRS3DD,6,0.724,0.667,0.606,0.53,0.912,0.874,1.045,0.703,0.594,0.64,0.593,0.582,0.407,0.617,0.615,0.742,0.735,0.543,0.627,0.815,0.967,0.585,0.6,1.064,0.931,0.604,0.801,0.574,0.362,1.106,0.518,0.739,0.63,0.502,0.321,0.834
RCP45,MKCWTRS3DD,7,0.906,0.706,1.048,0.578,0.986,1.276,1.094,0.784,0.981,0.925,0.547,0.741,0.45,0.737,0.579,0.919,0.66,0.482,0.774,0.774,1.095,0.51,0.607,0.857,0.898,0.696,0.65,0.989,0.412,0.831,0.517,0.801,0.484,0.948,0.393,0.648
RCP45,MKCWTRS3DD,8,0.957,0.7,1.078,0.595,0.685,0.909,0.774,0.647,1.027,0.837,0.589,0.634,0.575,0.812,0.682,0.907,0.63,0.748,0.831,0.61,0.983,0.544,0.727,0.796,0.88,0.747,0.97,0.937,0.822,0.721,0.5,0.714,0.672,0.918,0.846,0.587
RCP45,MKCWTRS3DD,9,0.547,0.681,1.018,0.684,1.03,0.679,0.696,1.174,1.058,0.733,0.746,0.733,0.706,1.145,0.862,0.53,0.592,0.934,0.737,0.555,0.778,0.421,0.872,0.904,0.698,0.598,1.005,1.347,0.77,0.776,0.417,0.625,1.028,0.955,1.106,0.56
RCP45,MKCWTRS3DD,10,0.559,0.564,1.084,0.682,0.878,0.77,0.666,1.062,0.743,0.945,0.637,0.989,0.763,1.066,0.801,0.528,0.821,0.81,0.661,0.646,0.583,0.603,0.524,0.921,0.715,0.722,0.876,1.085,0.852,0.782,0.43,0.616,1.425,0.719,0.79,0.624
RCP45,MKCWTRS3DD,11,0.676,0.498,0.733,0.545,0.911,0.857,0.792,1.003,0.494,0.672,0.612,0.807,0.686,0.963,0.654,0.565,0.854,0.706,0.56,0.429,0.563,0.756,0.51,0.673,0.701,0.74,0.706,0.978,0.762,0.967,0.561,0.726,1.162,0.626,0.551,0.612
RCP45,MKCWTRS3DD,12,0.79,0.647,0.727,0.555,0.776,0.844,0.803,1.181,0.517,0.696,0.488,0.701,0.6,1.053,0.563,0.7,1.289,0.966,0.621,0.514,0.559,0.608,0.699,0.576,1.034,0.838,0.741,1.025,0.749,0.699,0.596,0.552,0.957,0.71,0.54,0.725
RCP45,MKCWTRS3DD,13,0.735,0.674,1.111,0.673,0.669,0.78,0.632,0.808,0.625,0.662,0.455,0.728,1.003,0.963,0.539,0.826,1.021,1.357,0.623,0.429,0.578,0.419,0.665,0.442,0.777,0.679,0.658,0.966,0.552,0.853,0.623,0.664,0.759,0.499,0.483,0.681
RCP45,MKCWTRS3DD,14,0.835,0.597,0.763,0.646,0.523,0.695,0.596,0.777,0.645,0.652,0.453,0.637,0.862,0.878,0.716,0.736,0.753,0.997,0.609,0.427,0.538,0.459,0.587,0.428,0.775,0.564,0.627,0.669,0.503,0.849,0.506,0.706,0.545,0.518,0.654,0.609
RCP45,MKCWTRS3DD,15,0.612,0.541,0.59,0.516,0.387,0.602,0.566,0.569,0.611,0.71,0.634,0.523,0.641,0.888,0.755,0.632,0.764,0.9,0.48,0.485,0.394,0.46,0.533,0.38,0.724,0.516,0.738,0.826,0.406,0.566,0.594,0.498,0.495,0.408,0.588,0.739
RCP45,MKCWTRS3DD,16,0.905,0.493,0.655,0.51,0.497,0.671,0.577,0.551,0.552,0.577,0.6,0.574,0.48,0.59,0.668,0.578,0.917,0.617,0.516,0.334,0.441,0.387,0.554,0.43,0.532,0.548,0.417,0.679,0.295,0.62,0.598,0.373,0.493,0.422,0.557,0.54
RCP45,MKCWTRS3DD,17,0.734,0.604,0.596,0.479,0.619,0.502,0.483,0.45,0.567,0.61,0.4,0.632,0.523,0.521,0.515,0.622,0.607,0.511,0.389,0.299,0.401,0.395,0.542,0.44,0.484,0.435,0.306,0.495,0.27,0.615,0.498,0.549,0.466,0.347,0.568,0.478
RCP45,MKCWTRS3DD,18,0.683,0.431,0.768,0.583,0.413,0.444,0.486,0.476,0.401,0.457,0.305,0.489,0.478,0.373,0.581,0.579,0.925,0.454,0.325,0.34,0.321,0.607,0.382,0.483,0.594,0.408,0.293,0.453,0.284,0.522,0.588,0.538,0.469,0.336,0.745,0.276
RCP45,MKCWTRS3DD,19,0.743,0.359,0.726,0.466,0.325,0.424,0.413,0.407,0.419,0.431,0.306,0.423,0.332,0.322,0.424,0.356,0.736,0.429,0.254,0.254,0.244,0.398,0.324,0.349,0.389,0.447,0.245,0.283,0.238,0.444,0.481,0.35,0.458,0.373,0.558,0.226
RCP45,MKCWTRS3DD,20,0.485,0.289,0.445,0.375,0.253,0.24,0.294,0.406,0.402,0.431,0.37,0.299,0.272,0.301,0.41,0.327,0.348,0.392,0.218,0.181,0.306,0.233,0.38,0.321,0.331,0.325,0.262,0.286,0.183,0.405,0.345,0.299,0.32,0.295,0.424,0.194
RCP45,MKCWTRS3DD,21,0.285,0.205,0.274,0.359,0.188,0.205,0.312,0.283,0.308,0.317,0.297,0.249,0.201,0.22,0.331,0.234,0.25,0.421,0.382,0.134,0.226,0.147,0.327,0.296,0.314,0.249,0.256,0.273,0.133,0.309,0.372,0.427,0.228,0.232,0.323,0.201
RCP45,MKCWTRS3DD,22,0.465,0.158,0.31,0.366,0.14,0.205,0.241,0.185,0.293,0.263,0.247,0.18,0.2,0.17,0.248,0.3,0.233,0.328,0.267,0.154,0.153,0.136,0.21,0.207,0.169,0.227,0.183,0.215,0.111,0.225,0.272,0.384,0.216,0.217,0.227,0.219
RCP45,MKCWTRS3DD,23,0.378,0.123,0.266,0.285,0.158,0.159,0.164,0.18,0.208,0.283,0.206,0.188,0.364,0.317,0.169,0.388,0.184,0.268,0.181,0.114,0.142,0.106,0.164,0.172,0.143,0.158,0.181,0.201,0.212,0.31,0.22,0.353,0.132,0.296,0.191,0.14
RCP45,MKCWTRS3DD,24,0.346,0.14,0.219,0.232,0.118,0.137,0.174,0.267,0.212,0.306,0.231,0.148,0.272,0.186,0.158,0.237,0.152,0.315,0.086,0.112,0.074,0.109,0.11,0.218,0.101,0.124,0.089,0.24,0.174,0.219,0.205,0.25,0.181,0.488,0.247,0.066
RCP45,MKCWTRS3DD,25,0.257,0.11,0.132,0.194,0.105,0.08,0.195,0.134,0.193,0.251,0.14,0.109,0.144,0.142,0.169,0.272,0.165,0.294,0.051,0.089,0.057,0.087,0.072,0.195,0.072,0.212,0.047,0.176,0.233,0.257,0.201,0.133,0.114,0.385,0.13,0.044
RCP45,MKCWTRS3DD,26,0.314,0.085,0.204,0.13,0.056,0.066,0.124,0.121,0.149,0.164,0.089,0.077,0.1,0.081,0.098,0.146,0.152,0.118,0.045,0.038,0.08,0.056,0.06,0.151,0.086,0.157,0.06,0.197,0.129,0.208,0.257,0.095,0.062,0.248,0.092,0.058
RCP45,MKCWTRS3DD,27,0.229,0.049,0.113,0.076,0.068,0.068,0.075,0.082,0.089,0.126,0.172,0.062,0.085,0.064,0.052,0.083,0.134,0.094,0.024,0.072,0.068,0.08,0.07,0.083,0.066,0.062,0.044,0.171,0.103,0.197,0.195,0.069,0.035,0.141,0.053,0.058
