scenario,catchment,week,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
RCP26,ALCWTCT3DD,20,0.237,0.134,0.459,0.297,0.111,0.317,0.209,0.722,0.377,0.193,0.161,0.329,0.165,0.004,0.339,0.36,0.617,0.292,0.379,0.533,0.897,0.175,0.282,0.52,0.351,0.151,0.315,0.17,0.246,0.399,0.584,0.257,0.504,0.545,0.463,0.43
RCP26,ALCWTCT3DD,21,0.105,0.125,0.343,0.154,0.052,0.413,0.128,0.384,0.392,0.105,0.494,0.267,0.165,0.001,0.221,0.222,0.409,0.253,0.106,0.31,0.543,0.374,0.248,0.331,0.296,0.144,0.281,0.12,0.167,0.257,0.448,0.479,0.223,0.315,0.206,0.31
RCP26,ALCWTCT3DD,22,0.046,0.001,0.437,0.053,0.012,0.293,0.053,0.147,0.367,0.11,0.436,0.123,0.12,0.365,0.126,0.146,0.4,0.265,0.037,0.217,0.445,0.007,0.171,0.115,0.178,0.268,0.348,0.081,0.04,0.001,0.174,0.57,0.264,0.184,0.2,0.23
RCP26,ALCWTCT3DD,23,0.001,0.13,0.26,0.104,0.097,0.001,0.004,0.077,0.222,0.036,0.171,0.072,0.242,0.158,0.077,0.071,0.185,0.213,0.03,0.051,0.358,0.113,0.079,0.042,0.487,0.149,0.308,0.076,0.003,0.305,0.055,0.172,0.216,0.117,0.187,0.226
RCP26,ALCWTCT3DD,24,0.001,0.195,0.207,0.051,0.176,0.169,0.001,0.025,0.011,0.432,0.129,0.013,0.168,0.532,0.111,0.059,0.09,0.001,0.32,0.001,0.167,0.509,0.045,0.187,0.108,0.086,0.314,0.091,0.001,0.319,0.093,0.307,0.348,0.135,0.131,0.128
RCP26,ALCWTCT3DD,25,0.001,0.456,0.159,0.031,0.058,0.238,0.105,0.001,0.216,0.144,0.075,0.052,0.43,0.21,0.04,0.067,0.001,0.148,0.125,0.118,0.091,0.3,0.435,0.056,0.118,0.005,0.208,0.095,0.052,0.322,0.262,0.212,0.319,0.113,0.061,0.063
RCP26,ALCWTCT3DD,26,0.1,0.211,0.109,0.034,0.005,0.109,0.215,0.001,0.084,0.02,0.217,0.001,0.001,0.136,0.054,0.267,0.001,0.705,0.1,0.123,0.038,0.329,0.707,0.114,0.001,0.225,0.149,0.317,0.276,0.454,0.089,0.001,0.121,0.001,0.053,0.015
RCP26,ALCWTCT3DD,27,0.42,0.046,0.058,0.002,0.398,0.029,0.491,0.001,0.022,0.027,0.448,0.045,0.192,0.099,0.043,0.296,0.064,0.416,0.145,0.098,0.012,0.353,0.001,0.053,0.05,0.303,0.083,0.308,0.373,0.113,0.061,0.182,0.036,0.22,0.036,0.025
RCP26,ALCWTCT3DD,28,0.001,0.031,0.02,0.148,0.117,0.001,0.524,0.384,0.03,0.001,0.232,0.04,0.528,0.037,0.019,0.091,0.058,0.201,0.001,0.001,0.088,0.291,0.297,0.041,0.039,0.049,0.001,0.129,0.106,0.102,0.268,0.122,0.001,0.057,0.26,0.088
RCP26,ALCWTCT3DD,29,0.206,0.067,0.424,0.767,0.144,0.427,0.248,0.163,0.001,0.027,0.001,0.135,0.28,0.007,0.153,0.414,0.034,0.106,0.087,0.403,0.118,0.14,0.148,0.202,0.003,0.04,0.191,0.338,0.09,0.072,0.619,0.001,0.343,0.064,0.548,0.001
