scenario,catchment,week,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
RCP45,ALCWTRS2DD,1,0.882,0.792,0.837,0.364,0.638,0.635,0.628,0.614,0.564,0.523,0.822,0.692,0.664,0.855,0.63,0.647,0.553,0.645,0.674,0.404,0.516,0.612,0.62,0.506,0.482,0.848,0.625,0.554,0.683,0.601,0.448,0.56,0.646,0.557,0.678,0.665
RCP45,ALCWTRS2DD,2,0.772,0.685,0.82,0.329,0.579,0.523,0.545,0.521,0.53,0.45,0.672,0.728,0.635,0.876,0.607,0.624,0.58,0.682,0.581,0.436,0.464,0.569,0.706,0.686,0.49,1.047,0.614,0.555,0.681,0.47,0.495,0.444,0.5,0.474,0.554,0.578
RCP45,ALCWTRS2DD,3,0.698,0.626,0.823,0.303,0.812,0.467,0.568,0.612,0.465,0.396,0.588,0.588,0.548,0.972,0.511,0.549,0.659,0.691,0.482,0.445,0.458,0.69,0.62,0.688,0.497,0.983,0.641,0.53,0.724,0.433,0.526,0.399,0.527,0.452,0.519,0.656
RCP45,ALCWTRS2DD,4,0.614,0.607,0.713,0.295,0.624,0.489,0.665,0.549,0.551,0.376,0.607,0.549,0.496,0.674,0.466,0.482,0.545,0.813,0.47,0.552,0.45,0.761,0.657,0.559,0.585,0.716,0.851,0.54,0.605,0.503,0.511,0.44,0.711,0.471,0.471,0.767
RCP45,ALCWTRS2DD,5,0.663,0.642,0.65,0.323,0.52,0.587,0.698,0.462,0.603,0.411,0.711,0.499,0.536,0.532,0.584,0.491,0.458,0.662,0.568,1.115,0.497,0.798,0.564,0.532,0.825,0.597,0.805,0.659,0.597,0.685,0.475,0.505,0.706,0.484,0.418,0.988
RCP45,ALCWTRS2DD,6,0.626,0.689,0.625,0.405,0.595,0.843,0.823,0.491,0.655,0.488,0.622,0.593,0.511,0.532,0.604,0.583,0.49,0.669,0.568,0.892,0.604,0.703,0.572,0.76,0.86,0.633,0.822,0.617,0.478,0.876,0.454,0.601,0.576,0.484,0.406,0.976
RCP45,ALCWTRS2DD,7,0.839,0.681,0.856,0.491,0.866,1.135,0.994,0.515,0.779,0.689,0.53,0.737,0.49,0.671,0.549,0.739,0.558,0.631,0.575,0.731,0.776,0.639,0.652,0.66,0.827,0.651,0.674,0.735,0.417,0.868,0.493,0.593,0.458,0.671,0.42,0.748
RCP45,ALCWTRS2DD,8,0.975,0.705,0.917,0.532,0.713,1.051,0.749,0.547,0.67,0.726,0.575,0.699,0.575,0.75,0.551,0.828,0.619,0.651,0.692,0.625,0.787,0.635,0.716,0.826,0.862,0.686,0.632,0.824,0.632,0.733,0.524,0.53,0.647,0.659,0.531,0.646
RCP45,ALCWTRS2DD,9,0.714,0.682,0.824,0.516,0.862,0.819,0.669,0.773,0.711,0.677,0.687,0.707,0.629,0.928,0.656,0.666,0.608,0.813,0.694,0.531,0.758,0.548,0.886,0.799,0.713,0.652,0.812,1.235,0.698,0.737,0.505,0.483,1.011,0.727,0.78,0.605
RCP45,ALCWTRS2DD,10,0.569,0.63,0.964,0.532,0.844,0.718,0.637,0.899,0.705,0.743,0.662,0.793,0.685,0.939,0.677,0.586,0.681,0.842,0.625,0.59,0.645,0.612,0.672,0.807,0.712,0.685,0.718,1.132,0.66,0.808,0.476,0.517,1.225,0.7,0.675,0.6
RCP45,ALCWTRS2DD,11,0.625,0.587,0.842,0.495,0.827,0.752,0.684,0.972,0.559,0.667,0.639,0.784,0.644,0.818,0.624,0.589,0.775,0.788,0.616,0.541,0.567,0.666,0.617,0.753,0.714,0.716,0.677,0.987,0.631,0.869,0.524,0.612,1.058,0.616,0.537,0.648
RCP45,ALCWTRS2DD,12,0.686,0.667,0.71,0.51,0.794,0.742,0.748,1.044,0.503,0.617,0.548,0.709,0.643,0.81,0.51,0.763,0.852,0.834,0.669,0.524,0.556,0.61,0.638,0.761,0.818,0.685,0.65,0.933,0.663,0.742,0.639,0.605,0.938,0.614,0.482,0.657
RCP45,ALCWTRS2DD,13,0.644,0.734,0.903,0.51,0.707,0.707,0.707,0.884,0.548,0.631,0.5,0.721,0.815,0.819,0.497,0.73,0.908,0.978,0.644,0.502,0.567,0.512,0.608,0.607,0.791,0.702,0.671,0.982,0.543,0.73,0.677,0.601,0.867,0.624,0.44,0.682
RCP45,ALCWTRS2DD,14,0.677,0.682,0.828,0.505,0.639,0.706,0.666,0.819,0.599,0.69,0.54,0.73,0.882,0.816,0.65,0.664,0.764,0.908,0.676,0.499,0.605,0.478,0.587,0.559,0.857,0.616,0.675,0.811,0.491,0.751,0.646,0.714,0.67,0.534,0.464,0.647
RCP45,ALCWTRS2DD,15,0.622,0.732,0.664,0.453,0.538,0.643,0.601,0.711,0.653,0.699,0.582,0.694,0.804,0.884,0.652,0.567,0.73,0.833,0.607,0.581,0.518,0.498,0.57,0.521,0.846,0.63,0.725,0.84,0.488,0.568,0.691,0.61,0.607,0.473,0.595,0.656
RCP45,ALCWTRS2DD,16,0.633,0.712,0.65,0.463,0.549,0.61,0.564,0.688,0.604,0.669,0.6,0.678,0.686,0.767,0.594,0.54,0.806,0.693,0.562,0.537,0.498,0.465,0.549,0.512,0.654,0.712,0.632,0.877,0.483,0.571,0.644,0.558,0.634,0.474,0.616,0.593
RCP45,ALCWTRS2DD,17,0.699,0.676,0.671,0.411,0.548,0.549,0.54,0.614,0.563,0.614,0.565,0.698,0.601,0.669,0.514,0.546,0.68,0.576,0.525,0.428,0.481,0.455,0.546,0.54,0.585,0.607,0.503,0.678,0.481,0.594,0.516,0.578,0.599,0.48,0.644,0.53
RCP45,ALCWTRS2DD,18,0.749,0.617,0.857,0.463,0.525,0.491,0.603,0.572,0.484,0.542,0.524,0.585,0.549,0.554,0.51,0.564,0.727,0.527,0.518,0.395,0.479,0.526,0.521,0.53,0.61,0.618,0.489,0.619,0.462,0.538,0.478,0.632,0.597,0.485,0.653,0.468
RCP45,ALCWTRS2DD,19,0.755,0.503,0.877,0.462,0.472,0.486,0.56,0.5,0.51,0.511,0.479,0.569,0.481,0.515,0.471,0.507,0.777,0.535,0.476,0.367,0.431,0.471,0.496,0.511,0.553,0.596,0.445,0.496,0.41,0.474,0.461,0.545,0.563,0.463,0.601,0.438
RCP45,ALCWTRS2DD,20,0.624,0.448,0.708,0.429,0.463,0.461,0.491,0.456,0.53,0.461,0.507,0.45,0.447,0.482,0.482,0.46,0.564,0.532,0.451,0.258,0.431,0.422,0.482,0.537,0.508,0.552,0.455,0.441,0.363,0.435,0.45,0.478,0.477,0.442,0.6,0.429
RCP45,ALCWTRS2DD,21,0.503,0.377,0.523,0.402,0.447,0.433,0.484,0.444,0.451,0.424,0.499,0.384,0.438,0.414,0.448,0.439,0.471,0.48,0.418,0.232,0.415,0.388,0.422,0.493,0.45,0.505,0.468,0.45,0.351,0.451,0.485,0.497,0.438,0.43,0.543,0.428
RCP45,ALCWTRS2DD,22,0.47,0.358,0.512,0.366,0.419,0.418,0.44,0.417,0.472,0.407,0.458,0.352,0.439,0.395,0.335,0.467,0.438,0.457,0.432,0.227,0.407,0.382,0.377,0.442,0.422,0.458,0.431,0.44,0.348,0.406,0.46,0.463,0.432,0.417,0.467,0.406
RCP45,ALCWTRS2DD,23,0.504,0.354,0.514,0.337,0.431,0.411,0.423,0.424,0.436,0.455,0.436,0.354,0.448,0.448,0.288,0.481,0.431,0.441,0.419,0.199,0.402,0.353,0.374,0.386,0.407,0.43,0.361,0.436,0.376,0.406,0.432,0.467,0.41,0.412,0.439,0.347
RCP45,ALCWTRS2DD,24,0.512,0.303,0.43,0.357,0.411,0.417,0.416,0.424,0.394,0.466,0.445,0.359,0.39,0.415,0.309,0.441,0.425,0.45,0.365,0.19,0.33,0.376,0.283,0.413,0.406,0.381,0.329,0.448,0.372,0.431,0.428,0.407,0.411,0.377,0.416,0.274
RCP45,ALCWTRS2DD,25,0.469,0.259,0.408,0.331,0.42,0.299,0.429,0.412,0.372,0.421,0.41,0.333,0.345,0.301,0.33,0.456,0.449,0.443,0.304,0.137,0.319,0.338,0.256,0.393,0.412,0.383,0.295,0.424,0.291,0.398,0.423,0.286,0.328,0.444,0.335,0.263
