,model,scenario,year,catchment,week,value
0,e_hype,RCP85,2020,ohrid,1,6.42
1,e_hype,RCP85,2020,ohrid,2,3.224
2,e_hype,RCP85,2020,ohrid,3,6.018
3,e_hype,RCP85,2020,ohrid,4,6.617
4,e_hype,RCP85,2020,ohrid,5,7.221
5,e_hype,RCP85,2020,ohrid,6,4.35
6,e_hype,RCP85,2020,ohrid,7,6.779
7,e_hype,RCP85,2020,ohrid,8,9.1
8,e_hype,RCP85,2020,ohrid,9,8.652
9,e_hype,RCP85,2020,ohrid,10,4.539
10,e_hype,RCP85,2020,ohrid,11,8.489
11,e_hype,RCP85,2020,ohrid,12,11.196
12,e_hype,RCP85,2020,ohrid,13,10.67
13,e_hype,RCP85,2020,ohrid,14,6.943
14,e_hype,RCP85,2020,ohrid,15,4.884
15,e_hype,RCP85,2020,ohrid,16,10.286
16,e_hype,RCP85,2020,ohrid,17,9.736
17,e_hype,RCP85,2020,ohrid,18,8.01
18,e_hype,RCP85,2020,ohrid,19,3.525
19,e_hype,RCP85,2020,ohrid,20,7.194
20,e_hype,RCP85,2020,ohrid,21,7.074
21,e_hype,RCP85,2020,ohrid,22,7.107
22,e_hype,RCP85,2020,ohrid,23,4.972
23,e_hype,RCP85,2020,ohrid,24,3.408
24,e_hype,RCP85,2020,ohrid,25,4.253
25,e_hype,RCP85,2020,ohrid,26,4.379
26,e_hype,RCP85,2020,ohrid,27,6.198
27,e_hype,RCP85,2020,ohrid,28,1.9
28,e_hype,RCP85,2020,ohrid,29,2.101
29,e_hype,RCP85,2020,ohrid,30,1.823
30,e_hype,RCP85,2020,ohrid,31,5.406
31,e_hype,RCP85,2020,ohrid,32,3.011
32,e_hype,RCP85,2020,ohrid,33,1.046
33,e_hype,RCP85,2020,ohrid,34,0.737
34,e_hype,RCP85,2020,ohrid,35,2.519
35,e_hype,RCP85,2020,ohrid,36,5.442
36,e_hype,RCP85,2020,ohrid,37,0.929
37,e_hype,RCP85,2020,ohrid,38,0.415
38,e_hype,RCP85,2020,ohrid,39,1.131
39,e_hype,RCP85,2020,ohrid,40,5.9
40,e_hype,RCP85,2020,ohrid,41,1.554
41,e_hype,RCP85,2020,ohrid,42,0.571
42,e_hype,RCP85,2020,ohrid,43,0.524
43,e_hype,RCP85,2020,ohrid,44,4.311
