,model,scenario,year,catchment,week,value
0,e_hype,RCP45,2020,ohrid,1,6.42
1,e_hype,RCP45,2020,ohrid,2,3.224
2,e_hype,RCP45,2020,ohrid,3,6.018
3,e_hype,RCP45,2020,ohrid,4,6.617
4,e_hype,RCP45,2020,ohrid,5,7.221
5,e_hype,RCP45,2020,ohrid,6,4.35
6,e_hype,RCP45,2020,ohrid,7,6.779
7,e_hype,RCP45,2020,ohrid,8,9.1
8,e_hype,RCP45,2020,ohrid,9,8.652
9,e_hype,RCP45,2020,ohrid,10,4.539
10,e_hype,RCP45,2020,ohrid,11,8.489
11,e_hype,RCP45,2020,ohrid,12,11.196
12,e_hype,RCP45,2020,ohrid,13,10.67
13,e_hype,RCP45,2020,ohrid,14,6.943
14,e_hype,RCP45,2020,ohrid,15,4.884
15,e_hype,RCP45,2020,ohrid,16,10.286
16,e_hype,RCP45,2020,ohrid,17,9.736
17,e_hype,RCP45,2020,ohrid,18,8.01
18,e_hype,RCP45,2020,ohrid,19,3.525
19,e_hype,RCP45,2020,ohrid,20,7.194
20,e_hype,RCP45,2020,ohrid,21,7.074
21,e_hype,RCP45,2020,ohrid,22,7.107
22,e_hype,RCP45,2020,ohrid,23,4.972
23,e_hype,RCP45,2020,ohrid,24,3.408
24,e_hype,RCP45,2020,ohrid,25,4.253
25,e_hype,RCP45,2020,ohrid,26,4.379
26,e_hype,RCP45,2020,ohrid,27,6.198
27,e_hype,RCP45,2020,ohrid,28,1.9
28,e_hype,RCP45,2020,ohrid,29,2.101
29,e_hype,RCP45,2020,ohrid,30,1.823
30,e_hype,RCP45,2020,ohrid,31,5.406
31,e_hype,RCP45,2020,ohrid,32,3.011
32,e_hype,RCP45,2020,ohrid,33,1.046
33,e_hype,RCP45,2020,ohrid,34,0.737
34,e_hype,RCP45,2020,ohrid,35,2.519
35,e_hype,RCP45,2020,ohrid,36,5.442
36,e_hype,RCP45,2020,ohrid,37,0.929
37,e_hype,RCP45,2020,ohrid,38,0.415
38,e_hype,RCP45,2020,ohrid,39,1.131
39,e_hype,RCP45,2020,ohrid,40,5.9
40,e_hype,RCP45,2020,ohrid,41,1.554
41,e_hype,RCP45,2020,ohrid,42,0.571
42,e_hype,RCP45,2020,ohrid,43,0.524
43,e_hype,RCP45,2020,ohrid,44,4.311
44,e_hype,RCP45,2020,ohrid,45,3.836
45,e_hype,RCP45,2020,ohrid,46,1.124
46,e_hype,RCP45,2020,ohrid,47,1.415
47,e_hype,RCP45,2020,ohrid,48,3.468
48,e_hype,RCP45,2020,ohrid,49,5.458
49,e_hype,RCP45,2020,ohrid,50,2.113
50,e_hype,RCP45,2020,ohrid,51,3.372
51,e_hype,RCP45,2020,ohrid,52,4.062
52,e_hype,RCP45,2020,ohrid,53,
53,e_hype,RCP45,2021,ohrid,1,6.42
54,e_hype,RCP45,2021,ohrid,2,3.224
55,e_hype,RCP45,2021,ohrid,3,6.018
56,e_hype,RCP45,2021,ohrid,4,6.617
57,e_hype,RCP45,2021,ohrid,5,7.221
58,e_hype,RCP45,2021,ohrid,6,4.35
59,e_hype,RCP45,2021,ohrid,7,6.779
60,e_hype,RCP45,2021,ohrid,8,9.1
61,e_hype,RCP45,2021,ohrid,9,8.652
62,e_hype,RCP45,2021,ohrid,10,4.539
63,e_hype,RCP45,2021,ohrid,11,8.489
64,e_hype,RCP45,2021,ohrid,12,11.196
65,e_hype,RCP45,2021,ohrid,13,10.67
66,e_hype,RCP45,2021,ohrid,14,6.943
67,e_hype,RCP45,2021,ohrid,15,4.884
68,e_hype,RCP45,2021,ohrid,16,10.286
69,e_hype,RCP45,2021,ohrid,17,9.736
70,e_hype,RCP45,2021,ohrid,18,8.01
71,e_hype,RCP45,2021,ohrid,19,3.525
72,e_hype,RCP45,2021,ohrid,20,7.194
73,e_hype,RCP45,2021,ohrid,21,7.074
74,e_hype,RCP45,2021,ohrid,22,7.107
75,e_hype,RCP45,2021,ohrid,23,4.972
76,e_hype,RCP45,2021,ohrid,24,3.408
77,e_hype,RCP45,2021,ohrid,25,4.253
78,e_hype,RCP45,2021,ohrid,26,4.379
79,e_hype,RCP45,2021,ohrid,27,6.198
80,e_hype,RCP45,2021,ohrid,28,1.9
81,e_hype,RCP45,2021,ohrid,29,2.101
82,e_hype,RCP45,2021,ohrid,30,1.823
83,e_hype,RCP45,2021,ohrid,31,5.406
84,e_hype,RCP45,2021,ohrid,32,3.011
85,e_hype,RCP45,2021,ohrid,33,1.046
86,e_hype,RCP45,2021,ohrid,34,0.737
87,e_hype,RCP45,2021,ohrid,35,2.519
88,e_hype,RCP45,2021,ohrid,36,5.442
89,e_hype,RCP45,2021,ohrid,37,0.929
90,e_hype,RCP45,2021,ohrid,38,0.415
91,e_hype,RCP45,2021,ohrid,39,1.131
92,e_hype,RCP45,2021,ohrid,40,5.9
93,e_hype,RCP45,2021,ohrid,41,1.554
94,e_hype,RCP45,2021,ohrid,42,0.571
95,e_hype,RCP45,2021,ohrid,43,0.524
96,e_hype,RCP45,2021,ohrid,44,4.311
97,e_hype,RCP45,2021,ohrid,45,3.836
98,e_hype,RCP45,2021,ohrid,46,1.124
99,e_hype,RCP45,2021,ohrid,47,1.415
100,e_hype,RCP45,2021,ohrid,48,3.468
101,e_hype,RCP45,2021,ohrid,49,5.458
102,e_hype,RCP45,2021,ohrid,50,2.113
103,e_hype,RCP45,2021,ohrid,51,3.372
104,e_hype,RCP45,2021,ohrid,52,4.062
105,e_hype,RCP45,2021,ohrid,53,
106,e_hype,RCP45,2022,ohrid,1,6.42
107,e_hype,RCP45,2022,ohrid,2,3.224
108,e_hype,RCP45,2022,ohrid,3,6.018
109,e_hype,RCP45,2022,ohrid,4,6.617
110,e_hype,RCP45,2022,ohrid,5,7.221
111,e_hype,RCP45,2022,ohrid,6,4.35
112,e_hype,RCP45,2022,ohrid,7,6.779
113,e_hype,RCP45,2022,ohrid,8,9.1
114,e_hype,RCP45,2022,ohrid,9,8.652
115,e_hype,RCP45,2022,ohrid,10,4.539
116,e_hype,RCP45,2022,ohrid,11,8.489
117,e_hype,RCP45,2022,ohrid,12,11.196
118,e_hype,RCP45,2022,ohrid,13,10.67
119,e_hype,RCP45,2022,ohrid,14,6.943
120,e_hype,RCP45,2022,ohrid,15,4.884
121,e_hype,RCP45,2022,ohrid,16,10.286
122,e_hype,RCP45,2022,ohrid,17,9.736
123,e_hype,RCP45,2022,ohrid,18,8.01
124,e_hype,RCP45,2022,ohrid,19,3.525
125,e_hype,RCP45,2022,ohrid,20,7.194
126,e_hype,RCP45,2022,ohrid,21,7.074
127,e_hype,RCP45,2022,ohrid,22,7.107
128,e_hype,RCP45,2022,ohrid,23,4.972
129,e_hype,RCP45,2022,ohrid,24,3.408
130,e_hype,RCP45,2022,ohrid,25,4.253
131,e_hype,RCP45,2022,ohrid,26,4.379
132,e_hype,RCP45,2022,ohrid,27,6.198
133,e_hype,RCP45,2022,ohrid,28,1.9
134,e_hype,RCP45,2022,ohrid,29,2.101
135,e_hype,RCP45,2022,ohrid,30,1.823
136,e_hype,RCP45,2022,ohrid,31,5.406
137,e_hype,RCP45,2022,ohrid,32,3.011
138,e_hype,RCP45,2022,ohrid,33,1.046
139,e_hype,RCP45,2022,ohrid,34,0.737
140,e_hype,RCP45,2022,ohrid,35,2.519
141,e_hype,RCP45,2022,ohrid,36,5.442
142,e_hype,RCP45,2022,ohrid,37,0.929
143,e_hype,RCP45,2022,ohrid,38,0.415
144,e_hype,RCP45,2022,ohrid,39,1.131
145,e_hype,RCP45,2022,ohrid,40,5.9
146,e_hype,RCP45,2022,ohrid,41,1.554
147,e_hype,RCP45,2022,ohrid,42,0.571
148,e_hype,RCP45,2022,ohrid,43,0.524
149,e_hype,RCP45,2022,ohrid,44,4.311
