,Date,year,catchment,RCP26,RCP45,RCP85
3743,1981-04-01,1981,ohrid,0.246,2.3772,2.6390000000000002
3744,1981-04-02,1981,ohrid,0.2485,2.3907999999999996,2.65975
3745,1981-04-03,1981,ohrid,0.2625,2.4158,2.678
3746,1981-04-04,1981,ohrid,0.277,2.4417999999999997,2.6995
3747,1981-04-05,1981,ohrid,0.2785,2.467,2.71725
3748,1981-04-06,1981,ohrid,0.279,2.4845999999999995,2.73975
3749,1981-04-07,1981,ohrid,0.2775,2.4902,2.7475
3750,1981-04-08,1981,ohrid,0.281,2.5170000000000003,2.7350000000000003
3751,1981-04-09,1981,ohrid,0.279,2.536,2.7355
3752,1981-04-10,1981,ohrid,0.2765,2.5446,2.7422500000000003
3753,1981-04-11,1981,ohrid,0.273,2.5416,2.7352499999999997
3754,1981-04-12,1981,ohrid,0.2695,2.5460000000000003,2.74
3755,1981-04-13,1981,ohrid,0.2715,2.5406,2.72425
3756,1981-04-14,1981,ohrid,0.282,2.5544000000000002,2.73175
3757,1981-04-15,1981,ohrid,0.278,2.572,2.724
3758,1981-04-16,1981,ohrid,0.2735,2.5601999999999996,2.7085
3759,1981-04-17,1981,ohrid,0.2675,2.559,2.708
3760,1981-04-18,1981,ohrid,0.2675,2.5532,2.7024999999999997
3761,1981-04-19,1981,ohrid,0.2645,2.5378,2.68325
3762,1981-04-20,1981,ohrid,0.305,2.5336000000000003,2.6827500000000004
3763,1981-04-21,1981,ohrid,0.3255,2.5156,2.6687499999999997
3764,1981-04-22,1981,ohrid,0.3405,2.4916,2.65
3765,1981-04-23,1981,ohrid,0.3425,2.4612000000000003,2.6247499999999997
3766,1981-04-24,1981,ohrid,0.3415,2.4348,2.59625
3767,1981-04-25,1981,ohrid,0.355,2.4158,2.577
3768,1981-04-26,1981,ohrid,0.382,2.402,2.56475
3769,1981-04-27,1981,ohrid,0.385,2.3996000000000004,2.5685000000000002
3770,1981-04-28,1981,ohrid,0.3855,2.3824,2.5547500000000003
3771,1981-04-29,1981,ohrid,0.3845,2.3552,2.5302499999999997
3772,1981-04-30,1981,ohrid,0.39,2.3438,2.5067500000000003
3773,1981-05-01,1981,ohrid,0.392,2.312,2.4762500000000003
3774,1981-05-02,1981,ohrid,0.395,2.2852,2.4530000000000003
3775,1981-05-03,1981,ohrid,0.3945,2.2498,2.4154999999999998
3776,1981-05-04,1981,ohrid,0.391,2.2085999999999997,2.37275
3777,1981-05-05,1981,ohrid,0.402,2.1994,2.371
3778,1981-05-06,1981,ohrid,0.393,2.1718,2.34675
3779,1981-05-07,1981,ohrid,0.382,2.2474,2.4312500000000004
3780,1981-05-08,1981,ohrid,0.3715,2.2394000000000003,2.4145000000000003
3781,1981-05-09,1981,ohrid,0.3995,2.2818,2.47175
3782,1981-05-10,1981,ohrid,0.3935,2.2737999999999996,2.46575
3783,1981-05-11,1981,ohrid,0.3995,2.2876000000000003,2.48725
3784,1981-05-12,1981,ohrid,0.3935,2.299,2.5060000000000002
3785,1981-05-13,1981,ohrid,0.392,2.2716000000000003,2.47825
3786,1981-05-14,1981,ohrid,0.3915,2.2497999999999996,2.4602500000000003
3787,1981-05-15,1981,ohrid,0.383,2.2156,2.426
3788,1981-05-16,1981,ohrid,0.3735,2.1916,2.40175
3789,1981-05-17,1981,ohrid,0.3745,2.154,2.36525
3790,1981-05-18,1981,ohrid,0.406,2.1384,2.34875
3791,1981-05-19,1981,ohrid,0.4235,2.1456000000000004,2.36
3792,1981-05-20,1981,ohrid,0.4215,2.1312,2.3447500000000003
3793,1981-05-21,1981,ohrid,0.423,2.1098,2.3155
3794,1981-05-22,1981,ohrid,0.413,2.102,2.26875
3795,1981-05-23,1981,ohrid,0.4025,2.069,2.221
3796,1981-05-24,1981,ohrid,0.404,2.0260000000000002,2.1745
3797,1981-05-25,1981,ohrid,0.402,1.9786000000000001,2.12425
3798,1981-05-26,1981,ohrid,0.389,1.9268,2.0725
3799,1981-05-27,1981,ohrid,0.375,1.8882,2.036
3800,1981-05-28,1981,ohrid,0.3605,1.8582,1.99525
3801,1981-05-29,1981,ohrid,0.366,1.8308,1.97225
3802,1981-05-30,1981,ohrid,0.3525,1.7892,1.93175
3803,1981-05-31,1981,ohrid,0.3375,1.752,1.89675
3804,1981-06-01,1981,ohrid,0.3255,1.7120000000000002,1.8595000000000002
3805,1981-06-02,1981,ohrid,0.315,1.6851999999999996,1.839
3806,1981-06-03,1981,ohrid,0.302,1.6583999999999999,1.811
3807,1981-06-04,1981,ohrid,0.298,1.6725999999999999,1.838
3808,1981-06-05,1981,ohrid,0.323,1.6692000000000005,1.84325
3809,1981-06-06,1981,ohrid,0.3395,1.6418,1.8185
3810,1981-06-07,1981,ohrid,0.3425,1.607,1.7835
3811,1981-06-08,1981,ohrid,0.3335,1.5672000000000001,1.742
3812,1981-06-09,1981,ohrid,0.3405,1.5610000000000002,1.742
3813,1981-06-10,1981,ohrid,0.3285,1.516,1.69375
3814,1981-06-11,1981,ohrid,0.322,1.4736,1.6487500000000002
3815,1981-06-12,1981,ohrid,0.3085,1.427,1.60025
3816,1981-06-13,1981,ohrid,0.2945,1.3822,1.5535
3817,1981-06-14,1981,ohrid,0.2815,1.3556,1.52925
3818,1981-06-15,1981,ohrid,0.266,1.3108,1.48125
3819,1981-06-16,1981,ohrid,0.252,1.2654,1.43225
3820,1981-06-17,1981,ohrid,0.236,1.229,1.3944999999999999
3821,1981-06-18,1981,ohrid,0.225,1.1844000000000001,1.34625
3822,1981-06-19,1981,ohrid,0.212,1.1464,1.3065
3823,1981-06-20,1981,ohrid,0.207,1.1088,1.2665
3824,1981-06-21,1981,ohrid,0.207,1.0732,1.229
3825,1981-06-22,1981,ohrid,0.195,1.0618,1.2217500000000001
3826,1981-06-23,1981,ohrid,0.183,1.0364,1.197
3827,1981-06-24,1981,ohrid,0.174,1.0016,1.1605
3828,1981-06-25,1981,ohrid,0.18,0.9674000000000001,1.1247500000000001
3829,1981-06-26,1981,ohrid,0.179,0.946,1.1045
3830,1981-06-27,1981,ohrid,0.168,0.9071999999999999,1.0622500000000001
3831,1981-06-28,1981,ohrid,0.158,0.876,1.03025
3832,1981-06-29,1981,ohrid,0.148,0.8438000000000001,0.99625
3833,1981-06-30,1981,ohrid,0.138,0.8100000000000002,0.9590000000000001
3834,1981-07-01,1981,ohrid,0.128,0.7764,0.92125
3835,1981-07-02,1981,ohrid,0.1185,0.7432,0.884
3836,1981-07-03,1981,ohrid,0.1095,0.7121999999999999,0.8487499999999999
3837,1981-07-04,1981,ohrid,0.101,0.68,0.8127500000000001
3838,1981-07-05,1981,ohrid,0.092,0.6946,0.8345
3839,1981-07-06,1981,ohrid,0.0835,0.6872,0.81
3840,1981-07-07,1981,ohrid,0.0755,0.672,0.7827500000000001
3841,1981-07-08,1981,ohrid,0.0685,0.6577999999999999,0.75525
3842,1981-07-09,1981,ohrid,0.0615,0.6355999999999999,0.726
3843,1981-07-10,1981,ohrid,0.0545,0.619,0.70475
3844,1981-07-11,1981,ohrid,0.0475,0.6158,0.67725
3845,1981-07-12,1981,ohrid,0.0415,0.5982000000000001,0.65375
3846,1981-07-13,1981,ohrid,0.0355,0.5734,0.62675
3847,1981-07-14,1981,ohrid,0.031,0.5488000000000001,0.60075
3848,1981-07-15,1981,ohrid,0.027,0.528,0.58025
3849,1981-07-16,1981,ohrid,0.023,0.5032,0.5545
3850,1981-07-17,1981,ohrid,0.02,0.48019999999999996,0.5305
3851,1981-07-18,1981,ohrid,0.017,0.4572,0.507
3852,1981-07-19,1981,ohrid,0.0145,0.43479999999999996,0.48425
3853,1981-07-20,1981,ohrid,0.0135,0.4144,0.4635
3854,1981-07-21,1981,ohrid,0.0115,0.41220000000000007,0.4655
3855,1981-07-22,1981,ohrid,0.0095,0.4062,0.46299999999999997
3856,1981-07-23,1981,ohrid,0.009,0.38880000000000003,0.446
3857,1981-07-24,1981,ohrid,0.007,0.37059999999999993,0.4275
3858,1981-07-25,1981,ohrid,0.006,0.3532,0.40875
3859,1981-07-26,1981,ohrid,0.0065,0.3396,0.39149999999999996
3860,1981-07-27,1981,ohrid,0.008,0.3266,0.3745
3861,1981-07-28,1981,ohrid,0.007,0.30979999999999996,0.35675
3862,1981-07-29,1981,ohrid,0.006,0.2944,0.34025000000000005
3863,1981-07-30,1981,ohrid,0.0045,0.2798,0.325
3864,1981-07-31,1981,ohrid,0.0035,0.2656,0.31
3865,1981-08-01,1981,ohrid,0.002,0.25560000000000005,0.29975
3866,1981-08-02,1981,ohrid,0.001,0.24559999999999998,0.28975
3867,1981-08-03,1981,ohrid,0.001,0.238,0.2825
3868,1981-08-04,1981,ohrid,0.001,0.2292,0.27425
3869,1981-08-05,1981,ohrid,0.0,0.22799999999999998,0.274
3870,1981-08-06,1981,ohrid,0.0,0.21919999999999998,0.26525
3871,1981-08-07,1981,ohrid,0.014,0.21059999999999998,0.26325
3872,1981-08-08,1981,ohrid,0.0,0.20259999999999997,0.2475
3873,1981-08-09,1981,ohrid,0.0,0.196,0.24025
3874,1981-08-10,1981,ohrid,0.0,0.186,0.22875
3875,1981-08-11,1981,ohrid,0.0,0.1766,0.21775
3876,1981-08-12,1981,ohrid,0.0,0.1672,0.20625
3877,1981-08-13,1981,ohrid,0.0,0.1578,0.19575
3878,1981-08-14,1981,ohrid,0.0,0.1498,0.186
3879,1981-08-15,1981,ohrid,0.0,0.1424,0.177
3880,1981-08-16,1981,ohrid,0.0,0.1356,0.16924999999999998
3881,1981-08-17,1981,ohrid,0.0,0.13079999999999997,0.16299999999999998
3882,1981-08-18,1981,ohrid,0.0,0.125,0.1555
3883,1981-08-19,1981,ohrid,0.0,0.12220000000000002,0.15125
3884,1981-08-20,1981,ohrid,0.0,0.11520000000000001,0.14375000000000002
3885,1981-08-21,1981,ohrid,0.0,0.11560000000000001,0.14400000000000002
3886,1981-08-22,1981,ohrid,0.0,0.1252,0.156
3887,1981-08-23,1981,ohrid,0.0,0.11960000000000001,0.14900000000000002
3888,1981-08-24,1981,ohrid,0.0,0.11380000000000001,0.14175000000000001
3889,1981-08-25,1981,ohrid,0.0,0.10800000000000001,0.13475
3890,1981-08-26,1981,ohrid,0.0,0.1024,0.12775
3891,1981-08-27,1981,ohrid,0.0,0.09720000000000001,0.12125000000000001
3892,1981-08-28,1981,ohrid,0.0,0.09240000000000001,0.11525
3893,1981-08-29,1981,ohrid,0.0,0.0878,0.1095
3894,1981-08-30,1981,ohrid,0.0,0.08380000000000001,0.10450000000000001
3895,1981-08-31,1981,ohrid,0.0,0.0792,0.09875
3896,1981-09-01,1981,ohrid,0.0,0.0754,0.094
3897,1981-09-02,1981,ohrid,0.0,0.072,0.08975
3898,1981-09-03,1981,ohrid,0.0,0.06820000000000001,0.085
3899,1981-09-04,1981,ohrid,0.0,0.0648,0.08075
3900,1981-09-05,1981,ohrid,0.0,0.0612,0.07625
3901,1981-09-06,1981,ohrid,0.0,0.058399999999999994,0.07275
3902,1981-09-07,1981,ohrid,0.0,0.055400000000000005,0.069
3903,1981-09-08,1981,ohrid,0.0,0.0526,0.0655
3904,1981-09-09,1981,ohrid,0.0,0.048799999999999996,0.06075
3905,1981-09-10,1981,ohrid,0.0,0.048,0.06
3906,1981-09-11,1981,ohrid,0.0,0.045200000000000004,0.0565
3907,1981-09-12,1981,ohrid,0.0,0.043,0.05375
3908,1981-09-13,1981,ohrid,0.0,0.040400000000000005,0.05025
3909,1981-09-14,1981,ohrid,0.0,0.0392,0.04875
3910,1981-09-15,1981,ohrid,0.0,0.0402,0.05
3911,1981-09-16,1981,ohrid,0.0,0.0378,0.047
3912,1981-09-17,1981,ohrid,0.0,0.0366,0.0455
3913,1981-09-18,1981,ohrid,0.0,0.034,0.04225
3914,1981-09-19,1981,ohrid,0.0,0.033600000000000005,0.042
3915,1981-09-20,1981,ohrid,0.0,0.0324,0.04025
3916,1981-09-21,1981,ohrid,0.0,0.030199999999999998,0.0375
3917,1981-09-22,1981,ohrid,0.0,0.029800000000000004,0.037000000000000005
3918,1981-09-23,1981,ohrid,0.0,0.038400000000000004,0.048
3919,1981-09-24,1981,ohrid,0.0,0.0422,0.0525
3920,1981-09-25,1981,ohrid,0.0,0.0412,0.051250000000000004
3921,1981-09-26,1981,ohrid,0.0,0.040600000000000004,0.0505
3922,1981-09-27,1981,ohrid,0.0,0.0438,0.05475
3923,1981-09-28,1981,ohrid,0.0,0.0432,0.05375
3924,1981-09-29,1981,ohrid,0.0,0.0466,0.058
3925,1981-09-30,1981,ohrid,0.0,0.0482,0.06
3926,1981-10-01,1981,ohrid,0.0,0.0466,0.058
3927,1981-10-02,1981,ohrid,0.0,0.0528,0.06575
3928,1981-10-03,1981,ohrid,0.0,0.05500000000000001,0.0685
3929,1981-10-04,1981,ohrid,0.0,0.054200000000000005,0.06775
3930,1981-10-05,1981,ohrid,0.0,0.0534,0.06625
3931,1981-10-06,1981,ohrid,0.0,0.0526,0.0655
3932,1981-10-07,1981,ohrid,0.0,0.0514,0.06425
3933,1981-10-08,1981,ohrid,0.0,0.0502,0.06275
3934,1981-10-09,1981,ohrid,0.0,0.049,0.061
3935,1981-10-10,1981,ohrid,0.0,0.047599999999999996,0.05925
3936,1981-10-11,1981,ohrid,0.0,0.046200000000000005,0.0575
3937,1981-10-12,1981,ohrid,0.0,0.0448,0.05575
3938,1981-10-13,1981,ohrid,0.0,0.0434,0.054
3939,1981-10-14,1981,ohrid,0.0,0.0418,0.05225
3940,1981-10-15,1981,ohrid,0.0,0.040799999999999996,0.05075
3941,1981-10-16,1981,ohrid,0.0,0.045200000000000004,0.05625
3942,1981-10-17,1981,ohrid,0.0,0.0392,0.04875
3943,1981-10-18,1981,ohrid,0.0,0.0424,0.05275
3944,1981-10-19,1981,ohrid,0.0,0.0366,0.04575
3945,1981-10-20,1981,ohrid,0.0,0.036,0.045
3946,1981-10-21,1981,ohrid,0.0,0.0356,0.0445
3947,1981-10-22,1981,ohrid,0.0,0.036000000000000004,0.044750000000000005
3948,1981-10-23,1981,ohrid,0.0,0.038400000000000004,0.04825
