,Date,year,catchment,RCP26,RCP45,RCP85
3653,1981-01-01,1981,koman,209.1215,193.31320000000002,200.41400000000002
3654,1981-01-02,1981,koman,202.78449999999998,189.7742,195.453
3655,1981-01-03,1981,koman,195.573,185.3774,189.8625
3656,1981-01-04,1981,koman,187.171,181.048,184.25725
3657,1981-01-05,1981,koman,179.25650000000002,177.52540000000002,178.478
3658,1981-01-06,1981,koman,172.978,174.21679999999998,173.23424999999997
3659,1981-01-07,1981,koman,167.06799999999998,170.6508,168.1725
3660,1981-01-08,1981,koman,161.937,167.4112,163.49075
3661,1981-01-09,1981,koman,157.3075,170.90540000000001,159.10875000000001
3662,1981-01-10,1981,koman,153.127,172.404,155.025
3663,1981-01-11,1981,koman,149.369,173.9656,151.2465
3664,1981-01-12,1981,koman,146.863,173.68800000000002,148.20000000000002
3665,1981-01-13,1981,koman,146.34300000000002,172.74079999999998,146.25975
3666,1981-01-14,1981,koman,146.252,171.373,145.299
3667,1981-01-15,1981,koman,146.345,169.72199999999998,145.16125
3668,1981-01-16,1981,koman,146.48000000000002,168.1494,145.91125000000002
3669,1981-01-17,1981,koman,146.652,165.7138,145.965
3670,1981-01-18,1981,koman,146.478,163.3076,145.9785
3671,1981-01-19,1981,koman,146.152,162.5386,148.166
3672,1981-01-20,1981,koman,142.93099999999998,164.648,153.79425
3673,1981-01-21,1981,koman,120.934,157.59879999999998,147.77949999999998
3674,1981-01-22,1981,koman,146.45999999999998,171.911,168.2265
3675,1981-01-23,1981,koman,149.53199999999998,176.689,176.094
3676,1981-01-24,1981,koman,148.94150000000002,177.9422,179.54925
3677,1981-01-25,1981,koman,148.1885,178.20279999999997,181.3045
3678,1981-01-26,1981,koman,149.16649999999998,179.478,183.29125
3679,1981-01-27,1981,koman,151.909,182.21959999999999,186.59275
3680,1981-01-28,1981,koman,152.763,183.73200000000003,188.1295
3681,1981-01-29,1981,koman,151.14600000000002,184.595,187.9375
3682,1981-01-30,1981,koman,154.47,187.3518,189.88675
3683,1981-01-31,1981,koman,161.16899999999998,191.28820000000002,193.27075
3684,1981-02-01,1981,koman,159.326,191.9634,193.47425
3685,1981-02-02,1981,koman,160.178,194.3602,196.284
3686,1981-02-03,1981,koman,160.755,195.1892,197.67675
3687,1981-02-04,1981,koman,159.573,201.1024,205.79375
3688,1981-02-05,1981,koman,156.54,195.1816,199.4195
3689,1981-02-06,1981,koman,153.35750000000002,231.05839999999998,245.55025
3690,1981-02-07,1981,koman,151.2355,262.75660000000005,286.60725
3691,1981-02-08,1981,koman,151.79500000000002,283.28540000000004,313.77049999999997
3692,1981-02-09,1981,koman,153.2625,292.3446,326.55674999999997
3693,1981-02-10,1981,koman,153.6955,289.4504,324.39975
3694,1981-02-11,1981,koman,153.751,287.1558,322.40374999999995
3695,1981-02-12,1981,koman,154.09550000000002,279.8878,313.45375
3696,1981-02-13,1981,koman,155.4825,287.0102,322.45799999999997
3697,1981-02-14,1981,koman,160.60750000000002,287.325,322.94875
3698,1981-02-15,1981,koman,164.928,291.0962,327.746
3699,1981-02-16,1981,koman,174.5645,292.9084,330.0435
3700,1981-02-17,1981,koman,179.6865,293.383,330.6865
3701,1981-02-18,1981,koman,189.99450000000002,293.5998,331.00325
3702,1981-02-19,1981,koman,204.5685,296.94480000000004,335.15125
3703,1981-02-20,1981,koman,204.817,296.688,334.88625
3704,1981-02-21,1981,koman,200.9995,291.2526,328.15225
3705,1981-02-22,1981,koman,196.708,287.7078,323.77525
3706,1981-02-23,1981,koman,192.4245,284.51,319.82775
3707,1981-02-24,1981,koman,187.4185,281.6042,316.24100000000004
3708,1981-02-25,1981,koman,181.672,275.48199999999997,308.63025
3709,1981-02-26,1981,koman,175.945,266.63660000000004,297.61725
3710,1981-02-27,1981,koman,170.3945,254.84520000000003,282.79675000000003
3711,1981-02-28,1981,koman,166.49849999999998,244.22979999999998,269.4805
3712,1981-03-01,1981,koman,161.5025,235.08159999999998,258.071
3713,1981-03-02,1981,koman,158.1875,228.32520000000005,249.53900000000002
3714,1981-03-03,1981,koman,157.311,223.73180000000002,243.72575
3715,1981-03-04,1981,koman,160.63850000000002,222.452,241.897
3716,1981-03-05,1981,koman,162.971,219.0356,237.32924999999997
3717,1981-03-06,1981,koman,165.546,214.4656,231.69725
3718,1981-03-07,1981,koman,168.6615,210.73000000000002,227.12125
3719,1981-03-08,1981,koman,168.389,207.85399999999998,223.61525
3720,1981-03-09,1981,koman,166.07049999999998,204.49079999999998,219.4955
3721,1981-03-10,1981,koman,163.54649999999998,200.9388,215.13524999999998
3722,1981-03-11,1981,koman,161.8085,198.59300000000002,212.1335
3723,1981-03-12,1981,koman,160.353,197.1362,210.221
3724,1981-03-13,1981,koman,158.93900000000002,196.23160000000001,208.90775000000002
3725,1981-03-14,1981,koman,158.876,203.1248,217.32175
3726,1981-03-15,1981,koman,159.179,205.3748,219.83300000000003
3727,1981-03-16,1981,koman,158.47449999999998,225.14839999999998,244.08225
3728,1981-03-17,1981,koman,156.931,230.8598,249.75549999999998
3729,1981-03-18,1981,koman,154.769,234.9466,253.34550000000002
3730,1981-03-19,1981,koman,152.32850000000002,236.1406,254.08575000000002
3731,1981-03-20,1981,koman,149.8325,237.83180000000002,255.79725000000002
3732,1981-03-21,1981,koman,147.50799999999998,238.98940000000002,256.644
3733,1981-03-22,1981,koman,147.04899999999998,239.47599999999997,255.5265
3734,1981-03-23,1981,koman,147.07850000000002,239.56620000000004,253.50025
3735,1981-03-24,1981,koman,146.671,236.98140000000004,249.04175000000004
3736,1981-03-25,1981,koman,146.1485,235.5908,246.58075000000002
3737,1981-03-26,1981,koman,151.8485,238.17000000000002,249.8245
3738,1981-03-27,1981,koman,150.723,235.83339999999998,247.689
3739,1981-03-28,1981,koman,150.96300000000002,233.4332,245.87075000000002
3740,1981-03-29,1981,koman,152.82850000000002,240.11180000000004,255.394
3741,1981-03-30,1981,koman,156.985,244.2732,261.91049999999996
3742,1981-03-31,1981,koman,161.8605,249.09419999999994,269.32175
3743,1981-04-01,1981,koman,166.49099999999999,255.55,276.44849999999997
3744,1981-04-02,1981,koman,169.4815,258.4018,279.64
3745,1981-04-03,1981,koman,170.33550000000002,255.9848,277.03475000000003
3746,1981-04-04,1981,koman,173.25850000000003,255.02599999999998,276.18875
3747,1981-04-05,1981,koman,174.953,251.45700000000002,272.867
3748,1981-04-06,1981,koman,175.5595,245.83900000000003,266.76175
3749,1981-04-07,1981,koman,177.6765,240.58440000000002,260.91775
3750,1981-04-08,1981,koman,181.231,247.53579999999997,254.421
3751,1981-04-09,1981,koman,183.6365,239.4786,247.82475
3752,1981-04-10,1981,koman,184.3865,230.8156,239.55349999999999
3753,1981-04-11,1981,koman,183.623,221.4294,230.48475
3754,1981-04-12,1981,koman,182.814,212.26639999999998,221.40025
3755,1981-04-13,1981,koman,182.228,204.3312,213.16475
3756,1981-04-14,1981,koman,180.1635,197.7424,206.03875
3757,1981-04-15,1981,koman,179.37650000000002,194.02339999999998,200.90475
3758,1981-04-16,1981,koman,178.605,190.44299999999998,195.93375
3759,1981-04-17,1981,koman,181.019,187.5638,192.60025
3760,1981-04-18,1981,koman,189.419,187.472,192.8975
3761,1981-04-19,1981,koman,190.291,184.95499999999998,190.195
3762,1981-04-20,1981,koman,188.091,181.8182,186.504
3763,1981-04-21,1981,koman,182.68849999999998,178.58059999999998,181.619
3764,1981-04-22,1981,koman,175.53199999999998,175.4104,176.95625
3765,1981-04-23,1981,koman,169.0765,172.2656,172.92450000000002
3766,1981-04-24,1981,koman,166.063,169.37079999999997,169.8705
3767,1981-04-25,1981,koman,202.1695,182.36020000000002,186.28300000000002
3768,1981-04-26,1981,koman,234.343,193.3278,200.5965
3769,1981-04-27,1981,koman,244.654,195.50140000000002,204.25799999999998
3770,1981-04-28,1981,koman,251.5165,195.9848,205.7295
3771,1981-04-29,1981,koman,261.415,197.4694,208.209
3772,1981-04-30,1981,koman,265.3025,197.91,209.04049999999998
3773,1981-05-01,1981,koman,267.864,198.3872,209.7635
3774,1981-05-02,1981,koman,260.6835,196.1094,207.084
3775,1981-05-03,1981,koman,252.0395,193.4358,203.981
3776,1981-05-04,1981,koman,245.96050000000002,193.54199999999997,204.41275
3777,1981-05-05,1981,koman,237.724,197.8744,210.14875
3778,1981-05-06,1981,koman,232.9765,208.0392,213.41875
3779,1981-05-07,1981,koman,230.4155,209.11280000000002,217.16025
3780,1981-05-08,1981,koman,227.1465,207.051,215.983
