model,scenario,year,catchment,month,week,value
ehype,ref,2020,BDRS3,1,1,111.579
ehype,ref,2020,BDRS3,1,2,100.56
ehype,ref,2020,BDRS3,1,3,80.608
ehype,ref,2020,BDRS3,1,4,94.888
ehype,ref,2020,BDRS3,1,5,100.964
ehype,ref,2020,BDRS3,2,6,106.499
ehype,ref,2020,BDRS3,2,7,104.349
ehype,ref,2020,BDRS3,2,8,115.55
ehype,ref,2020,BDRS3,2,9,148.512
ehype,ref,2020,BDRS3,3,10,147.735
ehype,ref,2020,BDRS3,3,11,129.779
ehype,ref,2020,BDRS3,3,12,134.257
ehype,ref,2020,BDRS3,3,13,157.047
ehype,ref,2020,BDRS3,4,14,144.961
ehype,ref,2020,BDRS3,4,15,124.187
ehype,ref,2020,BDRS3,4,16,107.81
ehype,ref,2020,BDRS3,4,17,90.617
ehype,ref,2020,BDRS3,5,18,77.103
ehype,ref,2020,BDRS3,5,19,63.895
ehype,ref,2020,BDRS3,5,20,48.943
ehype,ref,2020,BDRS3,5,21,44.094
ehype,ref,2020,BDRS3,5,22,38.64
ehype,ref,2020,BDRS3,6,23,34.252
ehype,ref,2020,BDRS3,6,24,33.042
ehype,ref,2020,BDRS3,6,25,27.273
ehype,ref,2020,BDRS3,6,26,23.075
ehype,ref,2020,BDRS3,7,27,21.759
ehype,ref,2020,BDRS3,7,28,20.531
ehype,ref,2020,BDRS3,7,29,16.187
ehype,ref,2020,BDRS3,7,30,14.82
ehype,ref,2020,BDRS3,8,31,17.853
ehype,ref,2020,BDRS3,8,32,14.833
ehype,ref,2020,BDRS3,8,33,11.966
ehype,ref,2020,BDRS3,8,34,13.63
ehype,ref,2020,BDRS3,8,35,17.329
ehype,ref,2020,BDRS3,9,36,20.674
ehype,ref,2020,BDRS3,9,37,24.47
ehype,ref,2020,BDRS3,9,38,37.131
ehype,ref,2020,BDRS3,9,39,45.764
ehype,ref,2020,BDRS3,10,40,50.274
ehype,ref,2020,BDRS3,10,41,58.576
ehype,ref,2020,BDRS3,10,42,60.605
ehype,ref,2020,BDRS3,10,43,59.78
ehype,ref,2020,BDRS3,10,44,68.215
ehype,ref,2020,BDRS3,11,45,79.113
ehype,ref,2020,BDRS3,11,46,106.364
ehype,ref,2020,BDRS3,11,47,148.232
ehype,ref,2020,BDRS3,11,48,137.7
ehype,ref,2020,BDRS3,12,49,121.532
ehype,ref,2020,BDRS3,12,50,121.814
ehype,ref,2020,BDRS3,12,51,117.751
ehype,ref,2020,BDRS3,12,52,129.801
