model,scenario,year,catchment,month,week,value
ehype,ref,2020,DRS1,1,1,212.043
ehype,ref,2020,DRS1,1,2,141.51
ehype,ref,2020,DRS1,1,3,193.043
ehype,ref,2020,DRS1,1,4,188.075
ehype,ref,2020,DRS1,1,5,234.144
ehype,ref,2020,DRS1,2,6,143.955
ehype,ref,2020,DRS1,2,7,196.675
ehype,ref,2020,DRS1,2,8,222.78
ehype,ref,2020,DRS1,2,9,252.512
ehype,ref,2020,DRS1,3,10,148.085
ehype,ref,2020,DRS1,3,11,250.957
ehype,ref,2020,DRS1,3,12,281.477
ehype,ref,2020,DRS1,3,13,304.838
ehype,ref,2020,DRS1,4,14,211.183
ehype,ref,2020,DRS1,4,15,185.016
ehype,ref,2020,DRS1,4,16,253.802
ehype,ref,2020,DRS1,4,17,219.462
ehype,ref,2020,DRS1,5,18,217.984
ehype,ref,2020,DRS1,5,19,127.114
ehype,ref,2020,DRS1,5,20,158.373
ehype,ref,2020,DRS1,5,21,147.222
ehype,ref,2020,DRS1,5,22,185.708
ehype,ref,2020,DRS1,6,23,154.146
ehype,ref,2020,DRS1,6,24,133.673
ehype,ref,2020,DRS1,6,25,125.642
ehype,ref,2020,DRS1,6,26,141.596
ehype,ref,2020,DRS1,7,27,189.037
ehype,ref,2020,DRS1,7,28,112.253
ehype,ref,2020,DRS1,7,29,90.548
ehype,ref,2020,DRS1,7,30,81.535
ehype,ref,2020,DRS1,8,31,179.115
ehype,ref,2020,DRS1,8,32,118.444
ehype,ref,2020,DRS1,8,33,64.71
ehype,ref,2020,DRS1,8,34,33.613
ehype,ref,2020,DRS1,8,35,96.915
ehype,ref,2020,DRS1,9,36,162.316
ehype,ref,2020,DRS1,9,37,89.25
ehype,ref,2020,DRS1,9,38,64.616
ehype,ref,2020,DRS1,9,39,78.107
ehype,ref,2020,DRS1,10,40,185.231
ehype,ref,2020,DRS1,10,41,108.427
ehype,ref,2020,DRS1,10,42,115.575
ehype,ref,2020,DRS1,10,43,105.164
ehype,ref,2020,DRS1,10,44,172.941
ehype,ref,2020,DRS1,11,45,134.408
ehype,ref,2020,DRS1,11,46,149.398
ehype,ref,2020,DRS1,11,47,162.513
ehype,ref,2020,DRS1,11,48,227.697
ehype,ref,2020,DRS1,12,49,161.104
ehype,ref,2020,DRS1,12,50,167.936
ehype,ref,2020,DRS1,12,51,224.906
ehype,ref,2020,DRS1,12,52,232.791
