model,scenario,year,catchment,month,week,value
ehype,ref,2020,DCT3,1,1,43.16
ehype,ref,2020,DCT3,1,2,36.606
ehype,ref,2020,DCT3,1,3,44.884
ehype,ref,2020,DCT3,1,4,36.443
ehype,ref,2020,DCT3,1,5,47.518
ehype,ref,2020,DCT3,2,6,31.991
ehype,ref,2020,DCT3,2,7,40.183
ehype,ref,2020,DCT3,2,8,33.826
ehype,ref,2020,DCT3,2,9,41.314
ehype,ref,2020,DCT3,3,10,34.758
ehype,ref,2020,DCT3,3,11,52.723
ehype,ref,2020,DCT3,3,12,42.214
ehype,ref,2020,DCT3,3,13,42.644
ehype,ref,2020,DCT3,4,14,38.957
ehype,ref,2020,DCT3,4,15,55.855
ehype,ref,2020,DCT3,4,16,79.18
ehype,ref,2020,DCT3,4,17,66.361
ehype,ref,2020,DCT3,5,18,44.003
ehype,ref,2020,DCT3,5,19,35.586
ehype,ref,2020,DCT3,5,20,42.162
ehype,ref,2020,DCT3,5,21,29.222
ehype,ref,2020,DCT3,5,22,31.384
ehype,ref,2020,DCT3,6,23,31.195
ehype,ref,2020,DCT3,6,24,24.816
ehype,ref,2020,DCT3,6,25,13.171
ehype,ref,2020,DCT3,6,26,17.141
ehype,ref,2020,DCT3,7,27,35.747
ehype,ref,2020,DCT3,7,28,29.514
ehype,ref,2020,DCT3,7,29,12.903
ehype,ref,2020,DCT3,7,30,13.299
ehype,ref,2020,DCT3,8,31,30.369
ehype,ref,2020,DCT3,8,32,30.478
ehype,ref,2020,DCT3,8,33,20.948
ehype,ref,2020,DCT3,8,34,14.424
ehype,ref,2020,DCT3,8,35,19.547
ehype,ref,2020,DCT3,9,36,34.718
ehype,ref,2020,DCT3,9,37,34.236
ehype,ref,2020,DCT3,9,38,28.886
ehype,ref,2020,DCT3,9,39,43.434
ehype,ref,2020,DCT3,10,40,37.952
ehype,ref,2020,DCT3,10,41,38.863
ehype,ref,2020,DCT3,10,42,39.349
ehype,ref,2020,DCT3,10,43,47.595
ehype,ref,2020,DCT3,10,44,54.099
ehype,ref,2020,DCT3,11,45,32.899
ehype,ref,2020,DCT3,11,46,53.861
ehype,ref,2020,DCT3,11,47,75.868
ehype,ref,2020,DCT3,11,48,57.649
ehype,ref,2020,DCT3,12,49,39.04
ehype,ref,2020,DCT3,12,50,50.459
ehype,ref,2020,DCT3,12,51,63.007
ehype,ref,2020,DCT3,12,52,59.361
