year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
ALCWTCT1DD,3338.716,3118.469,3423.864,3623.581,3537.456,2894.185,3339.915,3940.076,3664.862,3349.88,3367.351,3757.704,2720.043,3517.525,2942.372,4206.934,3535.186,3327.49,2982.927,3732.159,4492.934,2323.446,3197.94,3487.819,2981.193,3174.666,3473.659,3535.69,3540.042,2203.483,2788.949,3101.66,3059.938,3424.715,3605.132,3695.262
ALCWTCT2DD,3050.351,2324.109,2310.58,3512.29,2075.258,1683.013,2120.67,3540.925,1440.848,1420.255,2216.224,2844.169,1697.961,2849.278,2115.372,2676.523,2559.493,1578.787,2939.124,2259.46,3134.426,1822.655,2023.35,2626.223,1449.142,2403.737,2334.768,2150.408,1529.054,1831.8,2132.401,1838.454,2098.689,2006.131,2520.988,2577.5
ALCWTCT3DD,2009.253,1619.847,1557.342,2443.977,2222.027,1679.26,1771.882,3323.011,1850.28,1637.633,2806.515,2445.554,1525.869,2852.021,1701.21,2997.623,2350.946,1759.52,1899.792,2013.511,3967.071,1995.03,2011.429,2370.372,1215.839,2450.032,2229.721,2194.874,1349.425,1668.917,2000.865,1882.321,2248.58,1605.561,3346.979,2578.068
ALCWTRS1DD,18584.164,12823.642,15134.537999999999,15340.182999999999,17739.189,12289.106,14240.839,23331.782,14704.416000000001,14078.742000000002,14097.254,17643.067,12274.757,15047.244,12494.404999999999,17364.164,13520.713,11945.774,17905.667,18801.573,18213.964,13342.976,14760.615,19226.459000000003,10363.171000000002,16206.129,16951.641,14388.742,10989.475999999999,15807.073,13117.619,17535.655,16793.203999999998,16598.344,20504.707000000002,17729.823
ALCWTRS2DD,21634.515,15147.751,17445.118,18852.472999999998,19814.447,13972.118999999999,16361.509,26872.707,16145.264000000001,15498.997000000003,16313.478000000001,20487.235999999997,13972.717999999999,17896.522,14609.776999999998,20040.687,16080.206,13524.561,20844.791,21061.033,21348.39,15165.631000000001,16783.965,21852.682,11812.313000000002,18609.866,19286.409,16539.15,12518.529999999999,17638.873,15250.02,19374.109,18891.892999999996,18604.475000000002,23025.695000000003,20307.323
ALCWTRS3DD,23643.768,16767.598,19002.46,21296.449999999997,22036.474000000002,15651.378999999999,18133.391,30195.717999999997,17995.544,17136.630000000005,19119.993000000002,22932.789999999997,15498.587,20748.543,16310.986999999997,23038.31,18431.152000000002,15284.081,22744.583000000002,23074.543999999998,25315.461,17160.661,18795.394,24223.054,13028.152000000002,21059.898,21516.13,18734.024,13867.954999999998,19307.79,17250.885000000002,21256.43,21140.472999999998,20210.036000000004,26372.674000000003,22885.391
MKCWTCT1BD,513.028,455.632,516.339,541.315,703.41,289.437,404.765,1140.31,648.979,401.169,484.109,512.775,466.228,547.591,488.24,686.192,421.699,371.368,502.652,923.027,926.023,445.509,408.612,853.806,386.505,592.94,627.598,495.494,257.397,776.511,514.857,448.473,1000.984,554.151,552.952,1093.259
MKCWTCT2BD,4310.372,2545.176,3237.36,3084.442,3517.179,2130.856,2980.657,4123.994,3200.557,2434.863,3556.914,3011.341,3071.165,2814.525,2161.067,3202.197,2423.384,1767.908,3926.2,4228.946,4094.004,2009.001,2293.456,3144.896,1984.497,2582.83,3098.507,2272.011,1964.819,4071.203,2192.351,2781.98,2878.669,2864.068,4117.056,4019.673
MKCWTCT3DD,4976.885,2476.018,2883.463,2973.908,4592.651,2906.768,3360.508,4069.342,3833.295,3529.824,3314.15,3319.006,2633.13,3391.602,2629.409,3853.731,2758.895,2191.058,4851.908,4103.023,4214.124,2656.593,3214.906,4175.051,2053.53,3968.963,3621.279,3519.733,2066.554,4515.924,2438.584,4185.048,3428.279,3891.795,4206.556,4205.357
MKCWTLK0BD,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077
