year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
ALCWTCT1DD,2601.72,2356.118,3159.434,2177.466,3357.669,3145.085,3011.783,3436.604,2900.429,2113.164,3077.567,2759.305,2713.357,2991.82,2303.862,3146.378,3213.077,2923.482,2992.073,2470.656,3015.756,2862.05,2224.329,2762.995,3493.684,2917.458,2662.143,2890.937,2737.167,2604.779,2811.34,2328.397,3130.516,2617.835,2697.4,2648.362
ALCWTCT2DD,1912.974,1489.508,2119.976,1468.411,1584.148,1588.184,1637.475,1736.751,1501.839,1620.95,1475.065,1657.627,1706.602,1739.084,1785.253,1413.917,2006.32,1663.556,1208.428,1663.524,1512.372,1542.52,1418.205,1376.01,2369.962,2025.683,1746.054,2206.574,2585.794,1686.514,1885.191,1703.512,1722.496,1939.527,1612.467,1466.424
ALCWTCT3DD,2317.991,1571.407,1616.598,1430.473,1619.91,1787.051,1433.942,2026.661,1608.809,1308.555,1365.099,1650.689,1180.203,1814.865,1436.37,1678.661,1510.133,1755.893,1198.21,1955.705,1755.924,1671.629,1235.927,1240.374,2279.391,1619.531,1271.185,1753.906,1819.501,1375.884,1668.664,2117.075,2092.603,1609.597,1537.159,1419.782
ALCWTRS1DD,12378.384,11631.486,14184.797999999999,11237.506000000001,12996.648,14397.918999999998,14106.747,14149.004999999997,12189.169,13668.080000000002,12027.232,12483.208999999999,12097.525,15636.336,10278.591,11887.401000000002,14970.171000000002,13607.279999999999,10282.124,13308.16,14312.74,15849.017,10408.646,12057.442,19027.34,13058.236,12086.235999999999,15816.755,13387.914999999999,12290.399000000001,11127.539999999999,12730.988000000001,14660.551,12753.758000000002,13113.489,12801.408
ALCWTRS2DD,14291.358,13120.994,16304.774,12705.917000000001,14580.795999999998,15986.102999999997,15744.222,15885.755999999998,13691.008,15289.030000000002,13502.297,14140.836,13804.127,17375.42,12063.844000000001,13301.318000000001,16976.491,15270.836,11490.552,14971.684,15825.112,17391.537,11826.851,13433.452,21397.302,15083.919000000002,13832.289999999999,18023.328999999998,15973.708999999999,13976.913,13012.731,14434.500000000002,16383.046999999999,14693.285000000002,14725.956,14267.831999999999
ALCWTRS3DD,16609.349000000002,14692.401,17921.372,14136.390000000001,16200.705999999998,17773.154,17178.164,17912.416999999998,15299.817,16597.585000000003,14867.396,15791.525,14984.33,19190.285,13500.214,14979.979000000001,18486.624000000003,17026.729,12688.761999999999,16927.389,17581.036,19063.166,13062.778,14673.826,23676.693,16703.45,15103.474999999999,19777.234999999997,17793.21,15352.797,14681.395,16551.575,18475.649999999998,16302.882000000001,16263.115,15687.613999999998
MKCWTCT1BD,546.74,502.305,530.467,476.067,486.285,431.192,389.722,498.395,503.441,592.877,412.743,419.492,579.222,805.019,391.772,383.825,444.721,494.453,395.682,545.857,441.157,576.699,481.208,456.042,719.557,588.903,410.536,544.217,662.004,646.488,368.561,406.152,502.968,420.911,467.269,637.437
MKCWTCT2BD,2114.457,2027.103,2453.564,2141.61,2489.452,2612.789,3068.863,2526.16,2069.739,2793.08,2334.642,2107.645,2187.085,3612.638,1708.494,1826.313,2998.601,3109.986,1524.955,2590.619,3566.217,2826.95,1601.808,2250.409,4530.714,2213.606,1918.524,2651.105,2782.327,2089.954,2154.287,2936.948,3195.133,3052.401,2302.759,1920.574
MKCWTCT3DD,2744.483,2512.694,2670.721,2772.33,2732.563,3279.082,3076.936,3055.712,2755.616,3415.601,2287.338,2386.613,2329.659,3600.875,2085.413,2233.853,2866.149,2814.935,2100.897,3305.919,3251.488,3572.083,2078.695,2622.281,4331.028,2583.366,2475.734,3485.8,2918.278,2692.701,2527.705,2915.566,3214.464,2743.38,3350.858,2570.026
MKCWTLK0BD,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077,353.077
