,model,scenario,year,catchment,week,value
0,e_hype,RCP26,2020,ohrid,1,6.42
1,e_hype,RCP26,2021,ohrid,1,6.42
2,e_hype,RCP26,2022,ohrid,1,6.42
3,e_hype,RCP26,2023,ohrid,1,6.42
4,e_hype,RCP26,2024,ohrid,1,6.42
5,e_hype,RCP26,2025,ohrid,1,6.42
6,e_hype,RCP26,2026,ohrid,1,6.42
7,e_hype,RCP26,2027,ohrid,1,6.42
8,e_hype,RCP26,2028,ohrid,1,6.42
9,e_hype,RCP26,2029,ohrid,1,6.42
10,e_hype,RCP26,2030,ohrid,1,6.42
11,e_hype,RCP26,2031,ohrid,1,6.42
12,e_hype,RCP26,2032,ohrid,1,6.42
13,e_hype,RCP26,2033,ohrid,1,6.42
14,e_hype,RCP26,2034,ohrid,1,6.42
15,e_hype,RCP26,2035,ohrid,1,6.42
16,e_hype,RCP26,2036,ohrid,1,6.42
17,e_hype,RCP26,2037,ohrid,1,6.42
18,e_hype,RCP26,2038,ohrid,1,6.42
19,e_hype,RCP26,2039,ohrid,1,6.42
20,e_hype,RCP26,2040,ohrid,1,6.42
21,e_hype,RCP26,2041,ohrid,1,6.42
22,e_hype,RCP26,2042,ohrid,1,6.42
23,e_hype,RCP26,2043,ohrid,1,6.42
24,e_hype,RCP26,2044,ohrid,1,6.42
25,e_hype,RCP26,2045,ohrid,1,6.42
26,e_hype,RCP26,2046,ohrid,1,6.42
27,e_hype,RCP26,2047,ohrid,1,6.42
28,e_hype,RCP26,2048,ohrid,1,6.42
29,e_hype,RCP26,2049,ohrid,1,6.42
30,e_hype,RCP26,2050,ohrid,1,6.42
31,e_hype,RCP26,2051,ohrid,1,6.42
32,e_hype,RCP26,2052,ohrid,1,6.42
33,e_hype,RCP26,2053,ohrid,1,6.42
34,e_hype,RCP26,2054,ohrid,1,6.42
35,e_hype,RCP26,2055,ohrid,1,6.42
36,e_hype,RCP26,2020,ohrid,2,3.224
37,e_hype,RCP26,2021,ohrid,2,3.224
38,e_hype,RCP26,2022,ohrid,2,3.224
39,e_hype,RCP26,2023,ohrid,2,3.224
40,e_hype,RCP26,2024,ohrid,2,3.224
41,e_hype,RCP26,2025,ohrid,2,3.224
42,e_hype,RCP26,2026,ohrid,2,3.224
43,e_hype,RCP26,2027,ohrid,2,3.224
44,e_hype,RCP26,2028,ohrid,2,3.224
45,e_hype,RCP26,2029,ohrid,2,3.224
46,e_hype,RCP26,2030,ohrid,2,3.224
47,e_hype,RCP26,2031,ohrid,2,3.224
48,e_hype,RCP26,2032,ohrid,2,3.224
49,e_hype,RCP26,2033,ohrid,2,3.224
50,e_hype,RCP26,2034,ohrid,2,3.224
51,e_hype,RCP26,2035,ohrid,2,3.224
52,e_hype,RCP26,2036,ohrid,2,3.224
53,e_hype,RCP26,2037,ohrid,2,3.224
54,e_hype,RCP26,2038,ohrid,2,3.224
55,e_hype,RCP26,2039,ohrid,2,3.224
56,e_hype,RCP26,2040,ohrid,2,3.224
57,e_hype,RCP26,2041,ohrid,2,3.224
58,e_hype,RCP26,2042,ohrid,2,3.224
59,e_hype,RCP26,2043,ohrid,2,3.224
60,e_hype,RCP26,2044,ohrid,2,3.224
61,e_hype,RCP26,2045,ohrid,2,3.224
62,e_hype,RCP26,2046,ohrid,2,3.224
63,e_hype,RCP26,2047,ohrid,2,3.224
64,e_hype,RCP26,2048,ohrid,2,3.224
65,e_hype,RCP26,2049,ohrid,2,3.224
