scenario,catchment,week,2020
ref,ALCWTCT2DD,1,0.464
ref,ALCWTCT2DD,2,0.345
ref,ALCWTCT2DD,3,0.222
ref,ALCWTCT2DD,4,0.303
ref,ALCWTCT2DD,5,0.444
ref,ALCWTCT2DD,6,0.357
ref,ALCWTCT2DD,7,0.333
ref,ALCWTCT2DD,8,0.325
ref,ALCWTCT2DD,9,0.469
ref,ALCWTCT2DD,10,0.379
ref,ALCWTCT2DD,11,0.513
ref,ALCWTCT2DD,12,0.634
ref,ALCWTCT2DD,13,0.762
ref,ALCWTCT2DD,14,0.524
ref,ALCWTCT2DD,15,0.73
ref,ALCWTCT2DD,16,1.0
ref,ALCWTCT2DD,17,0.943
ref,ALCWTCT2DD,18,0.61
ref,ALCWTCT2DD,19,0.426
ref,ALCWTCT2DD,20,0.51
ref,ALCWTCT2DD,21,0.364
ref,ALCWTCT2DD,22,0.407
ref,ALCWTCT2DD,23,0.411
ref,ALCWTCT2DD,24,0.3
ref,ALCWTCT2DD,25,0.143
ref,ALCWTCT2DD,26,0.176
ref,ALCWTCT2DD,27,0.453
ref,ALCWTCT2DD,28,0.328
ref,ALCWTCT2DD,29,0.101
ref,ALCWTCT2DD,30,0.067
ref,ALCWTCT2DD,31,0.332
ref,ALCWTCT2DD,32,0.361
ref,ALCWTCT2DD,33,0.184
ref,ALCWTCT2DD,34,0.084
ref,ALCWTCT2DD,35,0.214
ref,ALCWTCT2DD,36,0.416
ref,ALCWTCT2DD,37,0.381
ref,ALCWTCT2DD,38,0.401
ref,ALCWTCT2DD,39,0.415
ref,ALCWTCT2DD,40,0.471
ref,ALCWTCT2DD,41,0.369
ref,ALCWTCT2DD,42,0.474
ref,ALCWTCT2DD,43,0.504
ref,ALCWTCT2DD,44,0.553
ref,ALCWTCT2DD,45,0.419
ref,ALCWTCT2DD,46,0.663
ref,ALCWTCT2DD,47,0.862
ref,ALCWTCT2DD,48,0.713
ref,ALCWTCT2DD,49,0.427
ref,ALCWTCT2DD,50,0.529
ref,ALCWTCT2DD,51,0.533
ref,ALCWTCT2DD,52,0.61
