scenario,catchment,week,2020
ref,MKCWTRS1BD,1,0.581
ref,MKCWTRS1BD,2,0.428
ref,MKCWTRS1BD,3,0.634
ref,MKCWTRS1BD,4,0.706
ref,MKCWTRS1BD,5,0.742
ref,MKCWTRS1BD,6,0.399
ref,MKCWTRS1BD,7,0.692
ref,MKCWTRS1BD,8,0.845
ref,MKCWTRS1BD,9,0.829
ref,MKCWTRS1BD,10,0.405
ref,MKCWTRS1BD,11,0.721
ref,MKCWTRS1BD,12,0.832
ref,MKCWTRS1BD,13,0.801
ref,MKCWTRS1BD,14,0.572
ref,MKCWTRS1BD,15,0.444
ref,MKCWTRS1BD,16,0.605
ref,MKCWTRS1BD,17,0.568
ref,MKCWTRS1BD,18,0.642
ref,MKCWTRS1BD,19,0.353
ref,MKCWTRS1BD,20,0.43
ref,MKCWTRS1BD,21,0.438
ref,MKCWTRS1BD,22,0.539
ref,MKCWTRS1BD,23,0.449
ref,MKCWTRS1BD,24,0.36
ref,MKCWTRS1BD,25,0.341
ref,MKCWTRS1BD,26,0.405
ref,MKCWTRS1BD,27,0.534
ref,MKCWTRS1BD,28,0.316
ref,MKCWTRS1BD,29,0.297
ref,MKCWTRS1BD,30,0.281
ref,MKCWTRS1BD,31,0.533
ref,MKCWTRS1BD,32,0.33
ref,MKCWTRS1BD,33,0.231
ref,MKCWTRS1BD,34,0.149
ref,MKCWTRS1BD,35,0.294
ref,MKCWTRS1BD,36,0.458
ref,MKCWTRS1BD,37,0.228
ref,MKCWTRS1BD,38,0.143
ref,MKCWTRS1BD,39,0.222
ref,MKCWTRS1BD,40,0.51
ref,MKCWTRS1BD,41,0.277
ref,MKCWTRS1BD,42,0.264
ref,MKCWTRS1BD,43,0.28
ref,MKCWTRS1BD,44,0.507
ref,MKCWTRS1BD,45,0.364
ref,MKCWTRS1BD,46,0.368
ref,MKCWTRS1BD,47,0.432
ref,MKCWTRS1BD,48,0.61
ref,MKCWTRS1BD,49,0.454
ref,MKCWTRS1BD,50,0.416
ref,MKCWTRS1BD,51,0.583
ref,MKCWTRS1BD,52,0.7
