scenario,catchment,week,2020
ref,MKCWTRS2BD,1,0.614
ref,MKCWTRS2BD,2,0.455
ref,MKCWTRS2BD,3,0.528
ref,MKCWTRS2BD,4,0.601
ref,MKCWTRS2BD,5,0.727
ref,MKCWTRS2BD,6,0.427
ref,MKCWTRS2BD,7,0.633
ref,MKCWTRS2BD,8,0.741
ref,MKCWTRS2BD,9,0.814
ref,MKCWTRS2BD,10,0.429
ref,MKCWTRS2BD,11,0.771
ref,MKCWTRS2BD,12,0.904
ref,MKCWTRS2BD,13,1.0
ref,MKCWTRS2BD,14,0.623
ref,MKCWTRS2BD,15,0.607
ref,MKCWTRS2BD,16,0.795
ref,MKCWTRS2BD,17,0.672
ref,MKCWTRS2BD,18,0.688
ref,MKCWTRS2BD,19,0.369
ref,MKCWTRS2BD,20,0.385
ref,MKCWTRS2BD,21,0.342
ref,MKCWTRS2BD,22,0.501
ref,MKCWTRS2BD,23,0.449
ref,MKCWTRS2BD,24,0.347
ref,MKCWTRS2BD,25,0.229
ref,MKCWTRS2BD,26,0.297
ref,MKCWTRS2BD,27,0.532
ref,MKCWTRS2BD,28,0.331
ref,MKCWTRS2BD,29,0.165
ref,MKCWTRS2BD,30,0.161
ref,MKCWTRS2BD,31,0.506
ref,MKCWTRS2BD,32,0.352
ref,MKCWTRS2BD,33,0.216
ref,MKCWTRS2BD,34,0.118
ref,MKCWTRS2BD,35,0.285
ref,MKCWTRS2BD,36,0.468
ref,MKCWTRS2BD,37,0.319
ref,MKCWTRS2BD,38,0.248
ref,MKCWTRS2BD,39,0.344
ref,MKCWTRS2BD,40,0.546
ref,MKCWTRS2BD,41,0.369
ref,MKCWTRS2BD,42,0.442
ref,MKCWTRS2BD,43,0.412
ref,MKCWTRS2BD,44,0.597
ref,MKCWTRS2BD,45,0.417
ref,MKCWTRS2BD,46,0.65
ref,MKCWTRS2BD,47,0.917
ref,MKCWTRS2BD,48,0.821
ref,MKCWTRS2BD,49,0.473
ref,MKCWTRS2BD,50,0.565
ref,MKCWTRS2BD,51,0.722
ref,MKCWTRS2BD,52,0.805
