scenario,catchment,week,2020
ref,ALCWTCT1DD,1,0.528
ref,ALCWTCT1DD,2,0.335
ref,ALCWTCT1DD,3,0.511
ref,ALCWTCT1DD,4,0.386
ref,ALCWTCT1DD,5,0.614
ref,ALCWTCT1DD,6,0.338
ref,ALCWTCT1DD,7,0.428
ref,ALCWTCT1DD,8,0.354
ref,ALCWTCT1DD,9,0.412
ref,ALCWTCT1DD,10,0.268
ref,ALCWTCT1DD,11,0.541
ref,ALCWTCT1DD,12,0.578
ref,ALCWTCT1DD,13,0.531
ref,ALCWTCT1DD,14,0.393
ref,ALCWTCT1DD,15,0.39
ref,ALCWTCT1DD,16,0.68
ref,ALCWTCT1DD,17,0.583
ref,ALCWTCT1DD,18,0.66
ref,ALCWTCT1DD,19,0.401
ref,ALCWTCT1DD,20,0.623
ref,ALCWTCT1DD,21,0.633
ref,ALCWTCT1DD,22,0.825
ref,ALCWTCT1DD,23,0.692
ref,ALCWTCT1DD,24,0.634
ref,ALCWTCT1DD,25,0.702
ref,ALCWTCT1DD,26,0.786
ref,ALCWTCT1DD,27,1.0
ref,ALCWTCT1DD,28,0.555
ref,ALCWTCT1DD,29,0.538
ref,ALCWTCT1DD,30,0.491
ref,ALCWTCT1DD,31,0.96
ref,ALCWTCT1DD,32,0.651
ref,ALCWTCT1DD,33,0.322
ref,ALCWTCT1DD,34,0.108
ref,ALCWTCT1DD,35,0.442
ref,ALCWTCT1DD,36,0.86
ref,ALCWTCT1DD,37,0.315
ref,ALCWTCT1DD,38,0.119
ref,ALCWTCT1DD,39,0.177
ref,ALCWTCT1DD,40,0.796
ref,ALCWTCT1DD,41,0.367
ref,ALCWTCT1DD,42,0.273
ref,ALCWTCT1DD,43,0.237
ref,ALCWTCT1DD,44,0.568
ref,ALCWTCT1DD,45,0.438
ref,ALCWTCT1DD,46,0.302
ref,ALCWTCT1DD,47,0.275
ref,ALCWTCT1DD,48,0.401
ref,ALCWTCT1DD,49,0.37
ref,ALCWTCT1DD,50,0.326
ref,ALCWTCT1DD,51,0.462
ref,ALCWTCT1DD,52,0.397
