country,tech,type,years,REF,RCP26,RCP26-REF,RCP26%,RCP45,RCP45-REF,RCP45%,RCP85,RCP85-REF,RCP85%
Albania,ALPHYDMHI0,hydro,2021-2030,15.0,15.0,0.0,0.0,15.0,-27.060000000000002,0.0,15.0,0.0,0.0
Albania,ALPHYDMHI0,hydro,2031-2040,15.0,15.0,0.0,0.0,15.0,-27.060000000000002,0.0,15.0,0.0,0.0
Albania,ALPHYDMHI0,hydro,2041-2050,15.0,15.0,0.0,0.0,15.0,-27.060000000000002,0.0,15.0,0.0,0.0
Albania,Fierza,hydro,2021-2030,500.0,500.0,0.0,0.0,500.0,-1273.1470000000002,0.0,500.0,0.0,0.0
Albania,Fierza,hydro,2031-2040,500.0,500.0,0.0,0.0,500.0,-1347.9209999999998,0.0,500.0,0.0,0.0
Albania,Fierza,hydro,2041-2050,500.0,500.0,0.0,0.0,500.0,-1347.9209999999998,0.0,500.0,0.0,0.0
Albania,Koman,hydro,2021-2030,600.0,600.0,0.0,0.0,600.0,-1418.889,0.0,600.0,0.0,0.0
Albania,Koman,hydro,2031-2040,600.0,600.0,0.0,0.0,600.0,-1494.154,0.0,600.0,0.0,0.0
Albania,Koman,hydro,2041-2050,600.0,600.0,0.0,0.0,600.0,-1494.154,0.0,600.0,0.0,0.0
Albania,Vau i Dejës,hydro,2021-2030,250.0,250.0,0.0,0.0,250.0,-888.613,0.0,250.0,0.0,0.0
Albania,Vau i Dejës,hydro,2031-2040,250.0,250.0,0.0,0.0,250.0,-924.482,0.0,250.0,0.0,0.0
Albania,Vau i Dejës,hydro,2041-2050,250.0,250.0,0.0,0.0,250.0,-924.482,0.0,250.0,0.0,0.0
Albania,ALPHYDMHO0,hydro,2021-2030,123.20000000000002,123.20000000000002,0.0,0.0,123.20000000000002,-251.0799999999999,0.0,123.20000000000002,0.0,0.0
Albania,ALPHYDMHO0,hydro,2031-2040,123.20000000000002,123.20000000000002,0.0,0.0,123.20000000000002,-251.0799999999999,0.0,123.20000000000002,0.0,0.0
