scenario,country,tech,type,location,year,value
REF,Albania,ALPHYDMHI0,hydro,inside,2021,42.06
REF,Albania,ALPHYDMHI0,hydro,inside,2022,42.06
REF,Albania,ALPHYDMHI0,hydro,inside,2023,42.06
REF,Albania,ALPHYDMHI0,hydro,inside,2024,42.06
REF,Albania,ALPHYDMHI0,hydro,inside,2025,42.06
REF,Albania,ALPHYDMHI0,hydro,inside,2026,42.06
REF,Albania,ALPHYDMHI0,hydro,inside,2027,42.06
REF,Albania,ALPHYDMHI0,hydro,inside,2028,42.06
REF,Albania,ALPHYDMHI0,hydro,inside,2029,42.06
REF,Albania,ALPHYDMHI0,hydro,inside,2030,42.06
REF,Albania,ALPHYDMHI0,hydro,inside,2031,42.06
REF,Albania,ALPHYDMHI0,hydro,inside,2032,42.06
REF,Albania,ALPHYDMHI0,hydro,inside,2033,42.06
REF,Albania,ALPHYDMHI0,hydro,inside,2034,42.06
REF,Albania,ALPHYDMHI0,hydro,inside,2035,42.06
REF,Albania,ALPHYDMHI0,hydro,inside,2036,42.06
REF,Albania,ALPHYDMHI0,hydro,inside,2037,42.06
REF,Albania,ALPHYDMHI0,hydro,inside,2038,42.06
REF,Albania,ALPHYDMHI0,hydro,inside,2039,42.06
REF,Albania,ALPHYDMHI0,hydro,inside,2040,42.06
REF,Albania,ALPHYDMHI0,hydro,inside,2041,42.06
REF,Albania,ALPHYDMHI0,hydro,inside,2042,42.06
REF,Albania,ALPHYDMHI0,hydro,inside,2043,42.06
REF,Albania,ALPHYDMHI0,hydro,inside,2044,42.06
REF,Albania,ALPHYDMHI0,hydro,inside,2045,42.06
REF,Albania,ALPHYDMHI0,hydro,inside,2046,42.06
REF,Albania,ALPHYDMHI0,hydro,inside,2047,42.06
REF,Albania,ALPHYDMHI0,hydro,inside,2048,42.06
REF,Albania,ALPHYDMHI0,hydro,inside,2049,42.06
REF,Albania,ALPHYDMHI0,hydro,inside,2050,42.06
REF,Albania,ALPHYDMHI2,hydro,inside,2021,1812.81
REF,Albania,ALPHYDMHI2,hydro,inside,2022,1809.67
REF,Albania,ALPHYDMHI2,hydro,inside,2023,1792.08
REF,Albania,ALPHYDMHI2,hydro,inside,2024,1451.08
REF,Albania,ALPHYDMHI2,hydro,inside,2025,1811
REF,Albania,ALPHYDMHI2,hydro,inside,2026,1811
REF,Albania,ALPHYDMHI2,hydro,inside,2027,1832.25
REF,Albania,ALPHYDMHI2,hydro,inside,2028,1789.58
REF,Albania,ALPHYDMHI2,hydro,inside,2029,1811
REF,Albania,ALPHYDMHI2,hydro,inside,2030,1811
REF,Albania,ALPHYDMHI2,hydro,inside,2031,1811
REF,Albania,ALPHYDMHI2,hydro,inside,2032,1811
REF,Albania,ALPHYDMHI2,hydro,inside,2033,1811
REF,Albania,ALPHYDMHI2,hydro,inside,2034,2169.59
REF,Albania,ALPHYDMHI2,hydro,inside,2035,1828.2
REF,Albania,ALPHYDMHI2,hydro,inside,2036,1810.95
REF,Albania,ALPHYDMHI2,hydro,inside,2037,1810.22
REF,Albania,ALPHYDMHI2,hydro,inside,2038,1810.22
REF,Albania,ALPHYDMHI2,hydro,inside,2039,1809.78
REF,Albania,ALPHYDMHI2,hydro,inside,2040,1807.25
REF,Albania,ALPHYDMHI2,hydro,inside,2041,1797.64
REF,Albania,ALPHYDMHI2,hydro,inside,2042,1800.89
REF,Albania,ALPHYDMHI2,hydro,inside,2043,1803.08
REF,Albania,ALPHYDMHI2,hydro,inside,2044,1823.31
REF,Albania,ALPHYDMHI2,hydro,inside,2045,1775.83
REF,Albania,ALPHYDMHI2,hydro,inside,2046,1800.72
REF,Albania,ALPHYDMHI2,hydro,inside,2047,1783.39
REF,Albania,ALPHYDMHI2,hydro,inside,2048,1763.97
REF,Albania,ALPHYDMHI2,hydro,inside,2049,1768.67
REF,Albania,ALPHYDMHI2,hydro,inside,2050,1788.39
REF,Albania,ALPHYDMHI3,hydro,inside,2021,2057.28
