scenario,country,tech,type,location,year,value
SKAVICA,Albania,ALPHYDMHI0,hydro,inside,2021,42.06
SKAVICA,Albania,ALPHYDMHI0,hydro,inside,2022,42.06
SKAVICA,Albania,ALPHYDMHI0,hydro,inside,2023,42.06
SKAVICA,Albania,ALPHYDMHI0,hydro,inside,2024,42.06
SKAVICA,Albania,ALPHYDMHI0,hydro,inside,2025,42.06
SKAVICA,Albania,ALPHYDMHI0,hydro,inside,2026,42.06
SKAVICA,Albania,ALPHYDMHI0,hydro,inside,2027,42.06
SKAVICA,Albania,ALPHYDMHI0,hydro,inside,2028,42.06
SKAVICA,Albania,ALPHYDMHI0,hydro,inside,2029,42.06
SKAVICA,Albania,ALPHYDMHI0,hydro,inside,2030,42.06
SKAVICA,Albania,ALPHYDMHI0,hydro,inside,2031,42.06
SKAVICA,Albania,ALPHYDMHI0,hydro,inside,2032,42.06
SKAVICA,Albania,ALPHYDMHI0,hydro,inside,2033,42.06
SKAVICA,Albania,ALPHYDMHI0,hydro,inside,2034,42.06
SKAVICA,Albania,ALPHYDMHI0,hydro,inside,2035,42.06
SKAVICA,Albania,ALPHYDMHI0,hydro,inside,2036,42.06
SKAVICA,Albania,ALPHYDMHI0,hydro,inside,2037,42.06
SKAVICA,Albania,ALPHYDMHI0,hydro,inside,2038,42.06
SKAVICA,Albania,ALPHYDMHI0,hydro,inside,2039,42.06
SKAVICA,Albania,ALPHYDMHI0,hydro,inside,2040,42.06
SKAVICA,Albania,ALPHYDMHI0,hydro,inside,2041,42.06
SKAVICA,Albania,ALPHYDMHI0,hydro,inside,2042,42.06
SKAVICA,Albania,ALPHYDMHI0,hydro,inside,2043,42.06
SKAVICA,Albania,ALPHYDMHI0,hydro,inside,2044,42.06
SKAVICA,Albania,ALPHYDMHI0,hydro,inside,2045,42.06
SKAVICA,Albania,ALPHYDMHI0,hydro,inside,2046,42.06
SKAVICA,Albania,ALPHYDMHI0,hydro,inside,2047,42.06
SKAVICA,Albania,ALPHYDMHI0,hydro,inside,2048,42.06
SKAVICA,Albania,ALPHYDMHI0,hydro,inside,2049,42.06
SKAVICA,Albania,ALPHYDMHI0,hydro,inside,2050,42.06
SKAVICA,Albania,ALPHYDMHI2,hydro,inside,2021,1811.39
SKAVICA,Albania,ALPHYDMHI2,hydro,inside,2022,1810.47
SKAVICA,Albania,ALPHYDMHI2,hydro,inside,2023,1804.86
SKAVICA,Albania,ALPHYDMHI2,hydro,inside,2024,1442.22
SKAVICA,Albania,ALPHYDMHI2,hydro,inside,2025,1781.58
SKAVICA,Albania,ALPHYDMHI2,hydro,inside,2026,1886.39
SKAVICA,Albania,ALPHYDMHI2,hydro,inside,2027,1907.39
SKAVICA,Albania,ALPHYDMHI2,hydro,inside,2028,1906.47
SKAVICA,Albania,ALPHYDMHI2,hydro,inside,2029,1907.08
SKAVICA,Albania,ALPHYDMHI2,hydro,inside,2030,1906.2
SKAVICA,Albania,ALPHYDMHI2,hydro,inside,2031,1906.25
SKAVICA,Albania,ALPHYDMHI2,hydro,inside,2032,1906.22
SKAVICA,Albania,ALPHYDMHI2,hydro,inside,2033,1921.72
SKAVICA,Albania,ALPHYDMHI2,hydro,inside,2034,2246.34
SKAVICA,Albania,ALPHYDMHI2,hydro,inside,2035,1926.75
SKAVICA,Albania,ALPHYDMHI2,hydro,inside,2036,1904.08
SKAVICA,Albania,ALPHYDMHI2,hydro,inside,2037,1903.11
SKAVICA,Albania,ALPHYDMHI2,hydro,inside,2038,1902.06
SKAVICA,Albania,ALPHYDMHI2,hydro,inside,2039,1892.72
SKAVICA,Albania,ALPHYDMHI2,hydro,inside,2040,1885.92
SKAVICA,Albania,ALPHYDMHI2,hydro,inside,2041,1886.61
SKAVICA,Albania,ALPHYDMHI2,hydro,inside,2042,1888.36
SKAVICA,Albania,ALPHYDMHI2,hydro,inside,2043,1885.25
SKAVICA,Albania,ALPHYDMHI2,hydro,inside,2044,1940.61
SKAVICA,Albania,ALPHYDMHI2,hydro,inside,2045,1871.22
SKAVICA,Albania,ALPHYDMHI2,hydro,inside,2046,1876.22
SKAVICA,Albania,ALPHYDMHI2,hydro,inside,2047,1891.2
SKAVICA,Albania,ALPHYDMHI2,hydro,inside,2048,1832.03
SKAVICA,Albania,ALPHYDMHI2,hydro,inside,2049,1819.36
SKAVICA,Albania,ALPHYDMHI2,hydro,inside,2050,1841.56
SKAVICA,Albania,ALPHYDMHI3,hydro,inside,2021,2049.78
SKAVICA,Albania,ALPHYDMHI3,hydro,inside,2022,2049.58
SKAVICA,Albania,ALPHYDMHI3,hydro,inside,2023,2050.75
SKAVICA,Albania,ALPHYDMHI3,hydro,inside,2024,1682.39
SKAVICA,Albania,ALPHYDMHI3,hydro,inside,2025,2023.92
SKAVICA,Albania,ALPHYDMHI3,hydro,inside,2026,2168.14
SKAVICA,Albania,ALPHYDMHI3,hydro,inside,2027,2084.75
SKAVICA,Albania,ALPHYDMHI3,hydro,inside,2028,2134.95
SKAVICA,Albania,ALPHYDMHI3,hydro,inside,2029,2186.53
SKAVICA,Albania,ALPHYDMHI3,hydro,inside,2030,2083.7
SKAVICA,Albania,ALPHYDMHI3,hydro,inside,2031,2185.78
SKAVICA,Albania,ALPHYDMHI3,hydro,inside,2032,2083.72
