scenario,catchment,week,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
RCP26,MKCWTRS3DD,1,0.47,0.403,0.414,0.717,0.38,0.39,0.401,0.49,1.244,0.785,0.543,0.705,0.508,1.156,1.075,0.651,0.376,0.292,0.394,0.989,0.466,0.254,0.946,0.616,0.494,1.193,0.516,0.661,0.348,0.25,0.924,0.27,1.08,0.517,0.372,0.358
RCP26,MKCWTRS3DD,2,0.407,0.512,0.48,0.623,1.03,0.375,0.257,1.174,0.6,1.306,0.785,0.603,0.688,1.335,0.71,1.166,0.363,0.311,0.266,0.54,0.412,0.163,1.047,0.728,0.37,0.856,0.344,0.537,0.273,0.176,0.941,0.227,1.053,0.379,0.455,0.581
RCP26,MKCWTRS3DD,3,0.346,0.559,0.382,0.475,0.692,0.498,0.227,0.536,0.848,1.049,1.163,0.459,0.662,0.975,0.593,1.532,0.45,0.352,0.205,0.93,0.468,0.394,0.565,1.486,0.44,0.459,1.021,0.369,0.406,0.124,0.625,0.417,0.75,0.364,0.38,0.652
RCP26,MKCWTRS3DD,4,0.284,0.651,0.317,0.398,0.515,0.41,0.449,0.501,1.593,0.691,0.837,0.835,1.011,1.001,0.518,0.808,0.396,0.615,0.37,0.978,0.619,0.317,0.379,0.819,0.601,0.431,1.073,0.612,0.329,0.119,0.396,0.453,0.583,0.469,0.664,0.901
RCP26,MKCWTRS3DD,5,0.224,0.386,0.762,0.523,0.477,0.556,0.412,0.749,0.989,1.057,0.647,0.703,0.605,0.674,0.403,0.755,0.304,0.642,0.516,0.676,0.637,0.452,0.567,0.821,0.722,0.541,1.081,1.277,0.23,0.104,0.433,0.41,0.66,0.472,0.625,0.594
RCP26,MKCWTRS3DD,6,0.354,0.408,0.953,0.625,0.395,1.061,0.328,0.73,0.679,0.657,0.395,0.733,0.445,0.448,0.53,0.99,0.218,0.397,0.432,0.461,0.592,0.552,1.154,1.637,0.834,0.53,1.067,0.735,0.155,0.26,0.798,0.361,0.78,0.535,1.06,0.72
RCP26,MKCWTRS3DD,7,0.628,0.352,0.921,0.665,0.484,0.698,0.261,0.922,0.746,0.37,0.282,0.624,0.315,0.398,0.645,0.737,0.313,0.364,0.443,0.529,0.788,0.534,1.028,0.882,0.92,0.522,0.654,0.511,0.268,0.342,0.675,0.327,0.903,1.296,1.072,0.939
RCP26,MKCWTRS3DD,8,0.694,0.504,0.808,1.041,0.712,0.537,0.187,1.35,0.616,0.269,0.311,0.834,0.447,0.497,0.861,0.917,0.768,0.408,0.535,0.49,0.902,0.427,0.7,1.577,0.779,0.483,0.733,0.386,0.475,0.607,0.514,0.78,0.829,1.472,1.014,1.016
RCP26,MKCWTRS3DD,9,0.496,0.904,0.704,1.051,0.691,0.657,0.427,1.177,0.501,0.283,0.412,1.041,0.473,0.546,0.673,1.204,0.91,0.833,0.604,0.525,0.999,0.379,1.109,1.59,0.546,0.408,0.812,0.41,0.822,1.199,0.436,0.915,0.885,1.102,1.847,1.209
RCP26,MKCWTRS3DD,10,0.357,0.676,0.457,1.061,0.666,0.889,0.748,1.497,0.529,0.799,0.55,1.315,0.525,0.424,0.429,1.446,0.991,0.652,0.489,0.806,1.893,0.25,1.164,1.024,0.437,0.596,0.992,0.33,0.597,1.171,0.69,1.432,1.0,1.131,1.089,1.786
RCP26,MKCWTRS3DD,11,0.53,0.867,0.441,1.331,1.489,0.784,0.797,1.621,0.501,0.975,0.642,0.89,0.742,0.309,0.332,1.076,0.826,0.396,1.043,0.482,1.241,0.364,0.677,0.772,0.591,0.637,0.705,0.341,0.589,0.776,0.661,1.431,1.46,0.857,0.766,1.723
RCP26,MKCWTRS3DD,12,1.011,0.857,0.406,1.263,1.851,0.725,0.988,1.245,0.542,0.891,0.818,0.927,0.575,0.33,0.369,1.221,0.717,0.297,0.97,0.376,0.977,0.445,0.517,1.03,0.82,0.84,0.702,0.517,0.422,0.451,0.575,1.117,1.01,0.804,0.673,1.14
RCP26,MKCWTRS3DD,13,0.892,0.613,0.541,0.878,1.499,0.799,1.388,0.959,0.658,0.643,1.034,0.64,0.499,0.322,0.298,1.037,0.531,0.802,0.914,0.919,0.908,0.355,0.429,1.136,0.729,0.508,0.564,0.489,0.903,0.35,0.539,0.985,0.573,0.534,0.648,0.693
RCP26,MKCWTRS3DD,14,1.983,0.559,0.594,1.002,0.894,0.745,0.923,1.2,0.806,0.705,0.899,0.955,0.575,0.422,0.191,0.711,0.595,0.694,1.203,1.138,0.943,0.327,0.366,1.117,0.429,0.487,0.631,0.487,0.601,0.251,0.601,0.678,0.645,0.43,0.585,0.626
RCP26,MKCWTRS3DD,15,1.632,0.579,0.411,1.0,0.783,0.621,0.672,1.077,0.815,0.847,0.708,1.343,0.509,0.563,0.137,0.495,0.941,0.757,1.268,1.132,0.691,0.403,0.298,1.178,0.485,0.634,0.446,0.364,0.47,0.158,0.731,0.506,0.659,0.371,0.524,0.696
RCP26,MKCWTRS3DD,16,1.148,0.447,0.372,0.59,0.597,0.703,0.785,1.009,0.716,0.548,0.515,1.079,0.381,0.279,0.11,0.478,0.794,0.712,1.139,0.797,0.93,0.555,0.33,1.025,0.3,0.53,0.47,0.546,0.833,0.151,0.561,0.336,0.89,0.5,0.693,0.496
RCP26,MKCWTRS3DD,17,0.697,0.501,0.621,0.518,0.476,0.541,0.537,0.69,0.542,0.403,0.578,0.723,0.447,0.143,0.539,0.51,0.922,0.462,0.84,0.664,0.997,0.599,0.313,0.684,0.187,0.582,0.503,0.552,0.749,0.229,0.933,0.407,0.691,0.624,0.611,0.475
RCP26,MKCWTRS3DD,18,0.476,0.381,0.569,0.546,0.297,0.318,0.365,0.629,0.666,0.413,0.409,0.618,0.416,0.109,0.371,0.546,0.967,0.505,0.822,0.663,1.593,0.46,0.495,0.636,0.132,0.595,0.517,0.427,0.559,0.236,0.96,0.731,0.52,0.608,0.447,0.62
RCP26,MKCWTRS3DD,19,0.301,0.307,0.514,0.393,0.381,0.329,0.23,0.537,0.685,0.372,0.494,0.389,0.317,0.106,0.192,0.469,0.702,0.332,0.614,0.435,0.975,0.44,0.356,0.589,0.523,0.321,0.457,0.275,0.444,0.259,0.763,0.669,0.457,0.521,0.321,0.584
RCP26,MKCWTRS3DD,20,0.232,0.236,0.594,0.263,0.375,0.339,0.171,0.374,0.717,0.354,0.653,0.303,0.24,0.086,0.114,0.327,0.665,0.223,0.361,0.283,0.589,0.402,0.257,0.405,0.475,0.245,0.532,0.235,0.325,0.186,0.385,0.725,0.32,0.448,0.309,0.459
