scenario,catchment,week,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
RCP26,XKCWTRS1WD,1,0.495,0.572,0.57,0.871,0.563,0.475,0.554,0.877,0.793,0.737,0.557,0.639,0.405,1.035,0.891,0.718,0.672,0.382,0.326,0.94,0.666,0.44,1.142,0.817,0.523,0.758,0.539,0.948,0.522,0.207,1.057,0.515,1.573,0.785,0.718,0.725
RCP26,XKCWTRS1WD,2,0.413,0.61,0.822,0.793,1.247,0.491,0.521,0.817,0.636,0.753,0.574,0.684,0.468,1.168,0.694,1.024,0.661,0.538,0.353,0.687,0.635,0.255,1.398,0.98,0.378,0.577,0.442,1.1,0.482,0.223,1.276,0.483,1.604,0.603,0.937,0.938
RCP26,XKCWTRS1WD,3,0.361,0.585,0.911,0.722,1.17,0.625,0.615,0.867,0.703,0.72,0.788,0.616,0.488,1.086,0.714,1.337,0.795,0.533,0.307,0.933,0.634,0.288,0.85,1.905,0.39,0.399,0.62,0.843,0.519,0.154,0.88,0.545,1.056,0.589,0.736,0.892
RCP26,XKCWTRS1WD,4,0.317,0.8,0.644,0.675,0.828,0.586,0.868,0.891,0.787,0.656,0.608,0.675,0.618,1.011,0.748,0.803,0.615,1.034,0.367,0.869,0.574,0.277,0.551,1.34,0.526,0.362,0.727,0.974,0.466,0.151,0.584,0.477,0.981,0.938,0.973,0.982
RCP26,XKCWTRS1WD,5,0.388,0.566,0.739,1.18,0.795,0.62,0.624,0.907,0.648,1.059,0.604,0.752,0.527,0.95,0.664,0.805,0.519,1.039,0.412,0.967,0.594,0.376,0.705,1.063,0.618,0.443,0.914,1.113,0.387,0.162,0.563,0.538,0.811,0.886,0.844,0.765
RCP26,XKCWTRS1WD,6,0.617,0.637,0.977,1.191,0.583,0.981,0.51,0.896,0.535,0.576,0.441,0.948,0.405,0.745,0.643,1.001,0.407,0.63,0.448,0.805,0.552,0.376,1.285,1.878,0.688,0.471,1.108,0.795,0.33,0.237,0.992,0.542,0.658,0.694,1.353,0.881
RCP26,XKCWTRS1WD,7,0.577,0.594,1.247,1.097,0.538,0.696,0.455,0.774,0.639,0.45,0.376,0.799,0.324,0.574,0.724,0.893,0.441,0.489,0.717,0.91,0.609,0.426,1.145,1.208,0.627,0.556,0.768,0.594,0.37,0.234,1.178,0.481,1.013,1.101,1.406,0.964
RCP26,XKCWTRS1WD,8,0.535,0.557,0.936,1.258,0.807,0.568,0.566,1.026,0.683,0.349,0.469,0.975,0.436,0.57,0.633,1.028,0.785,0.47,0.857,0.783,0.718,0.42,1.034,1.181,0.556,0.534,0.698,0.553,0.442,0.307,0.739,0.774,1.126,1.455,1.287,1.112
RCP26,XKCWTRS1WD,9,0.541,0.788,0.861,1.065,0.928,0.549,0.625,1.099,0.762,0.345,0.449,1.276,0.432,0.534,0.604,0.958,1.052,0.592,0.819,0.68,0.629,0.405,1.024,1.384,0.52,0.496,0.683,0.523,0.474,0.618,0.624,1.13,0.894,1.206,2.026,1.099
RCP26,XKCWTRS1WD,10,0.5,0.701,0.542,0.927,1.005,0.627,0.909,0.972,0.703,0.626,0.397,1.767,0.539,0.471,0.447,0.964,1.064,0.555,0.727,0.792,1.092,0.305,0.922,1.45,0.514,0.501,0.66,0.431,0.414,0.778,0.774,1.312,1.134,0.826,1.034,1.152
RCP26,XKCWTRS1WD,11,0.492,0.819,0.479,0.979,1.136,0.526,0.994,0.88,0.634,0.704,0.394,1.463,0.698,0.409,0.377,0.973,0.774,0.439,0.743,0.606,0.996,0.353,0.667,1.105,0.634,0.443,0.572,0.466,0.742,0.634,0.697,1.261,1.052,0.698,0.715,1.022
RCP26,XKCWTRS1WD,12,0.823,0.633,0.487,0.84,1.33,0.516,0.899,0.699,0.545,0.674,0.504,1.211,0.641,0.446,0.397,0.912,0.64,0.441,0.587,0.577,0.963,0.478,0.532,1.177,0.491,0.423,0.573,0.5,0.514,0.353,0.562,0.767,0.739,0.673,0.591,0.77
