scenario,catchment,week,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
RCP85,ALCWTCT3DD,1,0.205,0.389,0.099,0.236,0.208,0.202,0.25,0.297,0.152,0.204,0.236,0.282,0.528,0.275,0.269,0.273,0.169,0.294,0.198,0.273,0.369,0.367,0.174,0.268,0.665,0.131,0.244,0.28,0.495,0.298,0.248,0.275,0.374,0.292,0.3,0.169
RCP85,ALCWTCT3DD,2,0.089,0.326,0.0,0.175,0.11,0.175,0.249,0.259,0.486,0.255,0.117,0.277,0.532,0.444,0.437,0.193,0.17,0.399,0.099,0.11,0.277,0.267,0.221,0.364,0.267,0.295,0.614,0.565,0.859,0.036,0.133,0.136,0.39,0.235,0.513,0.361
RCP85,ALCWTCT3DD,3,0.0,0.158,0.181,0.153,0.124,0.192,0.119,0.219,0.246,0.215,0.223,0.407,0.322,0.431,0.282,0.289,0.33,0.335,0.273,0.274,0.23,0.319,0.338,0.255,0.163,0.429,0.473,0.26,0.55,0.337,0.394,0.314,0.163,0.408,0.37,0.267
RCP85,ALCWTCT3DD,4,0.383,0.002,0.706,0.133,0.0,0.161,0.19,0.167,0.161,0.393,0.201,0.321,0.514,0.311,0.442,0.18,0.277,0.185,0.332,0.152,0.2,0.266,0.551,0.166,0.152,0.64,0.254,0.173,0.456,0.297,0.208,0.34,0.221,0.288,0.338,0.281
RCP85,ALCWTCT3DD,5,0.385,0.438,0.255,0.274,0.429,0.267,0.191,0.098,0.399,0.33,0.019,0.197,0.386,0.225,0.183,0.0,0.222,0.075,0.058,0.063,0.17,0.253,0.393,0.248,0.077,0.333,0.0,0.217,0.522,0.646,0.194,0.513,0.403,0.13,0.243,0.034
RCP85,ALCWTCT3DD,6,0.577,0.387,0.225,0.187,0.255,0.0,0.214,0.494,0.751,0.207,0.21,0.214,0.405,0.287,0.125,0.526,0.139,0.09,0.174,0.589,0.269,0.242,0.136,0.095,0.456,0.0,0.276,0.321,0.049,0.452,0.038,0.64,0.099,0.325,0.31,0.308
RCP85,ALCWTCT3DD,7,0.513,0.414,0.512,0.337,0.12,0.198,0.293,0.595,0.519,0.029,0.185,0.274,0.015,0.348,0.423,0.437,0.0,0.251,0.155,0.387,0.156,0.0,0.338,0.146,0.477,0.362,0.324,0.088,0.33,0.075,0.303,0.372,0.419,0.224,0.285,0.365
RCP85,ALCWTCT3DD,8,0.364,0.295,0.244,0.309,0.405,0.426,0.264,0.32,0.469,0.155,0.13,0.1,0.425,0.488,0.279,0.134,0.492,0.215,0.12,0.492,0.146,0.04,0.237,0.279,0.432,0.589,0.596,0.771,0.941,0.327,0.363,0.307,0.253,0.396,0.074,0.51
RCP85,ALCWTCT3DD,9,0.4,0.207,0.059,0.413,0.56,0.199,0.396,0.108,0.272,0.294,0.14,0.237,0.357,0.047,0.321,0.266,0.335,0.0,0.263,0.37,0.405,0.481,0.177,0.239,0.308,0.55,0.287,0.646,0.685,0.568,0.283,0.43,0.095,0.1,0.152,0.262
RCP85,ALCWTCT3DD,10,0.11,0.713,0.46,0.571,0.224,0.152,0.556,0.268,0.0,0.058,0.402,0.116,0.202,0.114,0.264,0.273,0.145,0.463,0.424,0.22,0.464,0.513,0.308,0.117,0.225,0.352,0.204,0.347,0.67,0.56,0.24,0.426,0.114,0.283,0.047,0.0
