scenario,catchment,week,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
RCP85,MKCWTRS1BD,1,0.301,0.43,0.309,0.209,0.313,0.253,0.24,0.387,0.615,0.401,0.296,0.389,0.391,0.364,0.442,0.278,0.373,0.566,0.226,0.21,0.353,0.392,0.335,0.397,0.437,0.289,0.423,0.363,1.001,0.324,0.27,0.309,0.309,0.381,0.37,0.507
RCP85,MKCWTRS1BD,2,0.298,0.432,0.307,0.26,0.326,0.278,0.247,0.456,0.529,0.451,0.297,0.377,0.458,0.414,0.402,0.314,0.37,0.457,0.305,0.209,0.347,0.395,0.367,0.391,0.425,0.343,0.408,0.458,0.786,0.398,0.303,0.356,0.319,0.435,0.413,0.397
RCP85,MKCWTRS1BD,3,0.32,0.459,0.907,0.342,0.376,0.318,0.256,0.433,0.413,0.454,0.325,0.4,0.549,0.459,0.387,0.328,0.325,0.344,0.331,0.224,0.38,0.382,0.369,0.38,0.446,0.329,0.374,0.439,0.685,0.442,0.275,0.402,0.36,0.446,0.439,0.38
RCP85,MKCWTRS1BD,4,0.329,0.459,0.404,0.337,0.416,0.333,0.207,0.403,0.4,0.391,0.307,0.391,0.428,0.388,0.377,0.353,0.301,0.323,0.266,0.22,0.332,0.371,0.381,0.374,0.459,0.371,0.385,0.435,0.68,0.499,0.282,0.404,0.428,0.406,0.424,0.41
RCP85,MKCWTRS1BD,5,0.463,0.459,0.4,0.295,0.417,0.358,0.318,0.417,0.546,0.378,0.306,0.389,0.393,0.298,0.373,0.459,0.325,0.326,0.25,0.327,0.299,0.364,0.34,0.379,0.459,0.377,0.433,0.495,0.58,0.422,0.339,0.48,0.379,0.421,0.394,0.425
RCP85,MKCWTRS1BD,6,0.435,0.459,0.486,0.364,0.414,0.456,0.436,0.457,0.567,0.371,0.303,0.394,0.417,0.387,0.377,0.404,0.372,0.289,0.213,0.394,0.264,0.372,0.385,0.446,0.499,0.405,0.576,0.546,0.81,0.418,0.34,0.423,0.417,0.337,0.419,0.424
RCP85,MKCWTRS1BD,7,0.367,0.459,0.461,0.351,0.393,0.385,0.436,0.459,0.495,0.383,0.335,0.283,0.526,0.418,0.353,0.38,0.369,0.283,0.198,0.332,0.356,0.384,0.406,0.459,0.467,0.443,0.649,0.722,1.207,0.493,0.385,0.518,0.344,0.329,0.452,0.452
RCP85,MKCWTRS1BD,8,0.287,0.462,0.498,0.385,0.52,0.316,0.459,0.459,0.469,0.333,0.319,0.307,0.581,0.415,0.312,0.353,0.378,0.282,0.187,0.338,0.442,0.385,0.459,0.459,0.459,0.43,0.537,0.615,0.876,0.465,0.395,0.556,0.37,0.299,0.422,0.459
RCP85,MKCWTRS1BD,9,0.277,0.555,0.579,0.555,0.424,0.331,0.451,0.576,0.459,0.314,0.366,0.279,0.571,0.419,0.343,0.357,0.369,0.347,0.262,0.37,0.453,0.54,0.459,0.377,0.424,0.374,0.457,0.586,0.664,0.528,0.4,0.483,0.44,0.334,0.41,0.459
RCP85,MKCWTRS1BD,10,0.356,0.539,0.538,0.51,0.399,0.307,0.386,0.568,0.447,0.341,0.438,0.356,0.455,0.515,0.332,0.367,0.363,0.346,0.315,0.388,0.409,0.588,0.406,0.342,0.364,0.357,0.426,0.514,0.54,0.442,0.379,0.368,0.417,0.32,0.323,0.452
RCP85,MKCWTRS1BD,11,0.301,0.499,0.59,0.572,0.385,0.327,0.372,0.493,0.492,0.369,0.459,0.365,0.458,0.415,0.281,0.385,0.338,0.379,0.166,0.386,0.362,0.616,0.349,0.292,0.284,0.357,0.465,0.473,0.519,0.416,0.357,0.285,0.446,0.249,0.338,0.459
RCP85,MKCWTRS1BD,12,0.291,0.459,0.43,0.506,0.324,0.363,0.366,0.382,0.516,0.391,0.459,0.38,0.484,0.387,0.289,0.505,0.312,0.448,0.197,0.339,0.357,0.632,0.319,0.28,0.288,0.374,0.44,0.505,0.575,0.43,0.405,0.274,0.461,0.226,0.391,0.459
RCP85,MKCWTRS1BD,13,0.285,0.459,0.418,0.536,0.294,0.423,0.379,0.342,0.376,0.375,0.459,0.431,0.453,0.387,0.288,0.356,0.361,0.361,0.205,0.284,0.385,0.548,0.334,0.278,0.278,0.362,0.422,0.325,0.633,0.41,0.387,0.273,0.405,0.226,0.324,0.452
RCP85,MKCWTRS1BD,14,0.275,0.459,0.411,0.423,0.369,0.316,0.382,0.365,0.304,0.369,0.454,0.421,0.328,0.414,0.288,0.401,0.295,0.333,0.257,0.357,0.35,0.331,0.378,0.287,0.272,0.309,0.563,0.272,0.547,0.426,0.403,0.289,0.418,0.243,0.309,0.378
RCP85,MKCWTRS1BD,15,0.275,0.459,0.402,0.372,0.329,0.407,0.392,0.343,0.271,0.364,0.434,0.545,0.376,0.459,0.227,0.439,0.229,0.3,0.276,0.385,0.451,0.282,0.322,0.31,0.292,0.215,0.43,0.197,0.485,0.424,0.377,0.317,0.353,0.239,0.305,0.38
RCP85,MKCWTRS1BD,16,0.265,0.733,0.546,0.389,0.334,0.354,0.453,0.308,0.263,0.277,0.35,0.577,0.383,0.446,0.235,0.411,0.267,0.289,0.238,0.386,0.421,0.331,0.308,0.293,0.267,0.238,0.387,0.241,0.459,0.348,0.338,0.218,0.321,0.239,0.305,0.324
RCP85,MKCWTRS1BD,17,0.267,0.534,0.571,0.388,0.293,0.298,0.374,0.297,0.252,0.284,0.341,0.428,0.388,0.406,0.24,0.475,0.265,0.22,0.225,0.399,0.376,0.328,0.245,0.293,0.201,0.343,0.376,0.278,0.459,0.322,0.387,0.214,0.287,0.317,0.288,0.285
RCP85,MKCWTRS1BD,18,0.3,0.382,0.407,0.38,0.294,0.284,0.314,0.286,0.258,0.324,0.431,0.334,0.337,0.38,0.239,0.387,0.214,0.202,0.172,0.4,0.343,0.285,0.296,0.309,0.226,0.337,0.377,0.296,0.459,0.285,0.319,0.184,0.257,0.142,0.288,0.291
RCP85,MKCWTRS1BD,19,0.25,0.371,0.477,0.368,0.321,0.255,0.3,0.273,0.214,0.338,0.459,0.276,0.329,0.37,0.233,0.337,0.195,0.197,0.118,0.333,0.303,0.285,0.217,0.298,0.215,0.235,0.336,0.236,0.459,0.28,0.257,0.19,0.222,0.133,0.312,0.202
RCP85,MKCWTRS1BD,20,0.206,0.287,0.486,0.323,0.304,0.253,0.284,0.225,0.226,0.309,0.459,0.288,0.335,0.301,0.232,0.261,0.205,0.184,0.129,0.22,0.297,0.274,0.188,0.228,0.181,0.231,0.28,0.25,0.413,0.307,0.208,0.188,0.219,0.111,0.244,0.197
RCP85,MKCWTRS1BD,21,0.248,0.198,0.423,0.264,0.306,0.251,0.257,0.198,0.186,0.27,0.383,0.3,0.364,0.208,0.183,0.271,0.138,0.265,0.172,0.201,0.277,0.244,0.177,0.276,0.13,0.274,0.223,0.256,0.396,0.223,0.252,0.241,0.254,0.141,0.271,0.218
RCP85,MKCWTRS1BD,22,0.173,0.208,0.451,0.243,0.28,0.193,0.238,0.2,0.18,0.263,0.364,0.332,0.311,0.249,0.178,0.223,0.138,0.229,0.2,0.194,0.272,0.174,0.171,0.206,0.153,0.266,0.184,0.189,0.425,0.178,0.232,0.217,0.202,0.098,0.231,0.194
RCP85,MKCWTRS1BD,23,0.079,0.176,0.355,0.193,0.204,0.175,0.135,0.209,0.136,0.324,0.324,0.353,0.238,0.203,0.096,0.186,0.108,0.167,0.12,0.186,0.205,0.237,0.107,0.207,0.146,0.228,0.171,0.168,0.272,0.176,0.224,0.163,0.167,0.115,0.19,0.174
RCP85,MKCWTRS1BD,24,0.09,0.208,0.286,0.123,0.222,0.179,0.122,0.281,0.139,0.273,0.24,0.286,0.28,0.179,0.098,0.182,0.096,0.148,0.069,0.217,0.229,0.263,0.1,0.115,0.072,0.262,0.09,0.165,0.198,0.207,0.175,0.084,0.102,0.117,0.079,0.219
RCP85,MKCWTRS1BD,25,0.063,0.221,0.278,0.181,0.09,0.169,0.084,0.208,0.1,0.189,0.217,0.185,0.29,0.188,0.206,0.253,0.151,0.173,0.063,0.187,0.193,0.21,0.063,0.143,0.075,0.274,0.084,0.154,0.176,0.14,0.167,0.071,0.061,0.074,0.085,0.19
RCP85,MKCWTRS1BD,26,0.055,0.11,0.31,0.138,0.072,0.111,0.07,0.128,0.07,0.16,0.139,0.14,0.181,0.146,0.144,0.191,0.069,0.118,0.049,0.198,0.205,0.106,0.052,0.137,0.073,0.279,0.072,0.135,0.142,0.065,0.071,0.052,0.064,0.051,0.086,0.081
RCP85,MKCWTRS1BD,27,0.052,0.108,0.314,0.074,0.058,0.075,0.061,0.073,0.056,0.16,0.101,0.077,0.081,0.111,0.071,0.12,0.053,0.072,0.046,0.106,0.151,0.081,0.039,0.082,0.05,0.25,0.068,0.163,0.082,0.052,0.128,0.045,0.054,0.044,0.068,0.072
RCP85,MKCWTRS1BD,28,0.046,0.112,0.198,0.091,0.058,0.069,0.053,0.074,0.05,0.08,0.084,0.066,0.067,0.085,0.057,0.069,0.064,0.067,0.045,0.047,0.068,0.067,0.037,0.057,0.053,0.18,0.051,0.072,0.078,0.044,0.083,0.045,0.048,0.032,0.047,0.049
RCP85,MKCWTRS1BD,29,0.039,0.073,0.173,0.091,0.054,0.077,0.067,0.091,0.057,0.107,0.141,0.066,0.058,0.082,0.05,0.06,0.049,0.064,0.032,0.046,0.054,0.05,0.052,0.047,0.069,0.137,0.097,0.054,0.07,0.043,0.076,0.03,0.037,0.027,0.062,0.037
RCP85,MKCWTRS1BD,30,0.025,0.059,0.164,0.059,0.044,0.051,0.052,0.112,0.056,0.062,0.079,0.078,0.053,0.096,0.04,0.05,0.044,0.056,0.029,0.056,0.055,0.047,0.045,0.065,0.058,0.07,0.05,0.05,0.053,0.035,0.051,0.028,0.088,0.028,0.041,0.038
RCP85,MKCWTRS1BD,31,0.026,0.097,0.111,0.045,0.076,0.046,0.054,0.078,0.083,0.059,0.138,0.064,0.076,0.065,0.035,0.045,0.05,0.048,0.053,0.045,0.053,0.048,0.037,0.056,0.069,0.071,0.041,0.056,0.049,0.046,0.132,0.045,0.173,0.05,0.038,0.042
RCP85,MKCWTRS1BD,32,0.024,0.061,0.079,0.04,0.085,0.057,0.059,0.107,0.093,0.069,0.108,0.054,0.08,0.057,0.057,0.049,0.037,0.054,0.031,0.04,0.062,0.053,0.035,0.042,0.071,0.135,0.069,0.062,0.046,0.063,0.086,0.051,0.157,0.064,0.032,0.054
RCP85,MKCWTRS1BD,33,0.028,0.054,0.089,0.1,0.087,0.048,0.095,0.065,0.107,0.065,0.069,0.058,0.06,0.071,0.052,0.044,0.058,0.052,0.048,0.053,0.046,0.097,0.03,0.047,0.054,0.137,0.045,0.071,0.112,0.069,0.086,0.037,0.137,0.049,0.048,0.046
RCP85,MKCWTRS1BD,34,0.03,0.057,0.086,0.068,0.077,0.064,0.064,0.059,0.092,0.065,0.061,0.082,0.059,0.063,0.049,0.074,0.054,0.046,0.096,0.073,0.046,0.119,0.052,0.046,0.039,0.168,0.048,0.061,0.142,0.071,0.061,0.049,0.095,0.035,0.058,0.056
RCP85,MKCWTRS1BD,35,0.04,0.077,0.078,0.129,0.186,0.112,0.075,0.057,0.055,0.143,0.062,0.094,0.153,0.07,0.083,0.072,0.108,0.057,0.072,0.072,0.07,0.054,0.063,0.053,0.034,0.182,0.047,0.073,0.124,0.083,0.12,0.045,0.065,0.043,0.047,0.073
RCP85,MKCWTRS1BD,36,0.078,0.075,0.119,0.257,0.195,0.153,0.057,0.174,0.119,0.103,0.06,0.138,0.184,0.089,0.11,0.12,0.091,0.044,0.102,0.124,0.111,0.049,0.184,0.056,0.138,0.176,0.082,0.083,0.091,0.048,0.1,0.077,0.089,0.125,0.088,0.075
RCP85,MKCWTRS1BD,37,0.079,0.113,0.136,0.261,0.146,0.164,0.094,0.191,0.215,0.082,0.094,0.176,0.094,0.061,0.106,0.133,0.112,0.047,0.09,0.086,0.067,0.096,0.17,0.159,0.134,0.171,0.097,0.124,0.149,0.063,0.067,0.08,0.188,0.159,0.091,0.088
RCP85,MKCWTRS1BD,38,0.073,0.16,0.19,0.249,0.095,0.103,0.07,0.203,0.085,0.066,0.072,0.194,0.066,0.053,0.103,0.128,0.063,0.066,0.077,0.092,0.051,0.069,0.089,0.108,0.173,0.199,0.115,0.069,0.091,0.052,0.068,0.199,0.114,0.124,0.053,0.092
RCP85,MKCWTRS1BD,39,0.084,0.16,0.131,0.207,0.076,0.097,0.112,0.293,0.218,0.129,0.168,0.339,0.144,0.174,0.1,0.173,0.064,0.114,0.122,0.247,0.049,0.132,0.147,0.236,0.148,0.241,0.191,0.076,0.149,0.091,0.119,0.119,0.199,0.093,0.115,0.113
RCP85,MKCWTRS1BD,40,0.16,0.17,0.274,0.288,0.225,0.144,0.201,0.228,0.25,0.28,0.151,0.375,0.119,0.229,0.119,0.269,0.208,0.197,0.161,0.207,0.13,0.135,0.175,0.293,0.142,0.138,0.138,0.116,0.225,0.191,0.132,0.124,0.261,0.15,0.079,0.128
RCP85,MKCWTRS1BD,41,0.168,0.13,0.389,0.374,0.227,0.135,0.142,0.198,0.164,0.288,0.196,0.288,0.119,0.274,0.106,0.209,0.232,0.198,0.166,0.173,0.121,0.155,0.217,0.213,0.075,0.262,0.236,0.096,0.257,0.241,0.175,0.14,0.284,0.228,0.166,0.152
RCP85,MKCWTRS1BD,42,0.309,0.112,0.272,0.403,0.267,0.17,0.144,0.18,0.141,0.198,0.258,0.149,0.193,0.283,0.132,0.169,0.203,0.278,0.246,0.219,0.133,0.148,0.212,0.092,0.074,0.216,0.191,0.079,0.296,0.243,0.165,0.152,0.222,0.304,0.17,0.204
RCP85,MKCWTRS1BD,43,0.306,0.18,0.22,0.356,0.257,0.164,0.246,0.184,0.24,0.189,0.213,0.171,0.197,0.273,0.134,0.158,0.184,0.285,0.109,0.279,0.163,0.123,0.262,0.065,0.068,0.158,0.251,0.131,0.328,0.242,0.124,0.158,0.3,0.302,0.14,0.26
RCP85,MKCWTRS1BD,44,0.194,0.195,0.203,0.37,0.259,0.163,0.238,0.271,0.343,0.162,0.158,0.243,0.222,0.262,0.178,0.149,0.151,0.17,0.093,0.308,0.248,0.198,0.381,0.063,0.176,0.167,0.27,0.209,0.31,0.223,0.09,0.303,0.297,0.244,0.153,0.287
RCP85,MKCWTRS1BD,45,0.299,0.255,0.246,0.445,0.266,0.21,0.278,0.291,0.314,0.221,0.227,0.28,0.303,0.382,0.16,0.164,0.177,0.173,0.135,0.287,0.284,0.203,0.319,0.13,0.288,0.337,0.284,0.262,0.3,0.205,0.156,0.44,0.291,0.214,0.23,0.577
RCP85,MKCWTRS1BD,46,0.431,0.297,0.274,0.713,0.324,0.249,0.223,0.334,0.292,0.358,0.265,0.297,0.34,0.475,0.195,0.28,0.2,0.169,0.173,0.283,0.355,0.254,0.271,0.176,0.266,0.382,0.295,0.331,0.289,0.195,0.277,0.422,0.29,0.311,0.285,0.465
RCP85,MKCWTRS1BD,47,0.338,0.306,0.303,0.44,0.34,0.214,0.261,0.277,0.359,0.383,0.181,0.332,0.351,0.356,0.356,0.32,0.227,0.212,0.257,0.344,0.364,0.285,0.302,0.197,0.189,0.371,0.243,0.459,0.279,0.273,0.304,0.508,0.338,0.514,0.262,0.451
RCP85,MKCWTRS1BD,48,0.354,0.193,0.321,0.33,0.367,0.298,0.277,0.372,0.38,0.589,0.173,0.325,0.375,0.554,0.363,0.383,0.282,0.196,0.337,0.314,0.483,0.308,0.521,0.293,0.246,0.38,0.28,0.459,0.296,0.301,0.222,0.399,0.339,0.384,0.237,0.459
RCP85,MKCWTRS1BD,49,0.299,0.23,0.284,0.391,0.3,0.245,0.253,0.463,0.422,0.653,0.272,0.343,0.394,0.557,0.322,0.281,0.331,0.201,0.353,0.325,0.794,0.287,0.498,0.383,0.273,0.435,0.393,0.772,0.368,0.297,0.264,0.294,0.358,0.392,0.293,0.449
RCP85,MKCWTRS1BD,50,0.345,0.293,0.303,0.401,0.302,0.234,0.316,0.461,0.409,0.432,0.371,0.463,0.41,0.497,0.264,0.219,0.533,0.305,0.245,0.306,1.16,0.341,0.431,0.378,0.348,0.46,0.333,0.668,0.366,0.239,0.291,0.315,0.36,0.475,0.327,0.397
RCP85,MKCWTRS1BD,51,0.385,0.289,0.313,0.407,0.378,0.297,0.378,0.506,0.386,0.373,0.434,0.421,0.357,0.445,0.216,0.208,0.435,0.254,0.275,0.293,0.634,0.317,0.34,0.535,0.321,0.393,0.273,0.547,0.373,0.286,0.309,0.375,0.36,0.467,0.335,0.351
RCP85,MKCWTRS1BD,52,0.519,0.32,0.279,0.346,0.33,0.246,0.389,0.525,0.415,0.385,0.374,0.431,0.34,0.418,0.287,0.229,0.507,0.161,0.242,0.256,0.406,0.303,0.346,0.458,0.292,0.412,0.299,0.647,0.371,0.334,0.297,0.309,0.36,0.382,0.356,0.32
