scenario,catchment,week,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
RCP85,MKCWTCT2BD,20,0.185,0.316,0.739,0.264,0.381,0.438,0.299,0.309,0.295,0.437,0.588,0.344,0.475,0.332,0.305,0.449,0.197,0.253,0.192,0.422,0.351,0.206,0.16,0.321,0.226,0.329,0.217,0.281,0.325,0.146,0.149,0.258,0.308,0.179,0.336,0.135
RCP85,MKCWTCT2BD,21,0.286,0.181,0.609,0.263,0.48,0.406,0.302,0.228,0.202,0.222,0.293,0.193,0.405,0.278,0.179,0.394,0.24,0.343,0.232,0.276,0.323,0.128,0.103,0.335,0.211,0.392,0.124,0.29,0.247,0.103,0.203,0.29,0.458,0.247,0.43,0.119
RCP85,MKCWTCT2BD,22,0.185,0.166,0.448,0.231,0.312,0.224,0.332,0.202,0.188,0.143,0.257,0.343,0.211,0.274,0.308,0.248,0.2,0.25,0.29,0.175,0.152,0.092,0.067,0.269,0.266,0.23,0.095,0.245,0.334,0.059,0.2,0.285,0.274,0.146,0.381,0.092
RCP85,MKCWTCT2BD,23,0.095,0.111,0.312,0.123,0.174,0.118,0.197,0.334,0.21,0.203,0.332,0.36,0.243,0.222,0.12,0.153,0.163,0.244,0.146,0.109,0.105,0.178,0.047,0.24,0.206,0.406,0.085,0.134,0.193,0.07,0.219,0.262,0.132,0.181,0.228,0.069
RCP85,MKCWTCT2BD,24,0.111,0.141,0.255,0.101,0.163,0.091,0.135,0.349,0.218,0.106,0.322,0.31,0.328,0.2,0.083,0.098,0.092,0.21,0.087,0.152,0.101,0.112,0.087,0.191,0.11,0.383,0.083,0.135,0.125,0.098,0.106,0.137,0.1,0.142,0.123,0.082
RCP85,MKCWTCT2BD,25,0.056,0.148,0.158,0.279,0.093,0.066,0.069,0.146,0.135,0.061,0.311,0.125,0.198,0.16,0.193,0.102,0.183,0.338,0.065,0.112,0.07,0.072,0.04,0.146,0.089,0.177,0.106,0.298,0.116,0.088,0.057,0.093,0.057,0.081,0.112,0.116
RCP85,MKCWTCT2BD,26,0.046,0.07,0.234,0.208,0.059,0.075,0.044,0.1,0.066,0.046,0.183,0.073,0.103,0.182,0.097,0.096,0.076,0.137,0.045,0.097,0.12,0.064,0.026,0.154,0.1,0.319,0.068,0.252,0.139,0.041,0.049,0.051,0.045,0.048,0.094,0.089
RCP85,MKCWTCT2BD,27,0.056,0.078,0.274,0.11,0.041,0.063,0.036,0.073,0.038,0.05,0.098,0.059,0.072,0.164,0.09,0.056,0.047,0.091,0.043,0.077,0.072,0.073,0.019,0.119,0.055,0.242,0.05,0.282,0.069,0.026,0.144,0.037,0.038,0.034,0.088,0.08
RCP85,MKCWTCT2BD,28,0.043,0.105,0.157,0.085,0.045,0.062,0.031,0.07,0.032,0.057,0.062,0.047,0.053,0.087,0.068,0.057,0.062,0.076,0.051,0.039,0.045,0.056,0.018,0.08,0.038,0.092,0.038,0.113,0.044,0.022,0.106,0.052,0.041,0.027,0.052,0.039
RCP85,MKCWTCT2BD,29,0.029,0.084,0.1,0.136,0.041,0.119,0.051,0.102,0.072,0.123,0.126,0.045,0.037,0.062,0.05,0.061,0.061,0.089,0.027,0.033,0.031,0.04,0.063,0.044,0.046,0.052,0.131,0.057,0.046,0.023,0.103,0.027,0.034,0.021,0.054,0.022
RCP85,MKCWTCT2BD,30,0.022,0.049,0.158,0.059,0.028,0.052,0.048,0.185,0.066,0.069,0.068,0.085,0.031,0.092,0.027,0.042,0.038,0.092,0.024,0.061,0.038,0.029,0.038,0.05,0.05,0.046,0.052,0.059,0.032,0.018,0.051,0.025,0.137,0.029,0.038,0.02
RCP85,MKCWTCT2BD,31,0.018,0.11,0.137,0.033,0.069,0.037,0.037,0.105,0.108,0.067,0.172,0.073,0.071,0.061,0.024,0.03,0.043,0.047,0.069,0.046,0.036,0.028,0.02,0.075,0.116,0.059,0.031,0.054,0.027,0.032,0.169,0.047,0.175,0.052,0.03,0.021
RCP85,MKCWTCT2BD,32,0.017,0.075,0.094,0.027,0.13,0.067,0.058,0.168,0.107,0.049,0.138,0.036,0.079,0.041,0.057,0.039,0.026,0.06,0.035,0.031,0.038,0.044,0.018,0.035,0.119,0.125,0.091,0.083,0.026,0.075,0.133,0.068,0.19,0.085,0.031,0.045
RCP85,MKCWTCT2BD,33,0.02,0.053,0.094,0.123,0.164,0.057,0.11,0.073,0.184,0.071,0.066,0.05,0.048,0.076,0.051,0.031,0.07,0.063,0.061,0.05,0.025,0.071,0.014,0.038,0.083,0.259,0.045,0.059,0.119,0.083,0.14,0.046,0.223,0.068,0.056,0.039
RCP85,MKCWTCT2BD,34,0.019,0.033,0.092,0.086,0.108,0.088,0.065,0.055,0.134,0.101,0.048,0.109,0.044,0.066,0.044,0.079,0.061,0.041,0.108,0.103,0.023,0.039,0.032,0.042,0.046,0.298,0.033,0.082,0.202,0.078,0.096,0.055,0.125,0.04,0.098,0.058
RCP85,MKCWTCT2BD,35,0.022,0.035,0.056,0.224,0.32,0.16,0.093,0.039,0.07,0.228,0.045,0.149,0.262,0.057,0.099,0.092,0.201,0.065,0.107,0.118,0.051,0.024,0.055,0.055,0.025,0.326,0.028,0.1,0.2,0.098,0.096,0.057,0.083,0.046,0.07,0.084
RCP85,MKCWTCT2BD,36,0.086,0.047,0.177,0.366,0.332,0.201,0.055,0.239,0.153,0.165,0.037,0.196,0.22,0.093,0.131,0.138,0.166,0.038,0.16,0.213,0.12,0.028,0.284,0.066,0.256,0.537,0.084,0.102,0.133,0.041,0.12,0.086,0.116,0.211,0.107,0.118
RCP85,MKCWTCT2BD,37,0.134,0.176,0.201,0.404,0.292,0.253,0.14,0.29,0.246,0.148,0.073,0.277,0.137,0.055,0.177,0.196,0.263,0.036,0.165,0.116,0.061,0.126,0.178,0.207,0.243,0.248,0.147,0.212,0.276,0.03,0.084,0.112,0.208,0.166,0.145,0.144
RCP85,MKCWTCT2BD,38,0.123,0.23,0.346,0.447,0.149,0.144,0.109,0.402,0.1,0.097,0.058,0.369,0.088,0.063,0.162,0.194,0.111,0.065,0.129,0.163,0.038,0.071,0.103,0.128,0.5,0.204,0.226,0.099,0.149,0.044,0.102,0.321,0.177,0.128,0.086,0.15
RCP85,MKCWTCT2BD,39,0.175,0.22,0.17,0.352,0.108,0.117,0.204,0.536,0.513,0.18,0.248,0.76,0.186,0.38,0.144,0.259,0.105,0.216,0.172,0.46,0.026,0.202,0.208,0.348,0.27,0.171,0.323,0.117,0.242,0.122,0.202,0.185,0.364,0.176,0.209,0.192
RCP85,MKCWTCT2BD,40,0.308,0.288,0.514,0.449,0.268,0.208,0.323,0.403,0.414,0.482,0.229,0.517,0.162,0.416,0.146,0.443,0.351,0.291,0.221,0.474,0.162,0.19,0.275,0.473,0.168,0.211,0.221,0.223,0.415,0.297,0.235,0.21,0.359,0.28,0.143,0.173
RCP85,MKCWTCT2BD,41,0.323,0.22,0.672,1.259,0.412,0.333,0.201,0.38,0.201,0.492,0.277,0.237,0.149,0.493,0.13,0.421,0.395,0.352,0.186,0.459,0.102,0.243,0.335,0.291,0.126,0.365,0.438,0.178,0.776,0.328,0.304,0.218,0.436,0.537,0.283,0.242
