month,RCP26,RCP45,RCP85
1,8.333333333333334,15.4,0.9166666666666666
2,4.333333333333333,15.6,7.333333333333333
3,7.166666666666667,7.2,3.1666666666666665
4,9.833333333333334,-0.6666666666666666,-4.166666666666667
5,0.8333333333333334,-5,-6.166666666666667
6,-4,-3.6666666666666665,-1.4166666666666667
7,-4.833333333333333,-5.933333333333334,-6.5
8,-3.6666666666666665,0.5333333333333333,-6.333333333333333
9,-20,-5.866666666666666,-13.083333333333334
10,-19.833333333333332,-8,-5.166666666666667
11,-15,1.0666666666666667,-6
12,-8,10.666666666666666,-8.75
