year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
ALCWTCT1DD,3338.716,3118.469,3423.864,3623.581,3537.456,2894.185,3339.915,3940.076,3664.862,3349.88,3367.351,3757.704,2720.043,3517.525,2942.372,4206.934,3535.186,3327.49,2982.927,3732.159,4492.934,2323.446,3197.94,3487.819,2981.193,3174.666,3473.659,3535.69,3540.042,2203.483,2788.949,3101.66,3059.938,3424.715,3605.132,3695.262
ALCWTCT2DD,3050.351,2324.109,2310.58,3512.29,2075.258,1683.013,2120.67,3540.925,1440.848,1420.255,2216.224,2844.169,1697.961,2849.278,2115.372,2676.523,2559.493,1578.787,2939.124,2259.46,3134.426,1822.655,2023.35,2626.223,1449.142,2403.737,2334.768,2150.408,1529.054,1831.8,2132.401,1838.454,2098.689,2006.131,2520.988,2577.5
ALCWTCT3DD,2009.253,1619.847,1557.342,2443.977,2222.027,1679.26,1771.882,3323.011,1850.28,1637.633,2806.515,2445.554,1525.869,2852.021,1701.21,2997.623,2350.946,1759.52,1899.792,2013.511,3967.071,1995.03,2011.429,2370.372,1215.839,2450.032,2229.721,2194.874,1349.425,1668.917,2000.865,1882.321,2248.58,1605.561,3346.979,2578.068
ALCWTRS1DD,18555.466,12547.796999999999,14797.985999999999,15244.250999999998,17739.190000000002,12136.598,14015.861,23045.341,14560.012999999999,13857.36,13792.932,17452.306,11988.315999999999,14836.773,12185.952,17189.108,13278.801,11700.171999999999,17777.032000000003,18557.863,18004.029,13047.705,14533.713000000002,19146.231,10154.529000000002,15962.419000000002,16781.441,14172.846,10911.866,15574.968,12863.502,17523.577,16707.836,16388.408,20424.48,17644.454999999998
ALCWTRS2DD,21605.817,14871.905999999999,17108.566,18756.540999999997,19814.448000000004,13819.611,16136.531,26586.266,16000.860999999999,15277.615000000002,16009.156,20296.475,13686.276999999998,17686.051,14301.323999999999,19865.631,15838.294,13278.958999999999,20716.156000000003,20817.323,21138.454999999998,14870.36,16557.063000000002,21772.453999999998,11603.671000000002,18366.156000000003,19116.209,16323.253999999999,12440.92,17406.768,14995.903,19362.031000000003,18806.524999999998,18394.539,22945.468,20221.954999999998
ALCWTRS3DD,23615.07,16491.753,18665.908,21200.517999999996,22036.475000000006,15498.871000000001,17908.413,29909.277,17851.141,16915.248000000003,18815.671000000002,22742.029,15212.145999999999,20538.072,16002.534,22863.254,18189.239999999998,15038.479,22615.948000000004,22830.834,25105.525999999998,16865.39,18568.492000000002,24142.825999999997,12819.510000000002,20816.188000000002,21345.93,18518.127999999997,13790.345,19075.685,16996.768,21244.352000000003,21055.104999999996,20000.100000000002,26292.447,22800.022999999997
MKCWTCT1BD,837.407,532.864,532.864,798.46,1056.488,490.006,532.864,1206.946,857.653,532.864,532.864,675.091,532.864,690.197,532.864,864.213,532.864,478.843,727.094,1032.394,1069.165,503.315,534.787,1126.655,530.94,702.307,810.475,632.675,532.864,897.483,613.817,789.472,1268.693,697.292,825.802,1360.968
MKCWTCT2BD,4310.372,2545.176,3237.36,3084.442,3517.179,2130.856,2980.657,4123.994,3200.557,2434.863,3556.914,3011.341,3071.165,2814.525,2161.067,3202.197,2423.384,1767.908,3926.2,4228.946,4094.004,2009.001,2293.456,3144.896,1984.497,2582.83,3098.507,2272.011,1964.819,4071.203,2192.351,2781.98,2878.669,2864.068,4117.056,4019.673
MKCWTCT3DD,4976.885,2476.018,2883.463,2973.908,4592.651,2906.768,3360.508,4069.342,3833.295,3529.824,3314.15,3319.006,2633.13,3391.602,2629.409,3853.731,2758.895,2191.058,4851.908,4103.023,4214.124,2656.593,3214.906,4175.051,2053.53,3968.963,3621.279,3519.733,2066.554,4515.924,2438.584,4185.048,3428.279,3891.795,4206.556,4205.357
MKCWTLK0BD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
