model,scenario,year,catchment,month,week,value
ehype,ref,2020,DCT2,1,1,30.349
ehype,ref,2020,DCT2,1,2,22.591
ehype,ref,2020,DCT2,1,3,14.512
ehype,ref,2020,DCT2,1,4,19.837
ehype,ref,2020,DCT2,1,5,29.076
ehype,ref,2020,DCT2,2,6,23.372
ehype,ref,2020,DCT2,2,7,21.8
ehype,ref,2020,DCT2,2,8,21.23
ehype,ref,2020,DCT2,2,9,30.687
ehype,ref,2020,DCT2,3,10,24.814
ehype,ref,2020,DCT2,3,11,33.557
ehype,ref,2020,DCT2,3,12,41.454
ehype,ref,2020,DCT2,3,13,49.853
ehype,ref,2020,DCT2,4,14,34.288
ehype,ref,2020,DCT2,4,15,47.771
ehype,ref,2020,DCT2,4,16,65.417
ehype,ref,2020,DCT2,4,17,61.717
ehype,ref,2020,DCT2,5,18,39.879
ehype,ref,2020,DCT2,5,19,27.872
ehype,ref,2020,DCT2,5,20,33.382
ehype,ref,2020,DCT2,5,21,23.836
ehype,ref,2020,DCT2,5,22,26.609
ehype,ref,2020,DCT2,6,23,26.868
ehype,ref,2020,DCT2,6,24,19.64
ehype,ref,2020,DCT2,6,25,9.328
ehype,ref,2020,DCT2,6,26,11.526
ehype,ref,2020,DCT2,7,27,29.611
ehype,ref,2020,DCT2,7,28,21.438
ehype,ref,2020,DCT2,7,29,6.604
ehype,ref,2020,DCT2,7,30,4.385
ehype,ref,2020,DCT2,8,31,21.719
ehype,ref,2020,DCT2,8,32,23.617
ehype,ref,2020,DCT2,8,33,12.052
ehype,ref,2020,DCT2,8,34,5.484
ehype,ref,2020,DCT2,8,35,14.028
ehype,ref,2020,DCT2,9,36,27.196
ehype,ref,2020,DCT2,9,37,24.951
ehype,ref,2020,DCT2,9,38,26.241
ehype,ref,2020,DCT2,9,39,27.161
ehype,ref,2020,DCT2,10,40,30.829
ehype,ref,2020,DCT2,10,41,24.162
ehype,ref,2020,DCT2,10,42,31.037
ehype,ref,2020,DCT2,10,43,32.94
ehype,ref,2020,DCT2,10,44,36.208
ehype,ref,2020,DCT2,11,45,27.389
ehype,ref,2020,DCT2,11,46,43.357
ehype,ref,2020,DCT2,11,47,56.366
ehype,ref,2020,DCT2,11,48,46.615
ehype,ref,2020,DCT2,12,49,27.952
ehype,ref,2020,DCT2,12,50,34.605
ehype,ref,2020,DCT2,12,51,34.866
ehype,ref,2020,DCT2,12,52,39.878
