model,scenario,year,catchment,month,week,value
ehype,ref,2020,BDRS2,1,1,60.884
ehype,ref,2020,BDRS2,1,2,45.12
ehype,ref,2020,BDRS2,1,3,52.331
ehype,ref,2020,BDRS2,1,4,59.562
ehype,ref,2020,BDRS2,1,5,72.05
ehype,ref,2020,BDRS2,2,6,42.354
ehype,ref,2020,BDRS2,2,7,62.694
ehype,ref,2020,BDRS2,2,8,73.453
ehype,ref,2020,BDRS2,2,9,80.696
ehype,ref,2020,BDRS2,3,10,42.531
ehype,ref,2020,BDRS2,3,11,76.45
ehype,ref,2020,BDRS2,3,12,89.554
ehype,ref,2020,BDRS2,3,13,99.1
ehype,ref,2020,BDRS2,4,14,61.763
ehype,ref,2020,BDRS2,4,15,60.183
ehype,ref,2020,BDRS2,4,16,78.8
ehype,ref,2020,BDRS2,4,17,66.597
ehype,ref,2020,BDRS2,5,18,68.226
ehype,ref,2020,BDRS2,5,19,36.538
ehype,ref,2020,BDRS2,5,20,38.111
ehype,ref,2020,BDRS2,5,21,33.845
ehype,ref,2020,BDRS2,5,22,49.68
ehype,ref,2020,BDRS2,6,23,44.469
ehype,ref,2020,BDRS2,6,24,34.405
ehype,ref,2020,BDRS2,6,25,22.659
ehype,ref,2020,BDRS2,6,26,29.436
ehype,ref,2020,BDRS2,7,27,52.685
ehype,ref,2020,BDRS2,7,28,32.802
ehype,ref,2020,BDRS2,7,29,16.328
ehype,ref,2020,BDRS2,7,30,15.908
ehype,ref,2020,BDRS2,8,31,50.192
ehype,ref,2020,BDRS2,8,32,34.901
ehype,ref,2020,BDRS2,8,33,21.403
ehype,ref,2020,BDRS2,8,34,11.731
ehype,ref,2020,BDRS2,8,35,28.224
ehype,ref,2020,BDRS2,9,36,46.422
ehype,ref,2020,BDRS2,9,37,31.649
ehype,ref,2020,BDRS2,9,38,24.608
ehype,ref,2020,BDRS2,9,39,34.081
ehype,ref,2020,BDRS2,10,40,54.091
ehype,ref,2020,BDRS2,10,41,36.543
ehype,ref,2020,BDRS2,10,42,43.771
ehype,ref,2020,BDRS2,10,43,40.814
ehype,ref,2020,BDRS2,10,44,59.209
ehype,ref,2020,BDRS2,11,45,41.323
ehype,ref,2020,BDRS2,11,46,64.405
ehype,ref,2020,BDRS2,11,47,90.855
ehype,ref,2020,BDRS2,11,48,81.386
ehype,ref,2020,BDRS2,12,49,46.872
ehype,ref,2020,BDRS2,12,50,56.016
ehype,ref,2020,BDRS2,12,51,71.592
ehype,ref,2020,BDRS2,12,52,79.735
